,GeneID
WP_187300246_1,1897646059
WP_025432775_1,645061497
WP_005248578_1,491390707
WP_025433613_1,645062335
WP_005249637_1,491391773
WP_005248999_1,491391131
WP_025433301_1,645062023
WP_005246696_1,491388823
WP_005244822_1,491386945
WP_005250095_1,491392232
WP_005252000_1,491394138
WP_005245250_1,491387376
WP_005239747_1,491381865
WP_005241234_1,491383353
WP_005239921_1,491382039
WP_005237913_1,491380030
WP_005248143_1,491390270
WP_025433549_1,645062271
WP_025433337_1,645062059
WP_005251125_1,491393263
WP_025433317_1,645062039
WP_005250914_1,491393052
WP_005243991_1,491386110
WP_005237880_1,491379996
WP_005244597_1,491386718
WP_025433919_1,645062641
WP_005248537_1,491390665
WP_005246520_1,491388647
WP_005248746_1,491390876
WP_005241305_1,491383424
WP_005252932_1,491395070
WP_005245262_1,491387388
WP_005246169_1,491388296
WP_005251119_1,491393257
WP_005250766_1,491392903
WP_005241413_1,491383532
WP_005238098_1,491380215
WP_005237762_1,491379877
WP_005248478_1,491390606
WP_005237763_1,491379878
WP_005243360_1,491385479
WP_080578199_1,1171028059
WP_025432619_1,645061341
WP_005239499_1,491381617
WP_025433264_1,645061986
WP_025432001_1,645060723
WP_005243411_1,491385530
WP_025433939_1,645062661
WP_005251081_1,491393219
WP_005250106_1,491392243
WP_025431770_1,645060492
WP_025433439_1,645062161
WP_005242497_1,491384616
WP_025432012_1,645060734
WP_005243329_1,491385448
WP_005252945_1,491395084
WP_005238985_1,491381103
WP_005245383_1,491387509
WP_005250033_1,491392170
WP_080578204_1,1171028064
WP_005238605_1,491380722
WP_005239956_1,491382074
WP_005245861_1,491387987
WP_005244800_1,491386922
WP_005238606_1,491380723
WP_005251153_1,491393291
WP_005239220_1,491381338
WP_005251210_1,491393348
WP_005246592_1,491388719
WP_005251310_1,491393448
WP_005241236_1,491383355
WP_005244682_1,491386804
WP_005242715_1,491384834
WP_005248351_1,491390478
WP_005243389_1,491385508
WP_005252295_1,491394433
WP_025431983_1,645060705
WP_005250252_1,491392389
WP_005243703_1,491385822
WP_143767565_1,1712609409
WP_005249328_1,491391463
WP_005238450_1,491380567
WP_005251827_1,491393965
WP_025431774_1,645060496
WP_025433818_1,645062540
spontaneous,
WP_005248832_1,491390962
WP_005239994_1,491382112
WP_025432470_1,645061192
WP_005250640_1,491392777
WP_025431917_1,645060639
WP_143767522_1,1712609366
WP_005250868_1,491393006
WP_005239736_1,491381854
WP_005252854_1,491394992
WP_005252852_1,491394990
WP_025432990_1,645061712
WP_005247368_1,491389495
WP_005240737_1,491382856
WP_005247369_1,491389496
WP_005249200_1,491391334
WP_080578309_1,1171028169
WP_005244751_1,491386873
WP_037181410_1,739318924
WP_005244775_1,491386897
WP_025433810_1,645062532
WP_037183117_1,739320635
WP_005251699_1,491393837
WP_005240381_1,491382499
