,reaction_name,reaction_string,WT-LN-G-R1 trans,WT-LN-G-R2 trans,WT-LN-G-R3 trans,EVOL33-LN-G-R1 trans,EVOL33-LN-G-R2 trans,EVOL33-LN-G-R3 trans,EVOL40-LN-G-R1 trans,EVOL40-LN-G-R2 trans,EVOL40-LN-G-R3 trans,WT-P-R1 trans,WT-P-R2 trans,WT-P-R3 trans,PVHG-P-R1 trans,PVHG-P-R2 trans,PVHG-P-R3 trans
12DGR120tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C12:0)",12dgr120_p --> 12dgr120_c,,,,,,,,,,,,,,,
12DGR140tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)",12dgr140_p --> 12dgr140_c,,,,,,,,,,,,,,,
12DGR141tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:1)",12dgr141_p --> 12dgr141_c,,,,,,,,,,,,,,,
12DGR161tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C16:1)",12dgr161_p --> 12dgr161_c,,,,,,,,,,,,,,,
12DGR180tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:0)",12dgr180_p --> 12dgr180_c,,,,,,,,,,,,,,,
12DGR181tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C18:1)",12dgr181_p --> 12dgr181_c,,,,,,,,,,,,,,,
12PPDStpp,"(S)-Propane-1,2-diol facilitated transport (periplasm)",12ppd__S_p <=> 12ppd__S_c,1.66651,1.7428700000000001,1.04483,1.5951799999999998,1.61617,1.21061,1.5065,1.2022700000000002,1.22692,2.37356,2.41686,2.82043,1.6371200000000001,1.43141,2.30775
12PPDt,"S-Propane-1,2-diol facilitated transport",12ppd__S_e <=> 12ppd__S_c,1.66651,1.7428700000000001,1.04483,1.5951799999999998,1.61617,1.21061,1.5065,1.2022700000000002,1.22692,2.37356,2.41686,2.82043,1.6371200000000001,1.43141,2.30775
14GLUCANabcpp,"1,4-alpha-D-glucan transport via ABC system (periplasm)",14glucan_p + atp_c + h2o_c --> 14glucan_c + adp_c + h_c + pi_c,7.94798,6.7536000000000005,7.662090000000001,9.89014,9.62353,10.030800000000001,5.965750000000001,8.13841,9.3382,1.14283,3.1858699999999995,1.34889,2.12826,1.4314099999999998,1.2308
14GLUCANtexi,"1,4-alpha-D-glucan transport via diffusion (extracellular to periplasm) irreversible",14glucan_e --> 14glucan_p,,,,,,,,,,,,,,,
2AGPE120tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm),2agpe120_p --> 2agpe120_c,,,,,,,,,,,,,,,
2AGPE140tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:0) transporter via facilitated diffusion (periplasm),2agpe140_p --> 2agpe140_c,,,,,,,,,,,,,,,
2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),2agpe141_p --> 2agpe141_c,,,,,,,,,,,,,,,
2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),2agpe161_p --> 2agpe161_c,,,,,,,,,,,,,,,
2AGPE180tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm),2agpe180_p --> 2agpe180_c,,,,,,,,,,,,,,,
2AGPE181tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),2agpe181_p --> 2agpe181_c,,,,,,,,,,,,,,,
2AGPEAT120,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C12:0),2agpe120_c + atp_c + ddca_c --> amp_c + pe120_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT140,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:0),2agpe140_c + atp_c + ttdca_c --> amp_c + pe140_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT141,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C14:1),2agpe141_c + atp_c + ttdcea_c --> amp_c + pe141_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT160,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:0),2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT161,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C16:1),2agpe161_c + atp_c + hdcea_c --> amp_c + pe161_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT180,2-acyl-glycerophospho-ethanolamine acyltransferase (n-C18:0),2agpe180_c + atp_c + ocdca_c --> amp_c + pe180_c + ppi_c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
