,Pathway,Forward Reactions,Reaction,Location on map,Flux,90% Confidence Lower Bound,90% Confidence Upper Bound,WT trans avg,WT trans std,EVOL33 trans avg,EVOL33 trans std,EVOL40 trans avg,EVOL40 trans std
0,Glucose Uptake,reverse_EX_glc__D_e,Gluc.ext + ATP -> G6P,"(50, 460)",100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1,EMP Pathway,PGI,G6P <-> F6P,"(-150, 430)",-1.61,-2.09,1.42,266.17612333333335,21.41418684576262,332.76053666666667,7.338154643780243,278.65292,6.32203800061342
2,EMP Pathway,PFK or reverse_FBP,F6P + ATP -> FBP,"(-220, 195)",0.0,0.0,1.91,698.0977033333334,46.693706067848495,619.6312733333333,21.21181511090063,646.84929,21.131640643979786
3,EMP Pathway,FBA,FBP <-> DHAP + GAP,"(-140, 115)",0.0,0.0,1.91,102.81554333333332,6.205008125718547,110.98380666666667,6.663336105212858,91.81578,9.050339360692501
4,EMP Pathway,TPI,DHAP <-> GAP,"(-270, 150)",0.0,0.0,1.91,71.74282333333333,8.236760066363066,106.91516333333334,10.303975544227264,80.70996333333335,5.161351139317428
5,EMP Pathway,GAPD,"GAP <-> G1,3P","(-220, 30)",86.56,82.61,88.84,284.76895,8.442706479518254,335.54896333333335,24.20650689077904,255.92862,38.898972731983555
6,EMP Pathway,reverse_PGK,"G1,3P <-> 3PG + ATP + NADH","(-220, -55)",86.56,82.61,88.84,145.17587666666665,16.847036398768573,211.69383333333334,18.39599791203057,158.60406666666668,4.766067814481169
7,EMP Pathway,PGM_1 or reverse_PGM,3PG <-> 2PG,"(-220, -135)",78.52,71.65,81.26,287.46657999999996,11.72837111331325,304.97863666666666,12.899062000216677,306.8666666666666,14.052888348483123
8,EMP Pathway,reverse_PPS or FRUpts2pp or SBTpts or MNLpts or ACGApts or FRUpts2 or MANpts or FRUpts or ARBTpts or PYK or GALTpts or SUCpts or TREptspp or TREpts or GLCptspp or ACGAptspp or SALCptspp or reverse_MALTptspp or reverse_FRUptspp or reverse_SUCptspp or reverse_DHAPT or reverse_MALTpts or reverse_ACMANApts or reverse_GAMpts or reverse_SALCpts or reverse_GLCpts,2PG <-> PEP,"(-220, -215)",78.52,71.65,81.26,1163.3556666666666,64.79616669510722,1372.1412099999995,129.05772433556257,1210.06706,63.52576788855951
10,Pentose Phosphate Pathway,G6PDH2r and PGL,G6P <-> 6PG + NADPH,"(50, 380)",100.0,96.96,100.0,110.67698666666666,10.192412025547892,152.24641333333332,2.015696980831518,152.83015333333333,14.788733969131137
11,Pentose Phosphate Pathway,GND,6PG <-> Ru5P + CO2 + NADPH,"(275, 350)",6.62,2.07,10.92,471.1913133333333,36.211853215688,575.2872733333334,24.548291672027474,542.5404066666666,21.807244009930127
12,Pentose Phosphate Pathway,RPE,Ru5P <-> X5P,"(380, 190)",2.12,-0.89,4.37,5.03009,1.6485090860532134,5.320103333333333,1.1184707775053102,5.703120000000001,0.5820652469440176
13,Pentose Phosphate Pathway,reverse_RPI,Ru5P <-> R5P,"(270, 230)",4.5,2.95,6.55,7.209779999999999,0.9685170921052457,8.009983333333333,1.0012840815839092,7.33775,0.7694968780313532
14,Pentose Phosphate Pathway,TKT2,X5P <-> TKC2 + GAP,"(270, 100)",2.12,-0.89,4.37,175.7571366666666,24.975929935364434,173.08223333333333,14.527428785612193,185.12184333333335,10.348100388097015
15,Pentose Phosphate Pathway,TKT2,TKC2 + E4P <-> F6P,"(10, 280)",0.15,-1.36,1.11,175.7571366666666,24.975929935364434,173.08223333333333,14.527428785612193,185.12184333333335,10.348100388097015
16,Pentose Phosphate Pathway,TKT1,TKC2 + R5P <-> S7P,"(120, 230)",1.96,0.46,3.34,175.7571366666666,24.975929935364434,173.08223333333333,14.527428785612193,185.12184333333335,10.348100388097015
17,Pentose Phosphate Pathway,TALA,TAC3 + GAP <-> F6P,"(-70, 190)",1.96,0.46,3.34,1040.2576533333333,23.418181605825808,1039.7807533333332,47.77340683864019,1046.1570199999999,52.628052210488434
18,Pentose Phosphate Pathway,reverse_TALA,S7P <-> TAC3 + E4P,"(50, 230)",1.97,0.46,3.34,1040.2576533333333,23.418181605825808,1039.7807533333332,47.77340683864019,1046.1570199999999,52.628052210488434
19,ED Pathway,EDA,6PG <-> KDPG,"(-300, 350)",93.38,89.08,94.98,16.428923333333334,2.610191584124302,17.886346666666668,1.265581748143255,15.62026,0.6412525004239759
20,ED Pathway,EDD,KDPG <-> Pyr + GAP,"(-300, 50)",93.38,89.08,94.98,97.46472333333332,14.009448010501105,109.67472333333335,9.668185615312389,80.1486,4.735105048792478
21,TCA Cycle,PDH,Pyr <-> AcCoA + CO2 + NADH,"(-220, -370)",135.41,116.26,196.6,583.6369500000001,11.511223206101853,417.22805,45.54355716660809,499.86106,21.784416469235552
22,TCA Cycle,CS or reverse_CITL,OAC + AcCoA <-> Cit,"(-55, -340)",69.04,58.52,82.65,284.29229,22.291916690291586,347.4953366666667,18.44266810606679,290.61494666666664,14.28399571675351
23,TCA Cycle,ACONT or ( ACONTa and ACONTb),Cit <-> ICit,"(145, -310)",69.04,58.52,82.65,829.6182866666667,56.705339562977095,704.8688333333333,59.376656109324095,807.0026200000001,96.04448074479025
24,TCA Cycle,ICDHx or ICDHyr,ICit <-> AKG + CO2 + NADPH,"(290, -310)",69.04,10.08,82.65,855.2282666666666,12.858382589736252,1026.1515233333332,51.11359635198972,954.6206166666666,76.87401632365409
25,TCA Cycle,AKGDH or OOR3r,AKG <-> SucCoA + CO2 + NADH,"(290, -195)",61.6,2.27,75.99,13.093893333333334,0.965061047257288,13.217423333333334,1.3193784565595021,12.609863333333335,0.5871550086930482
26,TCA Cycle,3OADPCOAT or OCOAT3r or SUCBZT1 or SUCBZT2 or OCOAT2r or OCOAT1 or reverse_SUCOAS,SucCoA <-> Suc + ATP,"(290, -55)",59.88,0.87,74.45,499.86792333333324,41.19444357410029,572.0457233333333,23.856831439896403,578.87881,24.555156996934553
27,TCA Cycle,SUCDi or reverse_FRD2 or reverse_FRD3 or reverse_FRD5 or reverse_SUCD1 or reverse_FRD or reverse_ASPO5,Suc <-> Fum + FADH2,"(160, -55)",61.6,50.51,75.99,622.19855,44.47541363026654,744.2380499999999,44.2170625439015,696.1445433333333,68.0490127014438
28,TCA Cycle,FUM,Fum <-> Mal,"(10, -55)",63.27,22.17,77.49,221.09946,8.266292210876655,255.9067166666667,10.770752630221953,266.3974,14.078646990687714
29,TCA Cycle,MDH or MDH3 or MDH2 or DMALRED,Mal <-> OAC + NADH,"(-60, -180)",25.97,-50.27,78.9,1086.9204733333333,233.3699795694522,1425.9384533333332,78.12335804610198,1341.3907066666668,69.66909138908316
30,Glyoxylate Shunt,ICL,ICit -> Glyox + Suc,"(180, -140)",0.0,0.0,60.46,3305.9804033333335,1659.5479353002124,1076.9669333333334,723.5257241238451,223.40236333333334,64.89024331658601
31,Glyoxylate Shunt,MALS,Glyox + AcCoA -> Mal,"(90, -140)",0.0,0.0,60.46,1025.3394833333334,188.78173699678433,706.8917033333333,127.39687362299446,832.8110066666668,148.34243510227319
