,Pathway,Forward Reactions,Reaction,Location on map,Flux,90% Confidence Lower Bound,90% Confidence Upper Bound,FBA WT Value,pFBA WT Value
0,Phenol Uptake,PHEMOX,Phenol.ext -> AcCoA + SucCoA,"( 80, -450)",100.0,100.0,100.0,100.0,100.0
1,EMP Pathway,PGI,G6P <-> F6P,"(-150, 430)",-0.4793,-1.4219,0.9306,-4.24363657051743,-4.24363657051743
2,EMP Pathway,PFK or reverse_FBP,F6P + ATP -> FBP,"(-220, 195)",-2.0,-2.0,-0.7683,-15.462220886348288,-15.462220886348288
3,EMP Pathway,FBA,FBP <-> DHAP + GAP,"(-140, 115)",-2.0,-2.0,-0.7683,-15.462220886348288,-15.462220886348288
4,EMP Pathway,TPI,DHAP <-> GAP,"(-270, 150)",-2.0,-2.0,-0.7683,-28.629104234611887,-28.629104234611887
5,EMP Pathway,GAPD,"GAP <-> G1,3P","(-220, 30)",-10.7907,-11.2235,-9.104,-47.01701209649484,-47.01701209649484
6,EMP Pathway,reverse_PGK,"G1,3P <-> 3PG + ATP + NADH","(-220, -55)",-10.7907,-11.2235,-9.104,-47.01701209649484,-47.01701209649484
7,EMP Pathway,PGM_1 or reverse_PGM,3PG <-> 2PG,"(-220, -135)",-16.2538,-16.9556,-13.6034,-54.95907186483798,-54.95907186483798
8,EMP Pathway,ENO,2PG <-> PEP,"(-220, -215)",-16.2538,-16.9556,-13.6034,-54.95907186483798,-54.95907186483798
9,EMP Pathway,PPS or reverse_FRUpts2pp or reverse_SBTpts or reverse_MNLpts or reverse_ACGApts or reverse_FRUpts2 or reverse_MANpts or reverse_FRUpts or reverse_ARBTpts or reverse_PYK or reverse_GALTpts or reverse_SUCpts or reverse_TREptspp or reverse_TREpts or reverse_GLCptspp or reverse_ACGAptspp or reverse_SALCptspp or reverse_MALTptspp or reverse_FRUptspp or reverse_SUCptspp or reverse_DHAPT or reverse_MALTpts or reverse_ACMANApts or reverse_GAMpts or reverse_SALCpts or reverse_GLCpts,PEP <-> Pyr + ATP,"(-220, -295)",29.9999,0.0,30.0,0.0,0.0
10,Pentose Phosphate Pathway,G6PDH2r and PGL,G6P <-> 6PG + NADPH,"(50, 380)",-0.5767,-2.0181,0.3824,0.0,0.0
11,Pentose Phosphate Pathway,GND,6PG <-> Ru5P + CO2 + NADPH,"(275, 350)",0.4646,-1.6599,1.8755,0.0,0.0
12,Pentose Phosphate Pathway,RPE,Ru5P <-> X5P,"(380, 190)",-1.1874,-2.6115,-0.2468,-5.2892081897168906,-5.2892081897168906
13,Pentose Phosphate Pathway,reverse_RPI,Ru5P <-> R5P,"(270, 230)",1.6521,0.9081,2.1385,5.280957221872943,5.280957221872943
14,Pentose Phosphate Pathway,TKT2,X5P <-> TKC2 + GAP,"(270, 100)",-1.1874,-2.6115,-0.2468,-3.027256281827314,-3.027256281827314
15,Pentose Phosphate Pathway,TKT2,TKC2 + E4P <-> F6P,"(10, 280)",-1.1874,-1.909,-0.7099,-3.027256281827314,-3.027256281827314
16,Pentose Phosphate Pathway,TKT1,TKC2 + R5P <-> S7P,"(120, 230)",2.13e-14,-0.7076,0.4698,-2.2619519078895767,-2.2619519078895767
17,Pentose Phosphate Pathway,TALA,TAC3 + GAP <-> F6P,"(-70, 190)",7.109999999999999e-15,-0.7076,0.4698,-2.2619519078895767,-2.2619519078895767
18,Pentose Phosphate Pathway,reverse_TALA,S7P <-> TAC3 + E4P,"(50, 230)",8.53e-14,-0.7076,0.4698,2.2619519078895767,2.2619519078895767
19,ED Pathway,EDA,6PG <-> KDPG,"(-300, 350)",-1.0413,-2.5243,0.2447,0.0,0.0
20,ED Pathway,EDD,KDPG <-> Pyr + GAP,"(-300, 50)",-1.0413,-2.5243,0.2447,0.0,0.0
21,TCA Cycle,PDH,Pyr <-> AcCoA + CO2 + NADH,"(-220, -370)",59.2327,56.6826,62.0459,0.0,0.0
22,TCA Cycle,CS or reverse_CITL,OAC + AcCoA -> Cit,"(-55, -340)",114.4391,110.2766,118.48,101.38901666412488,101.38901666412488
23,TCA Cycle,ACONT or ( ACONTa and ACONTb),Cit -> ICit,"(145, -310)",114.4391,110.2766,118.48,101.38901666412488,101.38901666412488
24,TCA Cycle,ICDHx or ICDHyr,ICit -> AKG + CO2 + NADPH,"(290, -310)",113.4677,106.8011,118.48,101.38901666412487,101.38901666412487
25,TCA Cycle,AKGDH or OOR3r,AKG -> SucCoA + CO2 + NADH,"(290, -195)",108.6053,101.7297,113.8305,97.64773860836806,97.64773860836806
26,TCA Cycle,3OADPCOAT or OCOAT3r or SUCBZT1 or SUCBZT2 or OCOAT2r or OCOAT1 or reverse_SUCOAS,SucCoA -> Suc + ATP,"(290, -55)",207.4789,200.562,212.7536,93.99733585538193,93.99733585538193
27,TCA Cycle,SUCDi or reverse_FRD2 or reverse_FRD3 or reverse_FRD5 or reverse_SUCD1 or reverse_FRD or reverse_ASPO5,Suc -> Fum + FADH2,"(160, -55)",208.5767,203.2666,212.8305,97.64773860836806,97.64773860836806
28,TCA Cycle,FUM,Fum -> Mal,"(10, -55)",209.6703,204.3514,213.8762,104.46804673762755,104.46804673762755
29,TCA Cycle,MDH or MDH3 or MDH2 or DMALRED,Mal -> OAC + NADH,"(-60, -180)",171.0231,129.2999,174.5648,104.4762977054715,104.4762977054715
30,Glyoxylate Shunt,ICL,ICit -> Glyox + Suc,"(180, -140)",0.9714,7.109999999999999e-15,4.5567,0.0,0.0
31,Glyoxylate Shunt,MALS,Glyox + AcCoA -> Mal,"(90, -140)",0.9714,0.0,4.5567,0.008250967843947367,0.008250967843947367
32,Anaplerotic Reactions,PEPCK_re or PPCK,OAC + ATP -> PEP + CO2,,97.7718,12.9269,100.0,58.148163814420556,58.148163814420556
33,Anaplerotic Reactions,PPC,PEP + CO2 -> OAC,,48.9039,0.0,59.1635,0.0,0.0
34,Anaplerotic Reactions,PC,Pyr + CO2 + ATP -> OAC,,1e-07,0.0,44.8577,70.08905327053986,70.08905327053986
35,Anaplerotic Reactions,ME1 or ME2,Mal <-> Pyr + CO2 + NADH,,39.6187,37.0434,100.0,0.0,0.0
