,reaction,name,flux
ATPS4rpp,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,ATP synthase (four protons for one ATP) (periplasm),25.52317159116368
EX_h2o_e,h2o_e <=> ,R_EX_h2o_e,16.92819759805372
LLEUDr,h2o_c + leu__L_c + nad_c <=> 4mop_c + h_c + nadh_c + nh4_c,L leucine dehydrogenase,-12.995815549227743
LEUTA,akg_c + leu__L_c <=> 4mop_c + glu__L_c,Leucine transaminase,12.92671304558055
CO2tpp,co2_p <=> co2_c,CO2 transporter via diffusion (periplasm),-11.212012333965928
H2Otex,h2o_e <=> h2o_p,H2O transport via diffusion (extracellular to periplasm),-11.212012333965928
CYO1bpp_syn,2.0 focytc6_p + 4.0 h_c + 0.5 o2_p --> 2.0 ficytc6_p + h2o_p + 2.0 h_p,"Cytochrome c oxidase, synechocystis (2 protons)",11.212012333965928
CBFC2pp,2.0 ficytc6_p + 2.0 h_c + pqh2_p --> 2.0 focytc6_p + 4.0 h_p + pq_p,Cytochrome b6/f complex periplasm,11.212012333965928
NDH1_4pp,co2_p + h2o_c + 3.0 h_c + nadph_c + pq_p --> 3.0 h_p + hco3_c + nadp_c + pqh2_p,Active co2 transporter facilitator (periplasm) ,11.212012333965928
HCO3E,co2_c + h2o_c <=> h_c + hco3_c,HCO3 equilibration reaction,-10.853881023234235
GLUDy,glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c,Glutamate dehydrogenase (NADP),10.705417127396796
EX_co2_e,co2_e --> ,R_EX_co2_e,6.7605812026996315
CO2t,co2_e <=> co2_c,CO2 transporter via diffusion,-6.7605812026996315
EX_o2_e,o2_e <=> ,R_EX_o2_e,-6.703083452095216
O2t,o2_e <=> o2_c,O2 transport  diffusion ,6.703083452095216
H2Ot,h2o_e <=> h2o_c,H2O transport via diffusion,-5.716185264087792
O2tpp,o2_p <=> o2_c,O2 transport via diffusion (periplasm),-5.606006166982964
PGK,3pg_c + atp_c <=> 13dpg_c + adp_c,Phosphoglycerate kinase,-4.998260879153211
GAPD,g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c,Glyceraldehyde-3-phosphate dehydrogenase,4.998260879153211
ENO,2pg_c <=> h2o_c + pep_c,Enolase,4.589230659768286
PGM,2pg_c <=> 3pg_c,Phosphoglycerate mutase,-4.589230659768286
EX_glc__D_e,glc__D_e <=> ,R_EX_glc__D_e,-3.582471
GLCpts,glc__D_e + pep_c --> g6p_c + pyr_c,D-glucose transport via PEP:Pyr PTS,3.582471
PDH,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,Pyruvate dehydrogenase,3.512453915363258
PGI,g6p_c <=> f6p_c,Glucose-6-phosphate isomerase,3.3839023249114373
NH4t,nh4_e <=> nh4_c,Ammonia reversible transport,3.199574413959137
EX_nh4_e,nh4_e <=> ,R_EX_nh4_e,-3.199574413959137
MDH,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,Malate dehydrogenase,3.067937262330634
F6PA,f6p_c <=> dha_c + g3p_c,Fructose 6-phosphate aldolase,2.881051314484224
FUM,fum_c + h2o_c <=> mal__L_c,Fumarase,2.3870841798621925
EX_h_e,h_e <=> ,R_EX_h_e,2.3013792129249833
CS,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,Citrate synthase,2.2783914582234885
ACONT,cit_c <=> icit_c,Aconitase,2.2783914582234885
TPI,dhap_c <=> g3p_c,Triose-phosphate isomerase,2.264980029249111
PPA,h2o_c + ppi_c --> h_c + 2.0 pi_c,Inorganic diphosphatase,2.162994024047706
DHAK,atp_c + dha_c --> adp_c + dhap_c + h_c,Dihydroxyacetone kinase,2.0553768939690107
CYTBD,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,Cytochrome oxidase bd (ubiquinol-8: 2 protons),2.0553363063975567
SUCDi,q8_c + succ_c --> fum_c + q8h2_c,Succinate dehydrogenase (irreversible),2.0553363063975567
ICDHyr,icit_c + nadp_c <=> akg_c + co2_c + nadph_c,Isocitrate dehydrogenase (NADP),1.5979108385517606
AKGDH,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,2-Oxogluterate dehydrogenase,1.3739021129916504
SUCOAS,atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c,Succinyl-CoA synthetase (ADP-forming),-1.1695547325408513
PIt2r,h_e + pi_e <=> h_c + pi_c,Phosphate reversible transport via symport,0.9275882639910726
EX_pi_e,pi_e <=> ,R_EX_pi_e,-0.9275882639910726
THMDtex,thymd_e <=> thymd_p,Thymidine transport via diffusion (extracellular to periplasm),-0.9069388313074676
THMDt2,h_e + thymd_e --> h_c + thymd_c,Thymidine transport in via proton symport,0.9069388313074676
THMDt2pp,h_p + thymd_p <=> h_c + thymd_c,Thymidine transport in via proton symport (periplasm),-0.9069388313074676
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,Glutamine synthetase,0.8721973701649729
ADK1,amp_c + atp_c <=> 2.0 adp_c,Adenylate kinase,0.8671512137287823
DHAPT,dha_c + pep_c --> dhap_c + pyr_c,Dihydroxyacetone phosphotransferase,0.8256744205152131
ASPTA,akg_c + asp__L_c <=> glu__L_c + oaa_c,Aspartate transaminase,-0.7895458041071453
MALS,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,Malate synthase,0.6808530824684413
ICL,icit_c --> glx_c + succ_c,Isocitrate lyase,0.6804806196717279
G3PD1,glyc3p_c + nad_c <=> dhap_c + h_c + nadh_c,G3PD1,-0.6151177115009343
NDPK3,atp_c + cdp_c <=> adp_c + ctp_c,Nucleoside-diphosphate kinase (ATP:CDP),0.5962815320175537
CYTK1,atp_c + cmp_c <=> adp_c + cdp_c,Cytidylate kinase (CMP),0.5960405520368097
G3PCT,ctp_c + glyc3p_c + h_c --> cdpglyc_c + ppi_c,Glycerol-3-phosphate cytidylyltransferase,0.5957060252656874
NDPK2,atp_c + udp_c <=> adp_c + utp_c,Nucleoside-diphosphate kinase (ATP:UDP),0.575677167670093
GLUR,glu__D_c <=> glu__L_c,Glutamate racemase,-0.4931889783771074
Growth_Glucose,0.000216 10fthf_c + 0.182767992209545 ala__L_c + 0.000216 amet_c + 0.105241228119441 arg__L_c + 0.0857662686755743 asn__L_c + 0.0857662686755743 asp__L_c + 52.547151 atp_c + 0.005053 ca2_c + 0.005053 cl_c + 0.000559 coa_c + 9.7e-05 cobalt2_c + 0.129616 ctp_c + 0.000688 cu2_c + 0.0325838452252242 cys__L_c + 0.025403 datp_c + 0.026229 dctp_c + 0.026229 dgtp_c + 0.025403 dttp_c + 0.000216 fad_c + 0.006519 fe2_c + 0.00758 fe3_c + 0.0936308671901935 gln__L_c + 0.0936308671901935 glu__L_c + 0.217973248113943 gly_c + 0.00223078268030533 gtca1_45_BS_c + 0.00223078268030533 gtca2_45_BS_c + 0.00223078268030533 gtca3_45_BS_c + 0.208826 gtp_c + 47.184845 h2o_c + 0.0337070975293858 his__L_c + 0.103368530150676 ile__L_c + 0.189503 k_c + 0.160296716015654 leu__L_c + 0.00011257296738925 lipo1_24_BS_c + 0.00011257296738925 lipo2_24_BS_c + 0.00011257296738925 lipo3_24_BS_c + 0.00011257296738925 lipo4_24_BS_c + 0.122094776884134 lys__L_c + 0.0546805818253624 met__L_c + 0.008422 mg2_c + 0.000216 mlthf_c + 0.000671 mn2_c + 9.7e-05 mql8_c + 0.001778 nad_c + 0.000434 nadp_c + 0.147733889286367 peptido_BS_c + 0.0659164031608568 phe__L_c + 0.078650016394266 pro__L_c + 0.000216 pydx5p_c + 0.000216 ribflv_c + 0.0767776849025982 ser__L_c + 0.004212 so4_c + 0.000216 thf_c + 0.000216 thmpp_c + 0.0902603773235135 thr__L_c + 0.0202244051084705 trp__L_c + 0.0490624879190664 tyr__L_c + 0.139904 utp_c + 0.150558686578074 val__L_c + 0.000331 zn2_c --> 52.37741576 adp_c + 52.37741576 h_c + 52.37320421 pi_c + 0.751344563 ppi_c,Glucose biomass reaction,0.43109119989983935
