,reaction,name,flux
ATPS4rpp,adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,ATP synthase (four protons for one ATP) (periplasm),27.582443544694826
EX_h2o_e,h2o_e <=> ,R_EX_h2o_e,17.136015865227353
NDH1_4pp,co2_p + h2o_c + 3.0 h_c + nadph_c + pq_p --> 3.0 h_p + hco3_c + nadp_c + pqh2_p,Active co2 transporter facilitator (periplasm) ,12.332087743921072
CBFC2pp,2.0 ficytc6_p + 2.0 h_c + pqh2_p --> 2.0 focytc6_p + 4.0 h_p + pq_p,Cytochrome b6/f complex periplasm,12.332087743921072
CO2tpp,co2_p <=> co2_c,CO2 transporter via diffusion (periplasm),-12.332087743921072
CYO1bpp_syn,2.0 focytc6_p + 4.0 h_c + 0.5 o2_p --> 2.0 ficytc6_p + h2o_p + 2.0 h_p,"Cytochrome c oxidase, synechocystis (2 protons)",12.332087743921072
H2Otex,h2o_e <=> h2o_p,H2O transport via diffusion (extracellular to periplasm),-12.332087743921072
HCO3E,co2_c + h2o_c <=> h_c + hco3_c,HCO3 equilibration reaction,-11.990254284003155
ICDHyr,icit_c + nadp_c <=> akg_c + co2_c + nadph_c,Isocitrate dehydrogenase (NADP),11.974374405321349
ICDHx,icit_c + nad_c <=> akg_c + co2_c + nadh_c,Isocitrate dehydrogenase (NAD),-10.123118939740053
EX_co2_e,co2_e --> ,R_EX_co2_e,7.431107672639996
CO2t,co2_e <=> co2_c,CO2 transporter via diffusion,-7.431107672639996
O2t,o2_e <=> o2_c,O2 transport  diffusion ,7.376226531456211
EX_o2_e,o2_e <=> ,R_EX_o2_e,-7.376226531456211
O2tpp,o2_p <=> o2_c,O2 transport via diffusion (periplasm),-6.166043871960536
H2Ot,h2o_e <=> h2o_c,H2O transport via diffusion,-4.8039281213062806
PDH,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,Pyruvate dehydrogenase,3.6786714565798535
EX_glc__D_e,glc__D_e <=> ,R_EX_glc__D_e,-3.582471
PGL,6pgl_c + h2o_c --> 6pgc_c + h_c,6-phosphogluconolactonase,3.392938794345709
EDD,6pgc_c --> 2ddg6p_c + h2o_c,6-phosphogluconate dehydratase,3.392938794345709
EDA,2ddg6p_c --> g3p_c + pyr_c,2-dehydro-3-deoxy-phosphogluconate aldolase,3.392938794345709
G6PDH2r,g6p_c + nadp_c <=> 6pgl_c + h_c + nadph_c,Glucose 6-phosphate dehydrogenase,3.392938794345709
MDH,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,Malate dehydrogenase,3.254383881201923
EX_nh4_e,nh4_e <=> ,R_EX_nh4_e,-3.053968082137066
NH4t,nh4_e <=> nh4_c,Ammonia reversible transport,3.053968082137066
FUM,fum_c + h2o_c <=> mal__L_c,Fumarase,2.6045150819604874
CS,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,Citrate synthase,2.5007687520745403
ACONT,cit_c <=> icit_c,Aconitase,2.5007687520745403
GLCtex,glc__D_e <=> glc__D_p,Glucose transport via diffusion (extracellular to periplasm),2.4418079894541345
HEX1,atp_c + glc__D_c --> adp_c + g6p_c + h_c,Hexokinase (D-glucose:ATP),2.4418079894541345
GLCt2pp,glc__D_p + h_p --> glc__D_c + h_c,D-glucose transport in via proton symport (periplasm),2.4418079894541345
SUCDi,q8_c + succ_c --> fum_c + q8h2_c,Succinate dehydrogenase (irreversible),2.2878644010268934
EX_h_e,h_e <=> ,R_EX_h_e,2.1966479762131392
PPA,h2o_c + ppi_c --> h_c + 2.0 pi_c,Inorganic diphosphatase,2.0645604248100597
GLUDy,glu__L_c + h2o_c + nadp_c <=> akg_c + h_c + nadph_c + nh4_c,Glutamate dehydrogenase (NADP),-2.0258959016861517
PGK,3pg_c + atp_c <=> 13dpg_c + adp_c,Phosphoglycerate kinase,-1.7039234765608144
GAPD,g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c,Glyceraldehyde-3-phosphate dehydrogenase,1.7039234765608144
PDHcr,dhlam_c + nad_c --> h_c + lpam_c + nadh_c,Pyruvate dehydrogenase (dihydrolipoamide dehydrogenase) reversible,1.63748084895214
AKGDa,akg_c + h_c + lpam_c <=> co2_c + sdhlam_c,Oxoglutarate dehydrogenase (lipoamide),1.63748084895214
AKGDb,coa_c + sdhlam_c --> dhlam_c + succoa_c,Oxoglutarate dehydrogenase (dihydrolipoamide S-succinyltransferase),1.63748084895214
SUCOAS,atp_c + coa_c + succ_c <=> adp_c + pi_c + succoa_c,Succinyl-CoA synthetase (ADP-forming),-1.503825235458617
CYTBD,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,Cytochrome oxidase bd (ubiquinol-8: 2 protons),1.396468164554995
PGM,2pg_c <=> 3pg_c,Phosphoglycerate mutase,-1.3135074171057743
ENO,2pg_c <=> h2o_c + pep_c,Enolase,1.3135074171057743
GLCpts,glc__D_e + pep_c --> g6p_c + pyr_c,D-glucose transport via PEP:Pyr PTS,1.1406630105458655
TPI,dhap_c <=> g3p_c,Triose-phosphate isomerase,-1.0680023450731047
CYTBDpp,2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_p + q8_c,Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm),0.8913962364718984
EX_pi_e,pi_e <=> ,R_EX_pi_e,-0.8853755484587573
PIt2r,h_e + pi_e <=> h_c + pi_c,Phosphate reversible transport via symport,0.8853755484587573
GLNS,atp_c + glu__L_c + nh4_c --> adp_c + gln__L_c + h_c + pi_c,Glutamine synthetase,0.8325053851495589
ADK1,amp_c + atp_c <=> 2.0 adp_c,Adenylate kinase,0.8276888693572209
ASPTA,akg_c + asp__L_c <=> glu__L_c + oaa_c,Aspartate transaminase,-0.7536151291273825
MALS,accoa_c + glx_c + h2o_c --> coa_c + h_c + mal__L_c,Malate synthase,0.6498687992414354
ICL,icit_c --> glx_c + succ_c,Isocitrate lyase,0.6495132864932449
G3PD1,glyc3p_c + nad_c <=> dhap_c + h_c + nadh_c,G3PD1,-0.5871249155779211
NDPK3,atp_c + cdp_c <=> adp_c + ctp_c,Nucleoside-diphosphate kinase (ATP:CDP),0.5691459335355977
CYTK1,atp_c + cmp_c <=> adp_c + cdp_c,Cytidylate kinase (CMP),0.5689159200793033
G3PCT,ctp_c + glyc3p_c + h_c --> cdpglyc_c + ppi_c,Glycerol-3-phosphate cytidylyltransferase,0.5685966169628729
NDPK2,atp_c + udp_c <=> adp_c + utp_c,Nucleoside-diphosphate kinase (ATP:UDP),0.5494792332409156
FBP,fdp_c + h2o_c --> f6p_c + pi_c,Fructose-bisphosphatase,0.4799672510241215
FBA,fdp_c <=> dhap_c + g3p_c,Fructose-bisphosphate aldolase,-0.4799672510241215
Growth_Glucose,0.000216 10fthf_c + 0.182767992209545 ala__L_c + 0.000216 amet_c + 0.105241228119441 arg__L_c + 0.0857662686755743 asn__L_c + 0.0857662686755743 asp__L_c + 52.547151 atp_c + 0.005053 ca2_c + 0.005053 cl_c + 0.000559 coa_c + 9.7e-05 cobalt2_c + 0.129616 ctp_c + 0.000688 cu2_c + 0.0325838452252242 cys__L_c + 0.025403 datp_c + 0.026229 dctp_c + 0.026229 dgtp_c + 0.025403 dttp_c + 0.000216 fad_c + 0.006519 fe2_c + 0.00758 fe3_c + 0.0936308671901935 gln__L_c + 0.0936308671901935 glu__L_c + 0.217973248113943 gly_c + 0.00223078268030533 gtca1_45_BS_c + 0.00223078268030533 gtca2_45_BS_c + 0.00223078268030533 gtca3_45_BS_c + 0.208826 gtp_c + 47.184845 h2o_c + 0.0337070975293858 his__L_c + 0.103368530150676 ile__L_c + 0.189503 k_c + 0.160296716015654 leu__L_c + 0.00011257296738925 lipo1_24_BS_c + 0.00011257296738925 lipo2_24_BS_c + 0.00011257296738925 lipo3_24_BS_c + 0.00011257296738925 lipo4_24_BS_c + 0.122094776884134 lys__L_c + 0.0546805818253624 met__L_c + 0.008422 mg2_c + 0.000216 mlthf_c + 0.000671 mn2_c + 9.7e-05 mql8_c + 0.001778 nad_c + 0.000434 nadp_c + 0.147733889286367 peptido_BS_c + 0.0659164031608568 phe__L_c + 0.078650016394266 pro__L_c + 0.000216 pydx5p_c + 0.000216 ribflv_c + 0.0767776849025982 ser__L_c + 0.004212 so4_c + 0.000216 thf_c + 0.000216 thmpp_c + 0.0902603773235135 thr__L_c + 0.0202244051084705 trp__L_c + 0.0490624879190664 tyr__L_c + 0.139904 utp_c + 0.150558686578074 val__L_c + 0.000331 zn2_c --> 52.37741576 adp_c + 52.37741576 h_c + 52.37320421 pi_c + 0.751344563 ppi_c,Glucose biomass reaction,0.41147308818337197
ALATA_L,akg_c + ala__L_c <=> glu__L_c + pyr_c,L-alanine transaminase,-0.4099563993746881
PSERT,3php_c + glu__L_c --> akg_c + pser__L_c,Phosphoserine transaminase,0.39041605945504004
PSP_L,h2o_c + pser__L_c --> pi_c + ser__L_c,Phosphoserine phosphatase (L-serine),0.39041605945504004
PGCD,3pg_c + nad_c --> 3php_c + h_c + nadh_c,Phosphoglycerate dehydrogenase,0.39041605945504004
MTHFD,mlthf_c + nadp_c <=> methf_c + nadph_c,Methylenetetrahydrofolate dehydrogenase (NADP),0.37159788031841445
MTHFC,h2o_c + methf_c <=> 10fthf_c + h_c,Methenyltetrahydrofolate cyclohydrolase,0.37159788031841445
GHMT2r,ser__L_c + thf_c <=> gly_c + h2o_c + mlthf_c,"Glycine hydroxymethyltransferase, reversible",0.33677604285489005
PRPPS,atp_c + r5p_c <=> amp_c + h_c + prpp_c,Phosphoribosylpyrophosphate synthetase,0.33411110403024646
ALAR,ala__L_c <=> ala__D_c,Alanine racemase,0.27405264773219795
RPE,ru5p__D_c <=> xu5p__D_c,Ribulose 5-phosphate 3-epimerase,-0.24171297779464093
RPI,r5p_c <=> ru5p__D_c,Ribose-5-phosphate isomerase,-0.2413574650464505
PGAMT,gam1p_c <=> gam6p_c,Phosphoglucosamine mutase,-0.2382542732294806
UAGDP,acgam1p_c + h_c + utp_c --> ppi_c + uacgam_c,UDP-N-acetylglucosamine diphosphorylase,0.2382542732294806
GF6PTA,f6p_c + gln__L_c --> gam6p_c + glu__L_c,Glutamine-fructose-6-phosphate transaminase,0.2382542732294806
G1PACT,accoa_c + gam1p_c --> acgam1p_c + coa_c + h_c,Glucosamine-1-phosphate N-acetyltransferase,0.2382542732294806
ASPK,asp__L_c + atp_c <=> 4pasp_c + adp_c,Aspartate kinase,0.23218764971129563
ASAD,aspsa_c + nadp_c + pi_c <=> 4pasp_c + h_c + nadph_c,Aspartate-semialdehyde dehydrogenase,-0.23218764971129563
UMPK,atp_c + ump_c <=> adp_c + udp_c,UMP kinase,0.19568764598586166
AICART,10fthf_c + aicar_c <=> fprica_c + thf_c,Phosphoribosylaminoimidazolecarboxamide formyltransferase,0.19264484372921684
IMPC,h2o_c + imp_c <=> fprica_c,IMP cyclohydrolase,-0.19264484372921684
GALUi,g1p_c + h_c + utp_c --> ppi_c + udpg_c,UTP-glucose-1-phosphate uridylyltransferase (irreversible),0.18953220565429074
PGMT,g1p_c <=> g6p_c,Phosphoglucomutase,-0.18953220565429074
NDPK1,atp_c + gdp_c <=> adp_c + gtp_c,Nucleoside-diphosphate kinase (ATP:GDP),0.18185231609925517
PRAIS,atp_c + fpram_c --> adp_c + air_c + 2.0 h_c + pi_c,Phosphoribosylaminoimidazole synthase,0.17886415840214998
GLUPRT,gln__L_c + h2o_c + prpp_c --> glu__L_c + ppi_c + pram_c,Glutamine phosphoribosyldiphosphate amidotransferase,0.17886415840214998
GARFT,10fthf_c + gar_c <=> fgam_c + h_c + thf_c,Phosphoribosylglycinamide formyltransferase,0.17886415840214998
PRFGS,atp_c + fgam_c + gln__L_c + h2o_c --> adp_c + fpram_c + glu__L_c + h_c + pi_c,Phosphoribosylformylglycinamidine synthase,0.17886415840214998
PRAGSr,atp_c + gly_c + pram_c <=> adp_c + gar_c + h_c + pi_c,Phosphoribosylglycinamide synthase,0.17886415840214998
AIRCr,air_c + co2_c <=> 5aizc_c + h_c,Phosphoribosylaminoimidazole carboxylase,0.17877528021510236
ADSL2r,25aics_c <=> aicar_c + fum_c,Adenylosuccinate lyase,0.17877528021510236
PRASCSi,5aizc_c + asp__L_c + atp_c --> 25aics_c + adp_c + h_c + pi_c,Phosphoribosylaminoimidazolesuccinocarboxamide synthase,0.17877528021510236
CBPS,2.0 atp_c + gln__L_c + h2o_c + hco3_c --> 2.0 adp_c + cbp_c + glu__L_c + 2.0 h_c + pi_c,Carbamoyl-phosphate synthase (glutamine-hydrolysing),0.17544933835478335
ACCOAC,accoa_c + atp_c + hco3_c --> adp_c + h_c + malcoa_c + pi_c,Acetyl-CoA carboxylase,0.16638412156313362
TKT2,e4p_c + xu5p__D_c <=> f6p_c + g3p_c,Transketolase,-0.1488704606237973
ACLS,h_c + 2.0 pyr_c --> alac__S_c + co2_c,Acetolactate synthase,0.140367323025953
DHAD1,23dhmb_c --> 3mob_c + h2o_c,"Dihydroxy-acid dehydratase (2,3-dihydroxy-3-methylbutanoate)",0.140367323025953
KARA1i,alac__S_c + h_c + nadph_c --> 23dhmb_c + nadp_c,Acetohydroxy acid isomeroreductase,0.140367323025953
CYTBD2,2.0 h_c + mql8_c + 0.5 o2_c --> h2o_c + 2.0 h_e + mqn8_c,CYTBD2,0.13250091796445665
DHORD5,dhor__S_c + mqn8_c --> mql8_c + orot_c,Dihydroorotic acid (menaquinone-8),0.13214540521626622
ASPCT,asp__L_c + cbp_c --> cbasp_c + h_c + pi_c,Aspartate carbamoyltransferase,0.13214540521626622
ORPT,orot5p_c + ppi_c <=> orot_c + prpp_c,Orotate phosphoribosyltransferase,-0.13214540521626622
OMPDC,h_c + orot5p_c --> co2_c + ump_c,Orotidine-5'-phosphate decarboxylase,0.13214540521626622
DHORTS,dhor__S_c + h2o_c <=> cbasp_c + h_c,Dihydroorotase,-0.13214540521626622
HSDy,hom__L_c + nadp_c <=> aspsa_c + h_c + nadph_c,Homoserine dehydrogenase (NADPH),-0.12116041516171944
SDPDS,h2o_c + sl26da_c --> 26dap_LL_c + succ_c,Succinyl-diaminopimelate desuccinylase,0.11102723454957619
SDPTA,akg_c + sl26da_c <=> glu__L_c + sl2a6o_c,Succinyldiaminopimelate transaminase,-0.11102723454957619
DHDPRy,23dhdp_c + h_c + nadph_c --> nadp_c + thdp_c,Dihydrodipicolinate reductase (NADPH),0.11102723454957619
DHDPS,aspsa_c + pyr_c --> 23dhdp_c + 2.0 h2o_c + h_c,Dihydrodipicolinate synthase,0.11102723454957619
DAPE,26dap_LL_c <=> 26dap__M_c,Diaminopimelate epimerase,0.11102723454957619
THDPS,h2o_c + succoa_c + thdp_c --> coa_c + sl2a6o_c,Tetrahydrodipicolinate succinylase,0.11102723454957619
THRS,h2o_c + phom_c --> pi_c + thr__L_c,Threonine synthase,0.0985719491073264
HSK,atp_c + hom__L_c --> adp_c + h_c + phom_c,Homoserine kinase,0.0985719491073264
GK1,atp_c + gmp_c <=> adp_c + gdp_c,Guanylate kinase (GMP:ATP),0.09716319767818053
GMPS,atp_c + nh4_c + xmp_c --> amp_c + gmp_c + 2.0 h_c + ppi_c,GMP synthase,0.09716319767818053
IMPD,h2o_c + imp_c + nad_c --> h_c + nadh_c + xmp_c,IMP dehydrogenase,0.09716319767818053
ADSL1r,dcamp_c <=> amp_c + fum_c,Adenylsuccinate lyase,0.0954816460510363
ADSS,asp__L_c + gtp_c + imp_c --> dcamp_c + gdp_c + 2.0 h_c + pi_c,Adenylosuccinate synthase,0.0954816460510363
TKT1,r5p_c + xu5p__D_c <=> g3p_c + s7p_c,Transketolase,-0.09284251717084359
TALA,g3p_c + s7p_c <=> e4p_c + f6p_c,Transaldolase,-0.09284251717084359
