,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
12PPDStpp,1.59518471002132,1.61616657395955,1.21061343555039,2.24536269214979,1.61416377699759,1.5945393190609,2.17278206688326,1.90561540739472,1.16746916742433,1.50650288029039,1.20226511460831,1.22691653404386,2.00793371347682,0.801071554468088,1.38637582396149,1.69241095819259,0.8249631273775241,1.06231310662451,1.66651077507217,1.7428672031116204,1.04483067210786,1.44593201221714,2.19386021855613,0.747925352197468
12PPDt,1.59518471002132,1.61616657395955,1.21061343555039,2.24536269214979,1.61416377699759,1.5945393190609,2.17278206688326,1.90561540739472,1.16746916742433,1.50650288029039,1.20226511460831,1.22691653404386,2.00793371347682,0.801071554468088,1.38637582396149,1.69241095819259,0.8249631273775241,1.06231310662451,1.66651077507217,1.7428672031116204,1.04483067210786,1.44593201221714,2.19386021855613,0.747925352197468
14GLUCANabcpp,9.890145202132166,9.623537326759127,10.030797037417514,2.2453626921497882,3.038425933171938,2.251114332791848,4.34556413376651,4.552303473220707,4.776010230372247,5.965751405949945,8.138410006579345,9.338198064667171,2.2756582086070587,1.7477924824758282,1.525013406357642,2.0308931498311096,1.546805863832862,2.807541781793354,7.9479744657288185,6.75361041205753,7.662091595457638,1.2049433435142802,1.771964022679955,0.9616183099681751
2AGPEAT120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
