,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
12PPDStpp,15.1675758798251,15.367078803457696,11.510937278605699,21.3496962432991,15.348035507279198,15.1614392761435,20.6595741939719,18.1192598624124,11.100706440464899,14.3243579294803,11.431558514151304,11.6659528588847,19.0921382141455,7.616869389001219,13.1821477323525,16.092037158436998,7.84403884637861,10.100845721273698,15.845769130469801,16.5717928372701,9.93461660032638,13.748428865067599,20.8599926551673,7.111536651920638
12PPDt,15.1675758798251,15.367078803457696,11.510937278605699,21.3496962432991,15.348035507279198,15.1614392761435,20.6595741939719,18.1192598624124,11.100706440464899,14.3243579294803,11.431558514151304,11.6659528588847,19.0921382141455,7.616869389001219,13.1821477323525,16.092037158436998,7.84403884637861,10.100845721273698,15.845769130469801,16.5717928372701,9.93461660032638,13.748428865067599,20.8599926551673,7.111536651920638
14GLUCANabcpp,94.03897045491549,91.5039692387708,95.37633745130475,21.349696243299043,28.89041977840788,21.4043848604378,41.31914838794384,43.28489856020727,45.41198089281079,56.724457400741855,77.38285763425505,88.79086342595535,21.63775664269821,16.6186241214572,14.50036250558779,19.310444590124412,14.707572836959898,26.6950922633661,75.57212969916384,64.21569724442158,72.85385506906016,11.45702405422302,16.84845560609664,9.14340426675512
2AGPEAT120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
