,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-H-R4,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
12PPDStpp,2.4037685320043,1.81802499378664,2.59815726526286,0,0,0,3.0000119196677204,2.7380436611831898,3.57232140713949,2.7722358730096,3.09050857443107,1.73790184871088,0,0,0,1.63711983883127,1.43140773735407,2.30774829000877,5.82758115670314,6.96932291131352,4.483561905791911,1.8226096811376296,1.88277701793801,1.84157920562232,0,0,0,2.89248349556712,2.13582118848909,2.53343204530623,2.63925709075,2.27383182660523,2.8873078413948305,3.69061119588075,0,0,0,2.37356473562163,2.41686117808327,2.82043144724402,5.80085580539526,5.15309793639885,5.181723294671411
12PPDt,2.4037685320043,1.81802499378664,2.59815726526286,0,0,0,3.0000119196677204,2.7380436611831898,3.57232140713949,2.7722358730096,3.09050857443107,1.73790184871088,0,0,0,1.63711983883127,1.43140773735407,2.30774829000877,5.82758115670314,6.96932291131352,4.483561905791911,1.8226096811376296,1.88277701793801,1.84157920562232,0,0,0,2.89248349556712,2.13582118848909,2.53343204530623,2.63925709075,2.27383182660523,2.8873078413948305,3.69061119588075,0,0,0,2.37356473562163,2.41686117808327,2.82043144724402,5.80085580539526,5.15309793639885,5.181723294671411
14GLUCANabcpp,1.6345626017629242,3.85421298682769,2.9753091263494063,0,0,0,2.2941267620988413,3.01184802730152,3.028707279966096,1.9508326513771221,1.755970780926746,1.231013809503539,0,0,0,2.12825579048065,1.4314077373540708,1.230799088004676,3.0802928971145183,1.4519422731903189,2.590502434457545,2.0577851238650697,2.6986470590444855,2.12489908341037,0,0,0,2.121154563415889,1.2967485787255153,1.9442618022117522,1.072198193117188,3.0094832999186916,1.380886358927963,1.1701937938158462,0,0,0,1.1428274652993031,3.185862462018848,1.34890199650801,2.6546289278927477,2.703264491225622,1.845545283033653
2AGPEAT120,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT140,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT141,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT160,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT161,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT180,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT181,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
