,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
12PPDStpp,2.4259578162755298,1.80762210523173,2.62463656581359,0,0,0,3.06679735479671,2.71455350348171,3.71405543778876,2.7599788391518905,3.07229634243942,1.73646608335264,0,0,0,1.5912215361962398,1.39204451235757,2.2559859057076697,5.876405646307241,6.88964129616299,4.36714072970846,1.85422403288349,1.8711755023666297,1.87118651541042,0,0,0,2.95431763491831,2.19133381659055,2.6049696560671003,3.6562857162929694,2.2462902885893703,2.83160690698901,0,0,0,2.3632880266684504,2.3752709224069,2.81052188821364,5.65082863212615,5.16669882164643,5.2016059288515715
12PPDt,2.4259578162755298,1.80762210523173,2.62463656581359,0,0,0,3.06679735479671,2.71455350348171,3.71405543778876,2.7599788391518905,3.07229634243942,1.73646608335264,0,0,0,1.5912215361962398,1.39204451235757,2.2559859057076697,5.876405646307241,6.88964129616299,4.36714072970846,1.85422403288349,1.8711755023666297,1.87118651541042,0,0,0,2.95431763491831,2.19133381659055,2.6049696560671003,3.6562857162929694,2.2462902885893703,2.83160690698901,0,0,0,2.3632880266684504,2.3752709224069,2.81052188821364,5.65082863212615,5.16669882164643,5.2016059288515715
14GLUCANabcpp,1.6496513150673628,3.8321588630912697,3.00563219633492,0,0,0,2.345197977197481,2.98600885382988,3.148873088560036,1.9422073312550359,1.745622921840583,1.229996809041455,0,0,0,2.068587997055102,1.3920445123575749,1.203192483044092,3.1061001273338285,1.435341936700621,2.52323686605378,2.093478746803934,2.6820182200588363,2.159061363935098,0,0,0,2.1664995989400953,1.330452674358551,1.9991627593073105,1.1593101051660653,2.9730312643094545,1.354246781603437,0,0,0,1.1378794202477742,3.1310389431727303,1.344162642189131,2.5859724248712896,2.710399381847308,1.852626769180011
2AGPEAT120,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT140,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT141,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT160,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT161,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT180,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT181,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
