Line Name,Measurement Type,Time,Value,Units
WT-P-R1,"Pd630_LPD00001	",24,52.0526453,RPKM
WT-P-R1,"Pd630_LPD00002	",24,79.22537476,RPKM
WT-P-R1,"Pd630_LPD00003	",24,130.9147878,RPKM
WT-P-R1,"Pd630_LPD00004	",24,14.2434993,RPKM
WT-P-R1,"Pd630_LPD00005	",24,36.64885668,RPKM
WT-P-R1,"Pd630_LPD00006	",24,6.281114489,RPKM
WT-P-R1,"Pd630_LPD00007	",24,3.293924125,RPKM
WT-P-R1,"Pd630_LPD00008	",24,2.616898187,RPKM
WT-P-R1,"Pd630_LPD00009	",24,330.585987,RPKM
WT-P-R1,"Pd630_LPD00011	",24,17.56465647,RPKM
WT-P-R1,"Pd630_LPD00012	",24,67.073105,RPKM
WT-P-R1,"Pd630_LPD00013	",24,39.1235515,RPKM
WT-P-R1,"Pd630_LPD00014	",24,41.50435661,RPKM
WT-P-R1,"Pd630_LPD00015	",24,20.23289044,RPKM
WT-P-R1,"Pd630_LPD00016	",24,333.9204734,RPKM
WT-P-R1,"Pd630_LPD00017	",24,231.7842384,RPKM
WT-P-R1,"Pd630_LPD00018	",24,112.3154812,RPKM
WT-P-R1,"Pd630_LPD00019	",24,140.7413215,RPKM
WT-P-R1,"Pd630_LPD00020	",24,7.625882739,RPKM
WT-P-R1,"Pd630_LPD00021	",24,83.03396848,RPKM
WT-P-R1,"Pd630_LPD00022	",24,44.01786187,RPKM
WT-P-R1,"Pd630_LPD00023	",24,89.05845785,RPKM
WT-P-R1,"Pd630_LPD00024	",24,747.2030462,RPKM
WT-P-R1,"Pd630_LPD00025	",24,565.724496,RPKM
WT-P-R1,"Pd630_LPD00026	",24,48.89026828,RPKM
WT-P-R1,"Pd630_LPD00027	",24,36.84483987,RPKM
WT-P-R1,"Pd630_LPD00028	",24,350.6862228,RPKM
WT-P-R1,"Pd630_LPD00029	",24,65.58066583,RPKM
WT-P-R1,"Pd630_LPD00030	",24,89.29088222,RPKM
WT-P-R1,"Pd630_LPD00031	",24,116.3136682,RPKM
WT-P-R1,"Pd630_LPD00032	",24,72.27257051,RPKM
WT-P-R1,"Pd630_LPD00033	",24,30.64784408,RPKM
WT-P-R1,"Pd630_LPD00034	",24,66.36161801,RPKM
WT-P-R1,"Pd630_LPD00035	",24,73.79358183,RPKM
WT-P-R1,"Pd630_LPD00036	",24,79.42211512,RPKM
WT-P-R1,"Pd630_LPD00037	",24,295.403748,RPKM
WT-P-R1,"Pd630_LPD00039	",24,99.16468977,RPKM
WT-P-R1,"Pd630_LPD00040	",24,7.66527263,RPKM
WT-P-R1,"Pd630_LPD00041	",24,359.3736992,RPKM
WT-P-R1,"Pd630_LPD00042	",24,94.95552012,RPKM
WT-P-R1,"Pd630_LPD00043	",24,51.45722491,RPKM
WT-P-R1,"Pd630_LPD00044	",24,48.99013169,RPKM
WT-P-R1,"Pd630_LPD00045	",24,27.27935259,RPKM
WT-P-R1,"Pd630_LPD00046	",24,8.588281289,RPKM
WT-P-R1,"Pd630_LPD00047	",24,22.63080491,RPKM
WT-P-R1,"Pd630_LPD00049	",24,4.328825838,RPKM
WT-P-R1,"Pd630_LPD00050	",24,2.160614963,RPKM
