Line Name,Measurement Type,Time,Value,Units
PVHG6-P-R3,"Pd630_LPD00001	",21,62.40030066,RPKM
PVHG6-P-R3,"Pd630_LPD00002	",21,178.3653594,RPKM
PVHG6-P-R3,"Pd630_LPD00003	",21,121.3044543,RPKM
PVHG6-P-R3,"Pd630_LPD00004	",21,19.56067722,RPKM
PVHG6-P-R3,"Pd630_LPD00005	",21,39.27685821,RPKM
PVHG6-P-R3,"Pd630_LPD00006	",21,9.372999928,RPKM
PVHG6-P-R3,"Pd630_LPD00007	",21,5.036948487,RPKM
PVHG6-P-R3,"Pd630_LPD00008	",21,5.374329352,RPKM
PVHG6-P-R3,"Pd630_LPD00009	",21,424.7036175,RPKM
PVHG6-P-R3,"Pd630_LPD00011	",21,64.54483506,RPKM
PVHG6-P-R3,"Pd630_LPD00012	",21,174.1417282,RPKM
PVHG6-P-R3,"Pd630_LPD00013	",21,117.6204783,RPKM
PVHG6-P-R3,"Pd630_LPD00014	",21,134.1647761,RPKM
PVHG6-P-R3,"Pd630_LPD00015	",21,79.22199121,RPKM
PVHG6-P-R3,"Pd630_LPD00016	",21,517.1676378,RPKM
PVHG6-P-R3,"Pd630_LPD00017	",21,274.7157322,RPKM
PVHG6-P-R3,"Pd630_LPD00018	",21,61.11059548,RPKM
PVHG6-P-R3,"Pd630_LPD00019	",21,200.9284682,RPKM
PVHG6-P-R3,"Pd630_LPD00020	",21,48.17187697,RPKM
PVHG6-P-R3,"Pd630_LPD00021	",21,23.17703891,RPKM
PVHG6-P-R3,"Pd630_LPD00022	",21,20.3629091,RPKM
PVHG6-P-R3,"Pd630_LPD00023	",21,42.42410484,RPKM
PVHG6-P-R3,"Pd630_LPD00024	",21,321.6195906,RPKM
PVHG6-P-R3,"Pd630_LPD00025	",21,1040.305903,RPKM
PVHG6-P-R3,"Pd630_LPD00026	",21,87.45659247,RPKM
PVHG6-P-R3,"Pd630_LPD00027	",21,77.39016019,RPKM
PVHG6-P-R3,"Pd630_LPD00028	",21,617.1579703,RPKM
PVHG6-P-R3,"Pd630_LPD00029	",21,61.89784953,RPKM
PVHG6-P-R3,"Pd630_LPD00030	",21,211.6485562,RPKM
PVHG6-P-R3,"Pd630_LPD00031	",21,199.5181602,RPKM
PVHG6-P-R3,"Pd630_LPD00032	",21,85.54103117,RPKM
PVHG6-P-R3,"Pd630_LPD00033	",21,49.94698389,RPKM
PVHG6-P-R3,"Pd630_LPD00034	",21,95.9435436,RPKM
PVHG6-P-R3,"Pd630_LPD00035	",21,117.329313,RPKM
PVHG6-P-R3,"Pd630_LPD00036	",21,167.1594297,RPKM
PVHG6-P-R3,"Pd630_LPD00037	",21,391.375206,RPKM
PVHG6-P-R3,"Pd630_LPD00039	",21,54.86977633,RPKM
PVHG6-P-R3,"Pd630_LPD00040	",21,8.109611302,RPKM
PVHG6-P-R3,"Pd630_LPD00041	",21,62.43231558,RPKM
PVHG6-P-R3,"Pd630_LPD00042	",21,10.63943174,RPKM
PVHG6-P-R3,"Pd630_LPD00043	",21,48.29182068,RPKM
PVHG6-P-R3,"Pd630_LPD00044	",21,14.07546835,RPKM
PVHG6-P-R3,"Pd630_LPD00045	",21,4.176498498,RPKM
PVHG6-P-R3,"Pd630_LPD00046	",21,6.864094207,RPKM
PVHG6-P-R3,"Pd630_LPD00047	",21,26.25969374,RPKM
PVHG6-P-R3,"Pd630_LPD00049	",21,18.94483814,RPKM
PVHG6-P-R3,"Pd630_LPD00050	",21,8.327064959,RPKM
PVHG6-P-R3,"Pd630_LPD00051	",21,9.743297487,RPKM
PVHG6-P-R3,"Pd630_LPD00052	",21,7.94410903,RPKM
PVHG6-P-R3,"Pd630_LPD00053	",21,26.0245539,RPKM
PVHG6-P-R3,"Pd630_LPD00054	",21,190.4176506,RPKM
PVHG6-P-R3,"Pd630_LPD00055	",21,341.5064143,RPKM
PVHG6-P-R3,"Pd630_LPD00056	",21,1113.015256,RPKM
PVHG6-P-R3,"Pd630_LPD00057	",21,105.2991652,RPKM
PVHG6-P-R3,"Pd630_LPD00058	",21,22.33833361,RPKM
PVHG6-P-R3,"Pd630_LPD00059	",21,75.13355821,RPKM
PVHG6-P-R3,"Pd630_LPD00060	",21,55.00586208,RPKM
PVHG6-P-R3,"Pd630_LPD00061	",21,37.20359972,RPKM
PVHG6-P-R3,"Pd630_LPD00062	",21,20.13544503,RPKM
PVHG6-P-R3,"Pd630_LPD00063	",21,1364.502054,RPKM
PVHG6-P-R3,"Pd630_LPD00064	",21,501.5109093,RPKM
PVHG6-P-R3,"Pd630_LPD00065	",21,131.6308699,RPKM
PVHG6-P-R3,"Pd630_LPD00066	",21,33.24900267,RPKM
PVHG6-P-R3,"Pd630_LPD00067	",21,54.83421258,RPKM
PVHG6-P-R3,"Pd630_LPD00068	",21,6.561892258,RPKM
PVHG6-P-R3,"Pd630_LPD00069	",21,3.849568253,RPKM
PVHG6-P-R3,"Pd630_LPD00070	",21,32.93599105,RPKM
PVHG6-P-R3,"Pd630_LPD00071	",21,90.25971247,RPKM
PVHG6-P-R3,"Pd630_LPD00072	",21,55.5340675,RPKM
PVHG6-P-R3,"Pd630_LPD00073	",21,5.061947522,RPKM
PVHG6-P-R3,"Pd630_LPD00074	",21,29.60396549,RPKM
PVHG6-P-R3,"Pd630_LPD00075	",21,403.5303791,RPKM
PVHG6-P-R3,"Pd630_LPD00076	",21,24.55772003,RPKM
PVHG6-P-R3,"Pd630_LPD00077	",21,156.7907006,RPKM
PVHG6-P-R3,"Pd630_LPD00078	",21,105.9950103,RPKM
PVHG6-P-R3,"Pd630_LPD00079	",21,41.59477617,RPKM
PVHG6-P-R3,"Pd630_LPD00080	",21,18.51871774,RPKM
PVHG6-P-R3,"Pd630_LPD00081	",21,45.56829208,RPKM
PVHG6-P-R3,"Pd630_LPD00082	",21,15.29240988,RPKM
PVHG6-P-R3,"Pd630_LPD00083	",21,106.162518,RPKM
PVHG6-P-R3,"Pd630_LPD00084	",21,173.7621079,RPKM
PVHG6-P-R3,"Pd630_LPD00085	",21,19.69607347,RPKM
PVHG6-P-R3,"Pd630_LPD00086	",21,32.29145129,RPKM
PVHG6-P-R3,"Pd630_LPD00087	",21,7.497252897,RPKM
PVHG6-P-R3,"Pd630_LPD00088	",21,34.78247738,RPKM
PVHG6-P-R3,"Pd630_LPD00089	",21,8.590722556,RPKM
PVHG6-P-R3,"Pd630_LPD00090	",21,40.4074418,RPKM
PVHG6-P-R3,"Pd630_LPD00091	",21,38.55229382,RPKM
PVHG6-P-R3,"Pd630_LPD00092	",21,9.459222608,RPKM
PVHG6-P-R3,"Pd630_LPD00093	",21,13.30866542,RPKM
PVHG6-P-R3,"Pd630_LPD00094	",21,15.45698319,RPKM
PVHG6-P-R3,"Pd630_LPD00095	",21,11.50571791,RPKM
PVHG6-P-R3,"Pd630_LPD00096	",21,2.209176388,RPKM
PVHG6-P-R3,"Pd630_LPD00097	",21,1.565906107,RPKM
PVHG6-P-R3,"Pd630_LPD00098	",21,2.137138027,RPKM
PVHG6-P-R3,"Pd630_LPD00099	",21,8.240952962,RPKM
PVHG6-P-R3,"Pd630_LPD00100	",21,23.65313666,RPKM
PVHG6-P-R3,"Pd630_LPD00101	",21,16.19196341,RPKM
PVHG6-P-R3,"Pd630_LPD00102	",21,41.50796968,RPKM
PVHG6-P-R3,"Pd630_LPD00103	",21,28.78163311,RPKM
PVHG6-P-R3,"Pd630_LPD00104	",21,12.79459868,RPKM
PVHG6-P-R3,"Pd630_LPD00105	",21,0.867542593,RPKM
PVHG6-P-R3,"Pd630_LPD00106	",21,0.144677482,RPKM
PVHG6-P-R3,"Pd630_LPD00107	",21,0.154390812,RPKM
PVHG6-P-R3,"Pd630_LPD00108	",21,0.166765648,RPKM
PVHG6-P-R3,"Pd630_LPD00109	",21,0,RPKM
PVHG6-P-R3,"Pd630_LPD00110	",21,0.086349011,RPKM
PVHG6-P-R3,"Pd630_LPD00111	",21,0.107617241,RPKM
PVHG6-P-R3,"Pd630_LPD00112	",21,0.147610134,RPKM
PVHG6-P-R3,"Pd630_LPD00113	",21,2.240646137,RPKM
PVHG6-P-R3,"Pd630_LPD00114	",21,0.859526551,RPKM
PVHG6-P-R3,"Pd630_LPD00115	",21,0.806632609,RPKM
PVHG6-P-R3,"Pd630_LPD00116	",21,7.97357531,RPKM
PVHG6-P-R3,"Pd630_LPD00117	",21,6.464721379,RPKM
PVHG6-P-R3,"Pd630_LPD00118	",21,11.93366158,RPKM
PVHG6-P-R3,"Pd630_LPD00119	",21,8.007572307,RPKM
PVHG6-P-R3,"Pd630_LPD00120	",21,12.81369509,RPKM
PVHG6-P-R3,"Pd630_LPD00121	",21,9.325896863,RPKM
PVHG6-P-R3,"Pd630_LPD00122	",21,15.83490189,RPKM
PVHG6-P-R3,"Pd630_LPD00123	",21,9.227008625,RPKM
PVHG6-P-R3,"Pd630_LPD00124	",21,1.200853691,RPKM
PVHG6-P-R3,"Pd630_LPD00125	",21,7.328189185,RPKM
PVHG6-P-R3,"Pd630_LPD00126	",21,1.400403835,RPKM
PVHG6-P-R3,"Pd630_LPD00127	",21,0.636299995,RPKM
PVHG6-P-R3,"Pd630_LPD00128	",21,0.674789184,RPKM
PVHG6-P-R3,"Pd630_LPD00129	",21,0.690865892,RPKM
PVHG6-P-R3,"Pd630_LPD00130	",21,2.230381397,RPKM
PVHG6-P-R3,"Pd630_LPD00131	",21,8.908199932,RPKM
PVHG6-P-R3,"Pd630_LPD00132	",21,0.935055635,RPKM
PVHG6-P-R3,"Pd630_LPD00133	",21,1.652241164,RPKM
PVHG6-P-R3,"Pd630_LPD00136	",21,3.55962074,RPKM
PVHG6-P-R3,"Pd630_LPD00137	",21,3.583255528,RPKM
PVHG6-P-R3,"Pd630_LPD00138	",21,3.678203543,RPKM
PVHG6-P-R3,"Pd630_LPD00139	",21,35.78443683,RPKM
PVHG6-P-R3,"Pd630_LPD00140	",21,16.34653204,RPKM
PVHG6-P-R3,"Pd630_LPD00141	",21,2.573242048,RPKM
PVHG6-P-R3,"Pd630_LPD00142	",21,47.79278497,RPKM
PVHG6-P-R3,"Pd630_LPD00143	",21,3.807238975,RPKM
PVHG6-P-R3,"Pd630_LPD00145	",21,4.541730755,RPKM
PVHG6-P-R3,"Pd630_LPD00146	",21,0.622993341,RPKM
PVHG6-P-R3,"Pd630_LPD00147	",21,0.392919062,RPKM
PVHG6-P-R3,"Pd630_LPD00148	",21,0.520149996,RPKM
PVHG6-P-R3,"Pd630_LPD00149	",21,1.600806453,RPKM
PVHG6-P-R3,"Pd630_LPD00150	",21,1.255534473,RPKM
PVHG6-P-R3,"Pd630_LPD00151	",21,7.03936328,RPKM
PVHG6-P-R3,"Pd630_LPD00152	",21,10.543581,RPKM
PVHG6-P-R3,"Pd630_LPD00153	",21,4.16914119,RPKM
PVHG6-P-R3,"Pd630_LPD00157	",21,0.919844204,RPKM
PVHG6-P-R3,"Pd630_LPD00158	",21,3.82873296,RPKM
PVHG6-P-R3,"Pd630_LPD00160	",21,24.59455504,RPKM
PVHG6-P-R3,"Pd630_LPD00161	",21,52.85124075,RPKM
PVHG6-P-R3,"Pd630_LPD00162	",21,18.38286205,RPKM
PVHG6-P-R3,"Pd630_LPD00163	",21,29.06424031,RPKM
PVHG6-P-R3,"Pd630_LPD00164	",21,3.162604653,RPKM
PVHG6-P-R3,"Pd630_LPD00165	",21,34.45411466,RPKM
PVHG6-P-R3,"Pd630_LPD00166	",21,1.817003661,RPKM
PVHG6-P-R3,"Pd630_LPD00167	",21,1.82513391,RPKM
PVHG6-P-R3,"Pd630_LPD00168	",21,1.159980522,RPKM
PVHG6-P-R3,"Pd630_LPD00169	",21,4.46856133,RPKM
PVHG6-P-R3,"Pd630_LPD00170	",21,12.85076461,RPKM
