Line Name,Measurement Type,Time,Value,Units
WT-C1-R1,Optical Density,0,0.009250807,n/a
WT-C1-R1,Optical Density,3.815277778,0.017942567,n/a
WT-C1-R1,Optical Density,10.57694444,0.050339116,n/a
WT-C1-R1,Optical Density,14.79083333,0.059030876,n/a
WT-C1-R1,Optical Density,19.89388889,0.103477392,n/a
WT-C1-R1,Optical Density,23.24555556,0.153652548,n/a
WT-C1-R1,Optical Density,29.30138889,0.195926088,n/a
WT-C1-R1,Optical Density,34.14083333,0.272769153,n/a
WT-C1-R1,Optical Density,40.13944444,0.297856746,n/a
WT-C1-R1,Optical Density,45.16194444,0.31662304,n/a
WT-C1-R1,Optical Density,50.67194444,0.276127331,n/a
WT-C1-R1,Optical Density,54.7325,0.269608519,n/a
WT-C1-R1,Optical Density,63.22666667,0.301807554,n/a
WT-C1-R2,Optical Density,0,0.008460633,n/a
WT-C1-R2,Optical Density,3.815277778,0.016757321,n/a
WT-C1-R2,Optical Density,10.57694444,0.063179227,n/a
WT-C1-R2,Optical Density,14.79083333,0.06219151,n/a
WT-C1-R2,Optical Density,19.89388889,0.118490422,n/a
WT-C1-R2,Optical Density,23.24555556,0.15898613,n/a
WT-C1-R2,Optical Density,29.30138889,0.213902238,n/a
WT-C1-R2,Optical Density,34.14083333,0.31721564,n/a
WT-C1-R2,Optical Density,40.13944444,0.296473972,n/a
WT-C1-R2,Optical Density,45.16194444,0.336772108,n/a
WT-C1-R2,Optical Density,50.67194444,0.273361783,n/a
WT-C1-R2,Optical Density,54.7325,0.28304126,n/a
WT-C1-R2,Optical Density,63.22666667,0.298251833,n/a
WT-C1-R3,Optical Density,0,0.014979461,n/a
WT-C1-R3,Optical Density,3.815277778,0.023078605,n/a
WT-C1-R3,Optical Density,10.57694444,0.094983146,n/a
WT-C1-R3,Optical Density,14.79083333,0.080957834,n/a
WT-C1-R3,Optical Density,19.89388889,0.150689427,n/a
WT-C1-R3,Optical Density,23.24555556,0.178147511,n/a
WT-C1-R3,Optical Density,29.30138889,0.223581714,n/a
WT-C1-R3,Optical Density,34.14083333,0.302202641,n/a
WT-C1-R3,Optical Density,40.13944444,0.320376275,n/a
WT-C1-R3,Optical Density,45.16194444,0.376872729,n/a
WT-C1-R3,Optical Density,50.67194444,0.306746049,n/a
WT-C1-R3,Optical Density,54.7325,0.267435571,n/a
WT-C1-R3,Optical Density,63.22666667,0.278497822,n/a
WT-C1-R4,Optical Density,0,0.004114753,n/a
WT-C1-R4,Optical Density,3.815277778,0.012608985,n/a
WT-C1-R4,Optical Density,10.57694444,0.073056218,n/a
WT-C1-R4,Optical Density,14.79083333,0.055672698,n/a
WT-C1-R4,Optical Density,19.89388889,0.123231374,n/a
WT-C1-R4,Optical Density,23.24555556,0.15898613,n/a
WT-C1-R4,Optical Density,29.30138889,0.20422279,n/a
WT-C1-R4,Optical Density,34.14083333,0.277905192,n/a
WT-C1-R4,Optical Density,40.13944444,0.313067318,n/a
WT-C1-R4,Optical Density,45.16194444,0.358699036,n/a
WT-C1-R4,Optical Density,50.67194444,0.275337187,n/a
WT-C1-R4,Optical Density,54.7325,0.225754632,n/a
WT-C1-R4,Optical Density,63.22666667,0.340722916,n/a
WT-C1-R5,Optical Density,0,0.005695086,n/a
WT-C1-R5,Optical Density,3.815277778,0.013399143,n/a
WT-C1-R5,Optical Density,10.57694444,0.043227673,n/a
WT-C1-R5,Optical Density,14.79083333,0.061203823,n/a
WT-C1-R5,Optical Density,19.89388889,0.110786349,n/a
WT-C1-R5,Optical Density,23.24555556,0.154245149,n/a
WT-C1-R5,Optical Density,29.30138889,0.212124377,n/a
WT-C1-R5,Optical Density,34.14083333,0.324919743,n/a
WT-C1-R5,Optical Density,40.13944444,0.311486972,n/a
WT-C1-R5,Optical Density,45.16194444,0.303585415,n/a
WT-C1-R5,Optical Density,50.67194444,0.288572356,n/a
WT-C1-R5,Optical Density,54.7325,0.313659919,n/a
WT-C1-R5,Optical Density,63.22666667,0.313067318,n/a
WT-C1-R6,Optical Density,0,0.007077859,n/a
WT-C1-R6,Optical Density,3.815277778,0.010040965,n/a
WT-C1-R6,Optical Density,10.57694444,0.046388308,n/a
WT-C1-R6,Optical Density,14.79083333,0.067920179,n/a
WT-C1-R6,Optical Density,19.89388889,0.11434207,n/a
WT-C1-R6,Optical Density,23.24555556,0.164319712,n/a
WT-C1-R6,Optical Density,29.30138889,0.238792287,n/a
WT-C1-R6,Optical Density,34.14083333,0.347636844,n/a
WT-C1-R6,Optical Density,40.13944444,0.3184009,n/a
WT-C1-R6,Optical Density,45.16194444,0.312672232,n/a
WT-C1-R6,Optical Density,50.67194444,0.297856746,n/a
WT-C1-R6,Optical Density,54.7325,0.293313337,n/a
WT-C1-R6,Optical Density,63.22666667,0.325117256,n/a
WT-C1-R7,Optical Density,0,0.008263105,n/a
WT-C1-R7,Optical Density,3.815277778,0.016164706,n/a
WT-C1-R7,Optical Density,10.57694444,0.073648848,n/a
WT-C1-R7,Optical Density,14.79083333,0.076019309,n/a
WT-C1-R7,Optical Density,19.89388889,0.153059918,n/a
WT-C1-R7,Optical Density,23.24555556,0.18506141,n/a
WT-C1-R7,Optical Density,29.30138889,0.22160631,n/a
WT-C1-R7,Optical Density,34.14083333,0.304968189,n/a
WT-C1-R7,Optical Density,40.13944444,0.315240266,n/a
WT-C1-R7,Optical Density,45.16194444,0.309314083,n/a
WT-C1-R7,Optical Density,50.67194444,0.305560789,n/a
WT-C1-R7,Optical Density,54.7325,0.211926834,n/a
WT-C1-R7,Optical Density,63.22666667,0.437319992,n/a
WT-C1-R8,Optical Density,0,0.001546734,n/a
WT-C1-R8,Optical Density,3.815277778,0.005695086,n/a
WT-C1-R8,Optical Density,10.57694444,0.039276895,n/a
WT-C1-R8,Optical Density,14.79083333,0.046388308,n/a
WT-C1-R8,Optical Density,19.89388889,0.113354383,n/a
WT-C1-R8,Optical Density,23.24555556,0.151677144,n/a
WT-C1-R8,Optical Density,29.30138889,0.180913059,n/a
WT-C1-R8,Optical Density,34.14083333,0.258546268,n/a
WT-C1-R8,Optical Density,40.13944444,0.282448601,n/a
WT-C1-R8,Optical Density,45.16194444,0.278497822,n/a
WT-C1-R8,Optical Density,50.67194444,0.262892163,n/a
WT-C1-R8,Optical Density,54.7325,0.228915267,n/a
WT-C1-R8,Optical Density,63.22666667,0.318993501,n/a
WT-C2-R1,Optical Density,0,0.00885572,n/a
WT-C2-R1,Optical Density,3.815277778,0.013991759,n/a
WT-C2-R1,Optical Density,10.57694444,0.05290715,n/a
WT-C2-R1,Optical Density,14.79083333,0.038486721,n/a
WT-C2-R1,Optical Density,19.89388889,0.06219151,n/a
WT-C2-R1,Optical Density,23.24555556,0.10387245,n/a
WT-C2-R1,Optical Density,29.30138889,0.164517226,n/a
WT-C2-R1,Optical Density,34.14083333,0.221211224,n/a
WT-C2-R1,Optical Density,40.13944444,0.295881312,n/a
WT-C2-R1,Optical Density,45.16194444,0.355143315,n/a
WT-C2-R1,Optical Density,50.67194444,0.290547789,n/a
WT-C2-R1,Optical Density,54.7325,0.29923952,n/a
WT-C2-R1,Optical Density,63.22666667,0.283633861,n/a
WT-C2-R2,Optical Density,0,0.021300745,n/a
WT-C2-R2,Optical Density,3.815277778,0.026831855,n/a
WT-C2-R2,Optical Density,10.57694444,0.097353637,n/a
WT-C2-R2,Optical Density,14.79083333,0.054882554,n/a
WT-C2-R2,Optical Density,19.89388889,0.08945205,n/a
WT-C2-R2,Optical Density,23.24555556,0.134293624,n/a
WT-C2-R2,Optical Density,29.30138889,0.184863867,n/a
WT-C2-R2,Optical Density,34.14083333,0.245508643,n/a
WT-C2-R2,Optical Density,40.13944444,0.333018872,n/a
WT-C2-R2,Optical Density,45.16194444,0.432381497,n/a
WT-C2-R2,Optical Density,50.67194444,0.310104198,n/a
WT-C2-R2,Optical Density,54.7325,0.302795241,n/a
WT-C2-R2,Optical Density,63.22666667,0.312474718,n/a
WT-C2-R3,Optical Density,0,0.019720413,n/a
WT-C2-R3,Optical Density,3.815277778,0.024461379,n/a
WT-C2-R3,Optical Density,10.57694444,0.084316012,n/a
WT-C2-R3,Optical Density,14.79083333,0.061203823,n/a
WT-C2-R3,Optical Density,19.89388889,0.11315684,n/a
WT-C2-R3,Optical Density,23.24555556,0.173406529,n/a
WT-C2-R3,Optical Density,29.30138889,0.206198194,n/a
WT-C2-R3,Optical Density,34.14083333,0.268818345,n/a
WT-C2-R3,Optical Density,40.13944444,0.394651336,n/a
WT-C2-R3,Optical Density,45.16194444,0.446209295,n/a
WT-C2-R3,Optical Density,50.67194444,0.348426959,n/a
WT-C2-R3,Optical Density,54.7325,0.234051306,n/a
WT-C2-R3,Optical Density,63.22666667,0.253015172,n/a
WT-C2-R4,Optical Density,0,0.008460633,n/a
WT-C2-R4,Optical Density,3.815277778,0.014386845,n/a
WT-C2-R4,Optical Density,10.57694444,0.093007772,n/a
WT-C2-R4,Optical Density,14.79083333,0.044017847,n/a
WT-C2-R4,Optical Density,19.89388889,0.07779717,n/a
WT-C2-R4,Optical Density,23.24555556,0.15029437,n/a
WT-C2-R4,Optical Density,29.30138889,0.189012188,n/a
WT-C2-R4,Optical Density,34.14083333,0.254793033,n/a
WT-C2-R4,Optical Density,40.13944444,0.35198268,n/a
WT-C2-R4,Optical Density,45.16194444,0.461617382,n/a
WT-C2-R4,Optical Density,50.67194444,0.329068064,n/a
WT-C2-R4,Optical Density,54.7325,0.332228699,n/a
WT-C2-R4,Optical Density,63.22666667,0.312277145,n/a
WT-C2-R5,Optical Density,0,0.011226196,n/a
WT-C2-R5,Optical Density,3.815277778,0.013794215,n/a
WT-C2-R5,Optical Density,10.57694444,0.038684265,n/a
WT-C2-R5,Optical Density,14.79083333,0.031572822,n/a
WT-C2-R5,Optical Density,19.89388889,0.049548972,n/a
WT-C2-R5,Optical Density,23.24555556,0.085303699,n/a
WT-C2-R5,Optical Density,29.30138889,0.138441946,n/a
WT-C2-R5,Optical Density,34.14083333,0.20995143,n/a
WT-C2-R5,Optical Density,40.13944444,0.291732991,n/a
WT-C2-R5,Optical Density,45.16194444,0.283831375,n/a
WT-C2-R5,Optical Density,50.67194444,0.269806062,n/a
WT-C2-R5,Optical Density,54.7325,0.253607773,n/a
WT-C2-R5,Optical Density,63.22666667,0.245113556,n/a
WT-C2-R6,Optical Density,0,0.004904927,n/a
WT-C2-R6,Optical Density,3.815277778,0.010436037,n/a
WT-C2-R6,Optical Density,10.57694444,0.039079351,n/a
WT-C2-R6,Optical Density,14.79083333,0.038684265,n/a
WT-C2-R6,Optical Density,19.89388889,0.08708156,n/a
WT-C2-R6,Optical Density,23.24555556,0.129947729,n/a
WT-C2-R6,Optical Density,29.30138889,0.200667069,n/a
WT-C2-R6,Optical Density,34.14083333,0.283436347,n/a
WT-C2-R6,Optical Density,40.13944444,0.392675961,n/a
WT-C2-R6,Optical Density,45.16194444,0.378255503,n/a
WT-C2-R6,Optical Density,50.67194444,0.33578442,n/a
WT-C2-R6,Optical Density,54.7325,0.290745303,n/a
WT-C2-R6,Optical Density,63.22666667,0.261114302,n/a
WT-C2-R7,Optical Density,0,0.019127797,n/a
