Line Name,Measurement Type,Time,Value,Units,,,,,
WT-R1,CID:996:Phenol,0,1.5311825,g/L,,,,,
WT-R1,CID:996:Phenol,16.61361111,1.3832669,g/L,,,,,
WT-R1,CID:996:Phenol,41.23694444,1.1085665,g/L,,,,,
WT-R1,CID:996:Phenol,52.08611111,0.8479533,g/L,,,,,
WT-R1,CID:996:Phenol,61.72027778,0.7669519,g/L,,,,,
WT-R2,CID:996:Phenol,0,1.539987,g/L,,,,,
WT-R2,CID:996:Phenol,16.61361111,1.4132022,g/L,,,,,
WT-R2,CID:996:Phenol,41.23694444,1.1208928,g/L,,,,,
WT-R2,CID:996:Phenol,52.08611111,0.8602796,g/L,,,,,
WT-R2,CID:996:Phenol,61.72027778,0.7775173,g/L,,,,,
WT-R3,CID:996:Phenol,0,1.4959645,g/L,,,,,
WT-R3,CID:996:Phenol,16.61361111,1.4378548,g/L,,,,,
WT-R3,CID:996:Phenol,41.23694444,1.1120883,g/L,,,,,
WT-R3,CID:996:Phenol,52.08611111,0.870845,g/L,,,,,
WT-R3,CID:996:Phenol,61.72027778,0.765191,g/L,,,,,
EVOL33-R1,CID:996:Phenol,0,1.5523133,g/L,,,,,
EVOL33-R1,CID:996:Phenol,16.61361111,1.4589856,g/L,,,,,
EVOL33-R1,CID:996:Phenol,41.23694444,0.6137536,g/L,,,,,
EVOL33-R1,CID:996:Phenol,52.08611111,0.3144006,g/L,,,,,
EVOL33-R1,CID:996:Phenol,61.72027778,0.2439646,g/L,,,,,
EVOL33-R2,CID:996:Phenol,0,1.575205,g/L,,,,,
EVOL33-R2,CID:996:Phenol,16.61361111,1.469551,g/L,,,,,
EVOL33-R2,CID:996:Phenol,41.23694444,0.5274695,g/L,,,,,
EVOL33-R2,CID:996:Phenol,52.08611111,0.2175511,g/L,,,,,
EVOL33-R2,CID:996:Phenol,61.72027778,0.1876158,g/L,,,,,
EVOL33-R3,CID:996:Phenol,0,1.5329434,g/L,,,,,
EVOL33-R3,CID:996:Phenol,16.61361111,1.4748337,g/L,,,,,
EVOL33-R3,CID:996:Phenol,41.23694444,0.6436889,g/L,,,,,
EVOL33-R3,CID:996:Phenol,52.08611111,0.2791826,g/L,,,,,
EVOL33-R3,CID:996:Phenol,61.72027778,0.236921,g/L,,,,,
EVOL40-R1,CID:996:Phenol,0,1.5681614,g/L,,,,,
EVOL40-R1,CID:996:Phenol,16.61361111,1.4484202,g/L,,,,,
EVOL40-R1,CID:996:Phenol,41.23694444,0.641928,g/L,,,,,
EVOL40-R1,CID:996:Phenol,52.08611111,0.3707494,g/L,,,,,
EVOL40-R1,CID:996:Phenol,61.72027778,0.3302487,g/L,,,,,
EVOL40-R2,CID:996:Phenol,0,1.5311825,g/L,,,,,
EVOL40-R2,CID:996:Phenol,16.61361111,1.4589856,g/L,,,,,
EVOL40-R2,CID:996:Phenol,41.23694444,0.5521221,g/L,,,,,
EVOL40-R2,CID:996:Phenol,52.08611111,0.3372923,g/L,,,,,
EVOL40-R2,CID:996:Phenol,61.72027778,0.2474864,g/L,,,,,
EVOL40-R3,CID:996:Phenol,0,1.5998576,g/L,,,,,
EVOL40-R3,CID:996:Phenol,16.61361111,1.4589856,g/L,,,,,
EVOL40-R3,CID:996:Phenol,41.23694444,0.6472107,g/L,,,,,
EVOL40-R3,CID:996:Phenol,52.08611111,0.3830757,g/L,,,,,
EVOL40-R3,CID:996:Phenol,61.72027778,0.3020743,g/L,,,,,
WT-G,CID:996:Phenol,0,0.0643528,g/L,,,,,
WT-G,CID:996:Phenol,16.61361111,0.0731573,g/L,,,,,
WT-G,CID:996:Phenol,41.23694444,0.0344175,g/L,,,,,
EVOL33-G,CID:996:Phenol,0,0.0625919,g/L,,,,,
EVOL33-G,CID:996:Phenol,16.61361111,0.0590701,g/L,,,,,
EVOL33-G,CID:996:Phenol,41.23694444,0.0009604,g/L,,,,,
EVOL40-G,CID:996:Phenol,0,0.0291348,g/L,,,,,
EVOL40-G,CID:996:Phenol,16.61361111,0.0802009,g/L,,,,,
EVOL40-G,CID:996:Phenol,41.23694444,0.0678746,g/L,,,,,
WT-G-N,CID:996:Phenol,0,0.0291348,g/L,,,,,
WT-G-N,CID:996:Phenol,16.61361111,0.0308957,g/L,,,,,
WT-G-N,CID:996:Phenol,41.23694444,-0.0060832,g/L,,,,,
EVOL33-G-N,CID:996:Phenol,0,0.0449829,g/L,,,,,
EVOL33-G-N,CID:996:Phenol,16.61361111,0.0273739,g/L,,,,,
EVOL33-G-N,CID:996:Phenol,41.23694444,-0.009605,g/L,,,,,
EVOL40-G-N,CID:996:Phenol,0,0.0344175,g/L,,,,,
EVOL40-G-N,CID:996:Phenol,16.61361111,0.0291348,g/L,,,,,
EVOL40-G-N,CID:996:Phenol,41.23694444,0.0062431,g/L,,,,,
Control-R1,CID:996:Phenol,0,1.6209884,g/L,,,,,
Control-R1,CID:996:Phenol,41.23694444,1.6209884,g/L,,,,,
Control-R1,CID:996:Phenol,61.72027778,1.4677901,g/L,,,,,
Control-R2,CID:996:Phenol,0,1.5804877,g/L,,,,,
Control-R2,CID:996:Phenol,41.23694444,1.5787268,g/L,,,,,
Control-R2,CID:996:Phenol,61.72027778,1.4537029,g/L,,,,,
Control-R3,CID:996:Phenol,0,1.5664005,g/L,,,,,
Control-R3,CID:996:Phenol,41.23694444,1.5875313,g/L,,,,,
Control-R3,CID:996:Phenol,61.72027778,1.5012472,g/L,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
