Line Name,Measurement Type,Time,Value,Units
WT-L-R1,Optical Density,0,0.3,n/a
WT-L-R1,Optical Density,10,0.298299998,n/a
WT-L-R1,Optical Density,14,0.494599998,n/a
WT-L-R1,Optical Density,20,0.618799977,n/a
WT-L-R1,Optical Density,24,0.687000029,n/a
WT-L-R1,Optical Density,28,0.70319999,n/a
WT-L-R2,Optical Density,0,0.3,n/a
WT-L-R2,Optical Density,10,0.289600015,n/a
WT-L-R2,Optical Density,14,0.434199989,n/a
WT-L-R2,Optical Density,20,0.611200027,n/a
WT-L-R2,Optical Density,24,0.659799986,n/a
WT-L-R2,Optical Density,28,0.65039999,n/a
WT-L-R2,Optical Density,32,0.6068,n/a
EVOL33-L-R1,Optical Density,0,0.3,n/a
EVOL33-L-R1,Optical Density,10,0.239300013,n/a
EVOL33-L-R1,Optical Density,14,0.376899987,n/a
EVOL33-L-R1,Optical Density,20,0.52799999,n/a
EVOL33-L-R1,Optical Density,24,0.652400009,n/a
EVOL33-L-R1,Optical Density,28,0.70319999,n/a
EVOL33-L-R2,Optical Density,0,0.3,n/a
EVOL33-L-R2,Optical Density,10,0.328799993,n/a
EVOL33-L-R2,Optical Density,14,0.515200019,n/a
EVOL33-L-R2,Optical Density,20,0.685299985,n/a
EVOL33-L-R2,Optical Density,24,0.852900021,n/a
EVOL33-L-R2,Optical Density,28,0.788400002,n/a
EVOL33-L-R2,Optical Density,32,0.796700001,n/a
EVOL40-L-R1,Optical Density,0,0.3,n/a
EVOL40-L-R1,Optical Density,10,0.2836,n/a
EVOL40-L-R1,Optical Density,14,0.433,n/a
EVOL40-L-R1,Optical Density,20,0.59850001,n/a
EVOL40-L-R1,Optical Density,24,0.72390001,n/a
EVOL40-L-R1,Optical Density,28,0.73149998,n/a
EVOL40-L-R2,Optical Density,0,0.3,n/a
EVOL40-L-R2,Optical Density,10,0.280600011,n/a
EVOL40-L-R2,Optical Density,14,0.466400027,n/a
EVOL40-L-R2,Optical Density,20,0.675700001,n/a
EVOL40-L-R2,Optical Density,24,0.816300027,n/a
EVOL40-L-R2,Optical Density,28,0.813200004,n/a
EVOL40-L-R2,Optical Density,32,0.83859998,n/a
EVOL33-H-R1,Optical Density,0,0.3,n/a
EVOL33-H-R1,Optical Density,10,0.132500008,n/a
EVOL33-H-R1,Optical Density,14,0.146899998,n/a
EVOL33-H-R1,Optical Density,20,0.191099994,n/a
EVOL33-H-R1,Optical Density,24,0.253500007,n/a
EVOL33-H-R1,Optical Density,28,0.282300003,n/a
EVOL33-H-R1,Optical Density,32,0.371300012,n/a
EVOL33-H-R1,Optical Density,36,0.388799995,n/a
EVOL33-H-R1,Optical Density,40,0.446999997,n/a
EVOL33-H-R1,Optical Density,44,0.4069,n/a
EVOL33-H-R1,Optical Density,48,0.449699998,n/a
EVOL33-H-R2,Optical Density,0,0.3,n/a
EVOL33-H-R2,Optical Density,10,0.146500006,n/a
EVOL33-H-R2,Optical Density,14,0.171299994,n/a
EVOL33-H-R2,Optical Density,20,0.229199998,n/a
EVOL33-H-R2,Optical Density,24,0.292300008,n/a
EVOL33-H-R2,Optical Density,28,0.350200005,n/a
EVOL33-H-R2,Optical Density,32,0.442000002,n/a
EVOL33-H-R2,Optical Density,36,0.537400007,n/a
EVOL33-H-R2,Optical Density,40,0.580900013,n/a
EVOL33-H-R2,Optical Density,44,0.538099986,n/a
EVOL33-H-R2,Optical Density,48,0.558499992,n/a
EVOL33-H-R2,Optical Density,52,0.533299997,n/a
EVOL33-H-R2,Optical Density,56,0.532999981,n/a
EVOL40-H-R1,Optical Density,0,0.3,n/a
EVOL40-H-R1,Optical Density,10,0.148699999,n/a
EVOL40-H-R1,Optical Density,14,0.194700003,n/a
EVOL40-H-R1,Optical Density,20,0.244399987,n/a
EVOL40-H-R1,Optical Density,24,0.308899991,n/a
EVOL40-H-R1,Optical Density,28,0.370399989,n/a
EVOL40-H-R1,Optical Density,32,0.506299973,n/a
EVOL40-H-R1,Optical Density,36,0.550700009,n/a
EVOL40-H-R1,Optical Density,40,0.607200027,n/a
EVOL40-H-R1,Optical Density,44,0.578399997,n/a
EVOL40-H-R1,Optical Density,48,0.619300008,n/a
EVOL40-H-R2,Optical Density,0,0.3,n/a
EVOL40-H-R2,Optical Density,10,0.187000006,n/a
EVOL40-H-R2,Optical Density,14,0.256000012,n/a
EVOL40-H-R2,Optical Density,20,0.338399999,n/a
EVOL40-H-R2,Optical Density,24,0.426600002,n/a
EVOL40-H-R2,Optical Density,28,0.507300027,n/a
EVOL40-H-R2,Optical Density,32,0.621900022,n/a
EVOL40-H-R2,Optical Density,36,0.732200027,n/a
EVOL40-H-R2,Optical Density,40,0.820200026,n/a
EVOL40-H-R2,Optical Density,44,0.781400006,n/a
EVOL40-H-R2,Optical Density,48,0.825699985,n/a
EVOL40-H-R2,Optical Density,52,0.843800023,n/a
EVOL40-H-R2,Optical Density,56,0.845400024,n/a
WT-G-R1,Optical Density,0,0.3,n/a
WT-G-R1,Optical Density,2,0.389300007,n/a
WT-G-R1,Optical Density,6,0.774600029,n/a
WT-G-R1,Optical Density,10,0.888999999,n/a
WT-G-R1,Optical Density,14,0.903400004,n/a
WT-G-R2,Optical Density,0,0.3,n/a
WT-G-R2,Optical Density,2,0.363400001,n/a
WT-G-R2,Optical Density,6,0.758700013,n/a
WT-G-R2,Optical Density,10,0.902400017,n/a
WT-G-R2,Optical Density,14,0.88499999,n/a
WT-G-R2,Optical Density,20,0.984799966,n/a
EVOL33-G-R1,Optical Density,0,0.3,n/a
EVOL33-G-R1,Optical Density,2,0.256299991,n/a
EVOL33-G-R1,Optical Density,6,0.619599998,n/a
EVOL33-G-R1,Optical Density,10,0.73119998,n/a
EVOL33-G-R1,Optical Density,14,0.870400012,n/a
EVOL33-G-R2,Optical Density,0,0.3,n/a
EVOL33-G-R2,Optical Density,2,0.267299999,n/a
EVOL33-G-R2,Optical Density,6,0.569800019,n/a
EVOL33-G-R2,Optical Density,10,0.710699975,n/a
EVOL33-G-R2,Optical Density,14,0.812099993,n/a
EVOL33-G-R2,Optical Density,20,0.984799966,n/a
EVOL40-G-R1,Optical Density,0,0.3,n/a
EVOL40-G-R1,Optical Density,2,0.297700007,n/a
EVOL40-G-R1,Optical Density,6,0.628700018,n/a
EVOL40-G-R1,Optical Density,10,0.777499974,n/a
EVOL40-G-R1,Optical Density,14,0.894299984,n/a
EVOL40-G-R2,Optical Density,0,0.3,n/a
EVOL40-G-R2,Optical Density,2,0.307200003,n/a
EVOL40-G-R2,Optical Density,6,0.620700002,n/a
EVOL40-G-R2,Optical Density,10,0.75029999,n/a
EVOL40-G-R2,Optical Density,14,0.869499981,n/a
EVOL40-G-R2,Optical Density,20,0.862799987,n/a
