name,metabolite_id,category,coefficient,molecular_weight
10-Formyltetrahydrofolate,10fthf_c,carbon carrier,-0.000216,471.43
L-Alanine,ala__L_c,protein,-0.498716,89.094
S-Adenosyl-L-methionine,amet_c,carbon carrier,-0.000216,399.446
L-Arginine,arg__L_c,protein,-0.28717,175.212
L-Asparagine,asn__L_c,protein,-0.234029,132.119
L-Aspartate,asp__L_c,protein,-0.234029,132.095
ATP,atp_c,energy molecule,-52.547151,507.18
Calcium,ca2_c,salt,-0.005053,40.078
Chloride,cl_c,salt,-0.005053,35.45
CoenzymeA,coa_c,carbon carrier,-0.000559,767.535
Co2+,cobalt2_c,salt,-0.000097,58.933
CTP,ctp_c,energy molecule,-0.129616,483.156
Cu2+,cu2_c,salt,-0.000688,63.546
L-Cysteine,cys__L_c,protein,-0.088911,121.154
DATP,datp_c,nucleic acid,-0.025403,491.1816
DCTP,dctp_c,nucleic acid,-0.026229,467.1569
DGTP,dgtp_c,nucleic acid,-0.026229,507.181
DTTP,dttp_c,nucleic acid,-0.025403,482.168
Flavinadeninedinucleotideoxidized,fad_c,energy molecule,-0.000216,785.557
Fe2+,fe2_c,salt,-0.006519,55.845
Fe3+,fe3_c,salt,-0.00758,55.845
L-Glutamine,gln__L_c,protein,-0.255489,146.146
L-Glutamate,glu__L_c,protein,-0.255489,147.13
Glycine,gly_c,protein,-0.59478,75.067
Glycerolteichoicacidn45unlinkedunsubstitutedC151H297N2O238P46,gtca1_45_BS_c,lipid,-0.000971,7373.617
Glycerolteichoicacidn45unlinkedDalasubstitutedC286H612N47O328P46,gtca2_45_BS_c,lipid,-0.000971,11382.847
Glycerolteichoicacidn45unlinkedglucosesubstitutedC421H749N2O464P46,gtca3_45_BS_c,lipid,-0.000971,14687.977
GTP,gtp_c,energy molecule,-0.208826,523.18
H2O,h2o_c,water,-47.184845,18.015
L-Histidine,his__L_c,protein,-0.091976,155.157
L-Isoleucine,ile__L_c,protein,-0.28206,131.175
Potassium,k_c,salt,-0.189503,39.098
L-Leucine,leu__L_c,protein,-0.437399,131.175
Lipoteichoicacidn24linkedglucosesubstitutedC26236H47072O25500P2400,lipo1_24_BS_c,lipid,-0.000049,844881.272
Lipoteichoicacidn24linkedNacetylDglucosamineC31036H54272N2400O25500P2400,lipo2_24_BS_c,lipid,-0.000049,943408.472
Lipoteichoicacidn24linkedDalaninesubstitutedC19036H39872N2400O18300P2400,lipo3_24_BS_c,lipid,-0.000049,669568.472
Lipoteichoicacidn24linkedunsubstitutedC11836H23072O13500P2400,lipo4_24_BS_c,lipid,-0.000049,455742.872
L-Lysine,lys__L_c,protein,-0.333158,146.19
L-Methionine,met__L_c,protein,-0.149206,149.208
Magnesium,mg2_c,salt,-0.008422,24.305
510-Methylenetetrahydrofolate,mlthf_c,carbon carrier,-0.000216,457.44
Mn2+,mn2_c,salt,-0.000671,54.938
Menaquinol8,mql8_c,energy molecule,-0.000097,719.151
Nicotinamideadeninedinucleotide,nad_c,energy molecule,-0.001778,663.43
Nicotinamideadeninedinucleotidephosphate,nadp_c,energy molecule,-0.000434,744.413
PeptidoglycansubunitofBacillussubtilisC40H62N8O21,peptido_BS_c,carbohydrate,-0.009709,990.971
L-Phenylalanine,phe__L_c,protein,-0.179865,165.192
L-Proline,pro__L_c,protein,-0.214611,115.132
Pyridoxal5-phosphate,pydx5p_c,energy molecule,-0.000216,247.142
Riboflavin,ribflv_c,energy molecule,-0.000216,376.369
L-Serine,ser__L_c,protein,-0.209502,105.093
Sulfate,so4_c,salt,-0.004212,96.056
5678-Tetrahydrofolate,thf_c,carbon carrier,-0.000216,445.4
Thiaminediphosphate,thmpp_c,energy molecule,-0.000216,425.3144
L-Threonine,thr__L_c,protein,-0.246292,119.12
L-Tryptophan,trp__L_c,protein,-0.055186,204.229
L-Tyrosine,tyr__L_c,protein,-0.133876,181.191
UTP,utp_c,energy molecule,-0.139904,484.141
L-Valine,val__L_c,protein,-0.410827,117.148
Zinc,zn2_c,salt,-0.000331,65.38
ADP,adp_c,energy molecule,52.37741576,427.201
H+,h_c,water,52.37741576,1.008
Phosphate,pi_c,energy molecule,52.37320421,94.971
Diphosphate,ppi_c,energy molecule,0.751344563,173.945
