amino_acid,metabolite_id,molecular_weight,glucose,phenol
alanine,ala__L_c,89.094,14.49,14.62
arginine,arg__L_c,174.203,3.89,4.39
asparagine,asn__L_c,132.119,3.43,4.00
aspartate,asp__L_c,133.104,3.43,4.00
cysteine,cys__L_c,121.154,0.80,0.81
glutamine,gln__L_c,146.146,10.68,8.10
glutamate,glu__L_c,147.131,10.68,8.10
glycine,gly_c,75.067,7.03,8.23
histidine,his__L_c,155.156,1.31,1.51
isoleucine,ile__L_c,131.175,3.87,4.07
leucine,leu__L_c,131.175,8.00,7.94
lysine,lys__L_c,146.189,4.60,4.67
methionine,met__L_c,149.208,1.24,1.52
phenylalanine,phe__L_c,165.192,3.48,3.52
proline,pro__L_c,115.132,3.35,3.96
serine,ser__L_c,105.093,4.83,4.82
threonine,thr__L_c,119.119,5.25,5.37
tryptophan,trp__L_c,204.228,1.06,1.19
tyrosine,tyr__L_c,181.191,1.32,1.69
valine,val__L_c,117.148,7.26,7.50
