name,category,B. subtilis coefficient,R.opacus glucose coefficient,R.opacus phenol coefficient
10-Formyltetrahydrofolate,carbon carrier,0.00021600000000000002,0.00021600000000000002,0.00021600000000000002
L-Alanine,protein,0.498716,0.2753095839435447,0.4524504100898161
S-Adenosyl-L-methionine,carbon carrier,0.00021600000000000002,0.00021600000000000002,0.00021600000000000002
L-Arginine,protein,0.28717,0.0739098883050648,0.13585891246882986
L-Asparagine,protein,0.234029,0.06516990151320624,0.12378944188503861
L-Aspartate,protein,0.234029,0.06516990151320624,0.12378944188503861
ATP,energy molecule,52.547151,52.547151,52.547151
Calcium,salt,0.005053,0.005053,0.005053
Chloride,salt,0.005053,0.005053,0.005053
CoenzymeA,carbon carrier,0.000559,0.000559,0.000559
Co2+,salt,9.7e-05,9.7e-05,9.7e-05
CTP,energy molecule,0.129616,0.129616,0.129616
Cu2+,salt,0.000688,0.000688,0.000688
L-Cysteine,protein,0.088911,0.01519997702931924,0.02506736198172032
DATP,nucleic acid,0.025403,0.025403,0.025403
DCTP,nucleic acid,0.026229000000000002,0.026229000000000002,0.026229000000000002
DGTP,nucleic acid,0.026229000000000002,0.026229000000000002,0.026229000000000002
DTTP,nucleic acid,0.025403,0.025403,0.025403
Flavinadeninedinucleotideoxidized,energy molecule,0.00021600000000000002,0.00021600000000000002,0.00021600000000000002
Fe2+,salt,0.006519,0.006519,0.006519
Fe3+,salt,0.00758,0.00758,0.00758
L-Glutamine,protein,0.25548899999999997,0.20291969334141183,0.25067361981720315
L-Glutamate,protein,0.25548899999999997,0.20291969334141183,0.25067361981720315
Glycine,protein,0.59478,0.13356979814514283,0.25469677667846696
Glycerolteichoicacidn45unlinkedunsubstitutedC151H297N2O238P46,lipid,0.0009710000000000001,0.002230782680305335,0.0007801644346423031
Glycerolteichoicacidn45unlinkedDalasubstitutedC286H612N47O328P46,lipid,0.0009710000000000001,0.002230782680305335,0.0007801644346423031
Glycerolteichoicacidn45unlinkedglucosesubstitutedC421H749N2O464P46,lipid,0.0009710000000000001,0.002230782680305335,0.0007801644346423031
GTP,energy molecule,0.208826,0.208826,0.208826
H2O,water,47.184845,47.184845,47.184845
L-Histidine,protein,0.091976,0.024889962385510254,0.04673051431160208
L-Isoleucine,protein,0.28206,0.07352988887933182,0.12595575711802678
Potassium,salt,0.189503,0.189503,0.189503
L-Leucine,protein,0.437399,0.1519997702931924,0.24572204214180166
Lipoteichoicacidn24linkedglucosesubstitutedC26236H47072O25500P2400,lipid,4.9e-05,0.00011257296738924964,3.93697809448742e-05
Lipoteichoicacidn24linkedNacetylDglucosamineC31036H54272N2400O25500P2400,lipid,4.9e-05,0.00011257296738924964,3.93697809448742e-05
Lipoteichoicacidn24linkedDalaninesubstitutedC19036H39872N2400O18300P2400,lipid,4.9e-05,0.00011257296738924964,3.93697809448742e-05
Lipoteichoicacidn24linkedunsubstitutedC11836H23072O13500P2400,lipid,4.9e-05,0.00011257296738924964,3.93697809448742e-05
L-Lysine,protein,0.333158,0.08739986791858562,0.14452417340078258
L-Methionine,protein,0.149206,0.023559964395444822,0.047039987916314675
Magnesium,salt,0.008422,0.008422,0.008422
510-Methylenetetrahydrofolate,carbon carrier,0.00021600000000000002,0.00021600000000000002,0.00021600000000000002
Mn2+,salt,0.000671,0.000671,0.000671
Menaquinol8,energy molecule,9.7e-05,9.7e-05,9.7e-05
Nicotinamideadeninedinucleotide,energy molecule,0.001778,0.001778,0.001778
Nicotinamideadeninedinucleotidephosphate,energy molecule,0.000434,0.000434,0.000434
PeptidoglycansubunitofBacillussubtilisC40H62N8O21,carbohydrate,0.009709,0.1477338892863666,0.17366804881273015
L-Phenylalanine,protein,0.179865,0.06611990007753869,0.10893470885883398
L-Proline,protein,0.21461100000000002,0.06364990381027431,0.12255154746618822
Pyridoxal5-phosphate,energy molecule,0.00021600000000000002,0.00021600000000000002,0.00021600000000000002
Riboflavin,energy molecule,0.00021600000000000002,0.00021600000000000002,0.00021600000000000002
L-Serine,protein,0.209502,0.09176986131451491,0.14916627747147154
Sulfate,salt,0.004212,0.004212,0.004212
5678-Tetrahydrofolate,carbon carrier,0.00021600000000000002,0.00021600000000000002,0.00021600000000000002
Thiaminediphosphate,energy molecule,0.00021600000000000002,0.00021600000000000002,0.00021600000000000002
L-Threonine,protein,0.246292,0.09974984925490751,0.16618732573066433
L-Tryptophan,protein,0.055186,0.020139969563847993,0.036827358960798987
L-Tyrosine,protein,0.133876,0.025079962098376745,0.05230103919642881
UTP,energy molecule,0.139904,0.139904,0.139904
L-Valine,protein,0.41082700000000005,0.13793979154107208,0.23210520353444739
Zinc,salt,0.000331,0.000331,0.000331
ADP,energy molecule,-52.37741576,-52.37741576,-52.37741576
H+,water,-52.37741576,-52.37741576,-52.37741576
Phosphate,energy molecule,-52.37320421,-52.37320421,-52.37320421
Diphosphate,energy molecule,-0.751344563,-0.751344563,-0.751344563
