Pathway,Reaction Ids,Reaction,Location on map,13C Flux,13C Lower Bound,13C Upper Bound,FBA WT Flux,pFBA WT Flux
Substrate Uptake,reverse_EX_glc__D_e,Gluc.ext + ATP -> G6P,"(50, 460)",100.0,100.0,100.0,100.0,100.0
EMP Pathway,PGI,G6P <-> F6P,"(-150, 430)",-1.61,-2.09,1.42,93.77206382031235,93.77206382031235
EMP Pathway,PFK or reverse_FBP,F6P + ATP -> FBP,"(-220, 195)",0.0,0.0,1.91,78.18836187323606,78.18836187318828
EMP Pathway,FBA,FBP <-> DHAP + GAP,"(-140, 115)",0.0,0.0,1.91,78.18836187323606,78.18836187318828
EMP Pathway,TPI,DHAP <-> GAP,"(-270, 150)",0.0,0.0,1.91,58.86581442273219,58.86289392864604
EMP Pathway,GAPD or reverse_GAPDi_nadp,"GAP <-> G1,3P","(-220, 30)",86.56,82.61,88.84,132.6735617627397,132.67356176269243
EMP Pathway,reverse_PGK,"G1,3P <-> 3PG + ATP + NADH","(-220, -55)",86.56,82.61,88.84,132.6735617627397,132.67356176269243
EMP Pathway,reverse_PGM,3PG <-> 2PG,"(-220, -135)",78.52,71.65,81.26,120.73773883124757,120.73773883120093
EMP Pathway,ENO,2PG <-> PEP,"(-220, -215)",78.52,71.65,81.26,120.73773883124757,120.73773883120093
EMP Pathway,ACMANApts or reverse_PPS or PYK or FRUptspp or MALTptspp or DHAPT or SUCpts or GLCptspp or MNLpts or FRUpts2pp or SBTpts or SUCptspp or GLCpts or ACGApts or FRUpts2 or GALpts or MALTpts or GLCADpts or MANptspp or FRUpts or ARBTpts or TREptspp or GALTpts or TREpts or ASCBpts or GAMpts or MANpts or ACGAptspp or FUCpts,PEP <-> Pyr + ATP,"(-220, -295)",19.02,-10.89,75.15,100.0,115.70346215463375
Pentose Phosphate Pathway,GND,6PG <-> Ru5P + CO2 + NADPH,"(275, 350)",6.62,2.07,10.92,0.0,0.0
Pentose Phosphate Pathway,RPE,Ru5P <-> X5P,"(380, 190)",2.12,-0.89,4.37,-7.754782302055119,-7.75478230203076
Pentose Phosphate Pathway,reverse_RPI,Ru5P <-> R5P,"(270, 230)",4.5,2.95,6.55,7.740179831863082,7.740179831838741
Pentose Phosphate Pathway,TKT2,X5P <-> TKC2 + GAP,"(270, 100)",2.12,-0.89,4.37,-4.636590015851049,-4.6365900158027955
Pentose Phosphate Pathway,TKT2,TKC2 + E4P <-> F6P,"(10, 280)",0.15,-1.36,1.11,-4.636590015851049,-4.6365900158027955
Pentose Phosphate Pathway,TKT1,TKC2 + R5P <-> S7P,"(120, 230)",1.96,0.46,3.34,-3.11819228620407,-3.1181922862279645
Pentose Phosphate Pathway,TALA,TAC3 + GAP <-> F6P,"(-70, 190)",1.96,0.46,3.34,-3.11819228620407,-3.1181922862279645
Pentose Phosphate Pathway,TALA,S7P <-> TAC3 + E4P,"(50, 230)",1.97,0.46,3.34,-3.11819228620407,-3.1181922862279645
ED Pathway,G6PDH2r and PGL,G6P <-> 6PG + NADPH,"(50, 380)",100.0,96.96,100.0,0.0,0.0
ED Pathway,EDD,6PG <-> KDPG,"(-300, 350)",93.38,89.08,94.98,0.0,0.0
ED Pathway,EDA,KDPG <-> Pyr + GAP,"(-300, 50)",93.38,89.08,94.98,0.0,0.0
TCA Cycle,PDH,Pyr <-> AcCoA + CO2 + NADH,"(-220, -370)",135.41,116.26,196.6,0.0,0.0
TCA Cycle,CS or reverse_CITL,OAC + AcCoA <-> Cit,"(-55, -340)",69.04,58.52,82.65,48.6024109974001,48.60241099742559
TCA Cycle,ACONT or ( ACONTa and ACONTb),Cit <-> ICit,"(145, -310)",69.04,58.52,82.65,48.6024109974001,48.60241099742559
TCA Cycle,ICDHx or ICDHyr,ICit <-> AKG + CO2 + NADPH,"(290, -310)",69.04,10.08,82.65,48.6024109974001,48.60241099742559
TCA Cycle,AKGDH or reverse_KGD2,AKG <-> SucCoA + CO2 + NADH,"(290, -195)",61.6,2.27,75.99,110.1095789235963,110.1095789235751
TCA Cycle,SUCBZT2 or OCOAT1 or SUCBZT1 or reverse_SUCOAS or BZSCT or OCOAT4 or 3OADPCOAT,SucCoA <-> Suc + ATP,"(290, -55)",59.88,0.87,74.45,36.07138468918113,36.0713846892066
TCA Cycle,reverse_FRD3 or reverse_FRD2 or reverse_ASPO5 or reverse_FRD or SUCD1 or reverse_FRDx,Suc <-> Fum + FADH2,"(160, -55)",61.6,50.51,75.99,110.11249941763471,110.1124994176135
TCA Cycle,FUM,Fum <-> Mal,"(10, -55)",63.27,22.17,77.49,120.00455521705426,120.00455521703222
TCA Cycle,MDH or MDH2 or MDH3 or MDH3_1 or DMALRED,Mal <-> OAC + NADH,"(-60, -180)",25.97,-50.27,78.9,120.00455521705426,120.00455521703222
Glyoxylate Shunt,ICL,ICit -> Glyox + Suc,"(180, -140)",0.0,0.0,60.46,0.0,0.0
Glyoxylate Shunt,MALS,Glyox + AcCoA -> Mal,"(90, -140)",0.0,0.0,60.46,0.0,0.0
Anaplerotic Pathways,PC or reverse_OAADC,Pyr + CO2 + ATP -> OAC,,0.0,0.0,45.19,6.254922644640423,21.9583847993208
Anaplerotic Pathways,ME1 or ME2,Mal -> Pyr + CO2 + NADH,,37.31,0.0,125.96,0.0,0.0
Anaplerotic Pathways,PPC or reverse_PEPCK_re,PEP + CO2 -> OAC,,55.51,13.63,127.98,15.703462154680391,0.0
Anaplerotic Pathways,PEPCK_re,OAC + ATP -> PEP + CO2,,0.0,0.0,54.45,0.0,0.0
Acetate Formation,BUTCT or A4HBCT or ACOXT or reverse_ACS or reverse_ACACCT,AcCoA <-> Ac + ATP,,-1.89,-2.44,-1.69,-0.3214701957138582,0.0
Energy Reactions,reverse_NADTRHD,NADH <-> NADPH,,21.31,-12.18,134.28,0.0,0.0
Energy Reactions,ATPM,ATP -> ATP.ext,,527.47,0.0,737.68,0.0,0.0
Transport,EX_co2_e,CO2 -> CO2.ext,,264.28,165.71,299.18,139.49968357101935,139.4996835710238
Transport,reverse_EX_o2_e,O2.ext -> O2,,198.14,80.16,239.92,195.9561072144012,195.95610721439394
Transport,reverse_EX_so4_e,NH3.ext -> NH3,,39.38,35.29,50.94,0.5944143904708838,0.5944143904709007
Transport,SO4t2,SO4.ext -> SO4,,0.64,0.57,0.83,0.5944143904708838,0.5944143904709007
Biomass Equation,Growth or Growth_Phenol or Growth_Glucose,0.515*Ala + 0.174*Arg + 0.153*Asn + 0.439*Asp + 0.03*Cys + 0.314*Glu + 0.314*Gln + 0.399*Gly + 0.059*His + 0.155*Ile + 0.302*Leu + 0.181*Lys + 0.059*Met + 0.138*Phe + 0.147*Pro + 0.176*Ser + 0.201*Thr + 0.067*Tyr + 0.28*Val + 0.048*Trp + 9.035*AcCoA + 0.245*R5P + 0.325*MEETHF + 0.225*G6P + 0.071*F6P + 1.02*GAP + 0.43*3PG + 0.083*Pyr + 0.051*PEP + 0.087*AKG + 0.223*OAC + 33.25*ATP + 19.3*NADPH -> Biomass,,7.18,6.43,9.28,13.520805733350112,13.520805733350112
