Pathway,Forward Reactions,Reaction,Location on map,Flux,90% Confidence Lower Bound,90% Confidence Upper Bound,E-Flux2 WT Value,E-Flux2 WT std Value,E-Flux2 PVHG Value,E-Flux2 PVHG std Value
Substrate Uptake,PHEMOX,Phenol.ext -> AcCoA + SucCoA,"( 80, -450)",100.0,100.0,100.0,100.0,7.903361705230347,100.0,38.15724595305173
EMP Pathway,PGI,G6P <-> F6P,"(-150, 430)",-0.4793,-1.4219,0.9306,-0.3129644529208102,0.03203092537552459,-0.21836187594112635,0.08054526422185566
EMP Pathway,PFK or reverse_FBP,F6P + ATP -> FBP,"(-220, 195)",-2.0,-2.0,-0.7683,0.0,0.0,-0.7870596458364816,0.9395507122849844
EMP Pathway,FBA,FBP <-> DHAP + GAP,"(-140, 115)",-2.0,-2.0,-0.7683,0.0,0.0,-0.7870596458364816,0.9395507122849844
EMP Pathway,TPI,DHAP <-> GAP,"(-270, 150)",-2.0,-2.0,-0.7683,-0.9737855915471963,0.09966388617046693,-1.4664903178694149,1.1901664514778056
EMP Pathway,GAPD or reverse_GAPDi_nadp,"GAP <-> G1,3P","(-220, 30)",-10.7907,-11.2235,-9.104,-4.163446610001196,0.4261156384255789,-3.6919838433086385,2.011065077546105
EMP Pathway,reverse_PGK,"G1,3P <-> 3PG + ATP + NADH","(-220, -55)",-10.7907,-11.2235,-9.104,-4.163446610001196,0.4261156384255789,-3.6919838433086385,2.011065077546105
EMP Pathway,reverse_PGM,3PG <-> 2PG,"(-220, -135)",-16.2538,-16.9556,-13.6034,-6.344174654315456,0.6493062806730255,-5.212693019189745,2.571127691641564
EMP Pathway,ENO,2PG <-> PEP,"(-220, -215)",-16.2538,-16.9556,-13.6034,-6.344174654315456,0.6493062806730255,-5.212693019189745,2.571127691641564
EMP Pathway,ACMANApts or reverse_PPS or PYK or FRUptspp or MALTptspp or DHAPT or SUCpts or GLCptspp or MNLpts or FRUpts2pp or SBTpts or SUCptspp or GLCpts or ACGApts or FRUpts2 or GALpts or MALTpts or GLCADpts or MANptspp or FRUpts or ARBTpts or TREptspp or GALTpts or TREpts or ASCBpts or GAMpts or MANpts or ACGAptspp or FUCpts,PEP <-> Pyr + ATP,"(-220, -295)",29.9999,0.0,30.0,17.551316002356803,2.3957415624315987,39.028430285479516,48.49602067553792
Pentose Phosphate Pathway,GND,6PG <-> Ru5P + CO2 + NADPH,"(275, 350)",0.4646,-1.6599,1.8755,0.0,0.0,0.0,0.0
Pentose Phosphate Pathway,RPE,Ru5P <-> X5P,"(380, 190)",-1.1874,-2.6115,-0.2468,1.1804264237704216,0.12081292408200396,0.036548677407199304,0.6357534046044652
Pentose Phosphate Pathway,reverse_RPI,Ru5P <-> R5P,"(270, 230)",1.6521,0.9081,2.1385,6.073243790324629,0.6215773606496471,2.6633105341436876,0.31607718647254696
Pentose Phosphate Pathway,TKT2,X5P <-> TKC2 + GAP,"(270, 100)",-1.1874,-2.6115,-0.2468,-3.2507953255153397,0.33270865590372406,-1.4810885704140835,0.10291841784214124
Pentose Phosphate Pathway,TKT2,TKC2 + E4P <-> F6P,"(10, 280)",-1.1874,-1.909,-0.7099,-3.2507953255153397,0.33270865590372406,-1.4810885704140835,0.10291841784214124
Pentose Phosphate Pathway,TKT1,TKC2 + R5P <-> S7P,"(120, 230)",2.13e-14,-0.7076,0.4698,4.431221749285761,0.45352157998572806,1.5176372478212823,0.7386718224466062
Pentose Phosphate Pathway,TALA,TAC3 + GAP <-> F6P,"(-70, 190)",7.109999999999999e-15,-0.7076,0.4698,4.431221749285761,0.45352157998572806,1.5176372478212823,0.7386718224466062
Pentose Phosphate Pathway,TALA,S7P <-> TAC3 + E4P,"(50, 230)",8.53e-14,-0.7076,0.4698,4.431221749285761,0.45352157998572806,1.5176372478212823,0.7386718224466062
ED Pathway,G6PDH2r and PGL,G6P <-> 6PG + NADPH,"(50, 380)",-0.5767,-2.0181,0.3824,0.0,0.0,0.0,0.0
ED Pathway,EDD,6PG <-> KDPG,"(-300, 350)",-1.0413,-2.5243,0.2447,0.0,0.0,0.0,0.0
ED Pathway,EDA,KDPG <-> Pyr + GAP,"(-300, 50)",-1.0413,-2.5243,0.2447,0.0,0.0,0.0,0.0
TCA Cycle,PDH,Pyr <-> AcCoA + CO2 + NADH,"(-220, -370)",59.2327,56.6826,62.0459,70.51523865536417,7.824301531273786,63.22384993621262,25.46361962949509
TCA Cycle,CS or reverse_CITL,OAC + AcCoA <-> Cit,"(-55, -340)",114.4391,110.2766,118.48,138.78568055388197,55.22141475656797,10.204136882561803,3.9979627291893336
TCA Cycle,ACONT or ( ACONTa and ACONTb),Cit <-> ICit,"(145, -310)",114.4391,110.2766,118.48,138.78568055388183,55.22141475656822,10.204136882561954,3.9979627291891218
TCA Cycle,ICDHx or ICDHyr,ICit <-> AKG + CO2 + NADPH,"(290, -310)",113.4677,106.8011,118.48,138.785680553882,57.340989758783486,10.204136882561805,6.96536621273559
TCA Cycle,AKGDH or reverse_KGD2,AKG <-> SucCoA + CO2 + NADH,"(290, -195)",108.6053,101.7297,113.8305,72.52235505504352,12.200038017505598,9.154878161443271,4.601251006301473
TCA Cycle,SUCBZT2 or OCOAT1 or SUCBZT1 or reverse_SUCOAS or BZSCT or OCOAT4 or 3OADPCOAT,SucCoA <-> Suc + ATP,"(290, -55)",207.4789,200.562,212.7536,215.66349012111692,52.42692743129741,108.65207555112752,109.19675545905571
TCA Cycle,reverse_FRD3 or reverse_FRD2 or reverse_ASPO5 or reverse_FRD or SUCD1 or reverse_FRDx,Suc <-> Fum + FADH2,"(160, -55)",208.5767,203.2666,212.8305,237.28184349347234,53.852744161682324,109.15487816144328,41.76817765602676
TCA Cycle,FUM,Fum <-> Mal,"(10, -55)",209.6703,204.3514,213.8762,238.9474079417106,53.96573666213518,110.31697747999628,42.19683122107543
TCA Cycle,MDH or MDH2 or MDH3 or MDH3_1 or DMALRED,Mal <-> OAC + NADH,"(-60, -180)",171.0231,129.2999,174.5648,197.80517191792345,72.48892552668205,60.61252386274998,55.954209037345095
Glyoxylate Shunt,ICL,ICit -> Glyox + Suc,"(180, -140)",0.9714,7.109999999999999e-15,4.5567,0.0,0.0,0.0,0.0
Glyoxylate Shunt,MALS,Glyox + AcCoA -> Mal,"(90, -140)",0.9714,0.0,4.5567,0.0,0.0,0.0,0.0
Anaplerotic Reactions,PC or reverse_OAADC,Pyr + CO2 + ATP -> OAC,,1e-07,0.0,44.8577,-8.67142992169565,0.8883601429645591,-2.2915259816320783,0.540512036401114
