,fluxes
12DGR140tipp,0.0
13PPDH,0.0
1P2CBXLCYCL,0.0
1P2CBXLR,0.0
23CTI1,0.0
23CTI2,0.0
23CTI3,0.0
24DECOAR,0.0
25DKGLCNt2rpp,0.0
25DKGLCNtex,0.0
26DAHtex,0.0
2AGPA120tipp,0.0
2AGPA141tipp,0.0
2AGPA160tipp,0.0
2AGPA161tipp,0.0
2AGPA181tipp,0.0
2AGPE120tipp,0.0
2AGPE141tipp,0.0
2AGPE160tipp,0.0
2AGPE161tipp,0.0
2AGPE180tipp,0.0
2AGPE181tipp,0.0
2AGPEAT120,0.0
2AGPEAT141,0.0
2AGPEAT160,0.0
2AGPEAT161,0.0
2AGPEAT180,0.0
2AGPEAT181,0.0
2AGPG120tipp,0.0
2AGPG140tipp,0.0
2AGPG141tipp,0.0
2AGPG160tipp,0.0
2AGPG161tipp,0.0
2AGPG180tipp,0.0
2AGPG181tipp,0.0
2AGPGAT120,0.0
2AGPGAT140,0.0
2AGPGAT141,0.0
2AGPGAT160,0.0
2AGPGAT161,0.0
2AGPGAT180,0.0
2AGPGAT181,0.0
2DDARAA,0.0
2DGULRx,0.0
2DHGLCK,0.0
2DHGLCNkt_tpp,0.0
2DHGLCNtex,0.0
2HH24DDH,0.0
2HH24DDH1,0.0
2INSD,0.0
2PGLYCt6,0.0
34DHPACDO,0.0
34HPPOR,0.0
34dhpactex,0.0
3AMACHYD,0.0
3HBCOAHL,0.0
3HCINNMH,0.0
3HPPPNH,0.0
3HPTNCOAR,9.407273482627406
3HSA,0.0
3M2OPLOXRD,0.0
3MBt2pp,0.0
3MBt4pp,0.0
3MBtex,0.0
3OADPCOAT,0.002634327102710058
3OXCOAT,0.002634327102710058
3PEPTabcpp,0.0
3PEPTtex,0.0
3SALATAi,0.0
3_4DHBZ1t_pp,0.0
3_4DHBZt2,0.0
42A12BOOXpp,0.0
4ABUTD,0.0
4ABUTabcpp,0.0
4ABZGLUH,0.0
4ABZGLUtex,0.0
4ABZGLUtr,0.0
4CMLCL_kt,0.001317163551355029
4H2KPILY,0.0
4HALDD,0.0
4HBADH,0.002634327102710058
4HBAt,0.0
4HBCOAH,1.1398602142882819
4HBHYOX,0.002634327102710058
4HBZtex,0.0
4HOXPACMOF,0.0
4HOXPACMOF_1,0.0
4HOXPACMON,0.0
4HOXPACt2pp_1,0.0
4HPRO_LT_Et,0.0
4HPTNCOAK,3.2045453068614254e-09
4HPTNCOAL,0.0
4HPTNtex,0.0
4HPTNtpp,0.0
4OXPTCOADHx,3.2045453068614254e-09
4OXPTCOADHy,0.0
4OXPTNtex,3.2045453068614254e-09
4OXPTNtpp,3.2045453068614254e-09
4PCPpp,0.0
4PEPTabcpp,0.0
4POPCOAM,3.2045453068614254e-09
4POPCOAM2,3.2045453068614254e-09
4POPCOAM3,3.2045453068614254e-09
4hoxpactex,0.0
5DGLCNR,0.0
5DH4DGLCD,0.0
5DKGR,0.0
5DOAN,0.0
6HNACMO,0.0
A24T,0.0
A4HBCT,1.1398602142882819
AAAN,0.0
AABTN,0.0
AACLAM,0.0
AACOAR_syn,-0.47629205489725396
AACOAT,0.0
AACPS1,0.0
AACPS2,0.0
AACPS3,0.0
AACPS4,0.0
AACPS5,0.0
AACPS6,0.0
AACPS7,0.0
AACPS8,0.0
AACPS9,0.0
AACT,0.0
AACTOOR,0.0
AADa,-5.203162727685716
AADb,-5.203162727685716
AALDCDLsi,0.9041086914006282
AALDH,0.0
AASAD3,0.0
AATA,0.0
ABG4t2,0.0
ABTA,0.2310496790280435
ABTt,0.0
ABUTD,0.0
ABUTt2pp,0.0
ABUTt2r,0.0
ACACCT,0.0
ACACT1r,0.5173930226826818
ACACT2r,0.17573571497836382
ACACT3r,0.17573571497836382
ACACT4r,0.17573571497836316
ACACT5r,0.17573571497836316
ACACT6r,0.17573571497836318
ACACT7r,0.14278526841992226
ACACT8r,-0.03295044655844281
ACAC_Et,-1.4815175219925998
ACACt2pp,0.0
ACACtex,0.0
ACALD,2.925487220940201e-16
ACALDt,0.0
ACCOAC,4.931583501580449
ACCOAL,3.444867221942282
ACGAMK,0.0
ACGAMPM,0.0
ACGApts,0.0
ACGAptspp,0.0
ACGAtex,0.0
ACGK,0.0
ACGS,0.0
ACHBS,1.4407433689747469
ACKr,6.632993624381357
ACLS,3.9053634063016425
ACLS_a,2.785147167486351
ACLS_d,2.7689654489764295
ACLSb,0.0
ACM6PH,0.0
ACMANApts,0.0
ACNAMt2pp,0.0
ACNAMtex,0.0
ACNML,0.0
ACOAD1,0.0
ACOAD10f,0.0
ACOAD14f,0.0
ACOAD15f,0.0
ACOAD16f,0.0
ACOAD17f,0.0
ACOAD18f,0.0
ACOAD1f,0.0
ACOAD1fr,0.17573571497836382
ACOAD2,-6.684578347260114
ACOAD20,0.0
ACOAD22f,0.0
ACOAD23f,0.0
