,fluxes
12DGR140tipp,-7.102653328810168e-09
13PPDH,-4.0623957933030314e-16
1P2CBXLCYCL,-1.525754542816759e-08
1P2CBXLR,2.1710608197995956e-07
23CTI1,5.0357345288108746e-09
23CTI2,0.3501613299722168
23CTI3,-6.548320220519431e-15
24DECOAR,4.0519105920264525e-14
25DKGLCNt2rpp,2.4236712003408508e-08
25DKGLCNtex,2.423670782524434e-08
26DAHtex,1.9720264173436953e-08
2AGPA120tipp,1.1458912989221022e-09
2AGPA141tipp,2.9524185002737823e-09
2AGPA160tipp,6.70099727545029e-09
2AGPA161tipp,9.624659660969052e-10
2AGPA181tipp,-9.656294834361108e-09
2AGPE120tipp,-1.1893087699888795e-08
2AGPE141tipp,-1.1185473267391272e-08
2AGPE160tipp,-3.015465930780585e-09
2AGPE161tipp,-1.3652374322796688e-08
2AGPE180tipp,-5.942039895371891e-09
2AGPE181tipp,-8.32904646061533e-09
2AGPEAT120,-1.037431367808489e-08
2AGPEAT141,-8.598731670985393e-09
2AGPEAT160,-1.77571474863354e-08
2AGPEAT161,3.48548235132453e-09
2AGPEAT180,-1.5353597926180355e-08
2AGPEAT181,-7.504703338246783e-09
2AGPG120tipp,-9.521217765739095e-09
2AGPG140tipp,-1.3175705665381886e-08
2AGPG141tipp,-8.75989418265121e-09
2AGPG160tipp,7.10959041636991e-10
2AGPG161tipp,-9.637912829253134e-09
2AGPG180tipp,-6.118326492806955e-09
2AGPG181tipp,-4.023905307627064e-09
2AGPGAT120,-1.3128627102410608e-08
2AGPGAT140,-1.3175704330855215e-08
2AGPGAT141,-1.2097579908086409e-08
2AGPGAT160,-9.655117589665816e-09
2AGPGAT161,-1.292267930374623e-08
2AGPGAT180,-1.1853441992884332e-08
2AGPGAT181,-1.1003193669567087e-08
2DDARAA,4.5240856797438266e-15
2DGULRx,2.4236707911401965e-08
2DHGLCK,1.3898318226089032e-08
2DHGLCNkt_tpp,1.3898318133292725e-08
2DHGLCNtex,2.185538793197624e-08
2HH24DDH,-9.117716957240795e-12
2HH24DDH1,4.9593635349274634e-11
2INSD,-1.8507398071824803e-09
2PGLYCt6,-1.571025850445943e-08
34DHPACDO,-1.683587978746236e-09
34HPPOR,3.8959905632143485e-09
34dhpactex,-1.0423459178742619e-10
3AMACHYD,7.609504176520401e-09
3HBCOAHL,2.9402809659569923e-09
3HCINNMH,5.793979700532314e-09
3HPPPNH,-7.451367028955593e-09
3HPTNCOAR,6.8458448812153145
3HSA,-1.371403290564122e-13
3M2OPLOXRD,1.0210742060047316e-07
3MBt2pp,-3.7814375288471696e-10
3MBt4pp,1.838383481698279e-08
3MBtex,1.800568694749296e-08
3OADPCOAT,-1.5231066486612964e-08
3OXCOAT,4.0991201850543086e-08
3PEPTabcpp,1.1143087412780834e-08
3PEPTtex,2.5964289594286614e-08
3SALATAi,-0.14126690074792972
3_4DHBZ1t_pp,1.938434557539491e-08
3_4DHBZt2,1.9384344255207325e-08
42A12BOOXpp,1.042366168905869e-10
4ABUTD,-2.044788145113779
4ABUTabcpp,-2.068295072812338e-08
4ABZGLUH,1.8775491405917282e-08
4ABZGLUtex,1.8775483001896926e-08
4ABZGLUtr,1.8775480485386998e-08
4CMLCL_kt,-2.3241693277167805e-09
4H2KPILY,-9.115936990349072e-12
4HALDD,1.7754292943530517e-09
4HBADH,-4.18271698235627e-08
4HBAt,-1.8993169905197794e-08
4HBCOAH,-1.0641945414547079e-08
4HBHYOX,-2.2051531143409508e-08
4HBZtex,1.9895522060959854e-08
4HOXPACMOF,2.535003005197422e-09
4HOXPACMOF_1,6.21334634637592e-10
4HOXPACMON,-2.3049439977860115e-09
4HOXPACt2pp_1,-1.6835759175519256e-09
4HPRO_LT_Et,1.84996156968156e-08
4HPTNCOAK,-9.484702416004631e-09
4HPTNCOAL,-1.4555139039795945e-08
4HPTNtex,-1.4555130391874582e-08
4HPTNtpp,-1.4555130578188987e-08
4OXPTCOADHx,4.817031116789518e-09
4OXPTCOADHy,2.5338507489891524e-10
4OXPTNtex,5.070433251698167e-09
4OXPTNtpp,5.070431952505236e-09
4PCPpp,4.3715396157969824e-10
4PEPTabcpp,-1.150148630283613e-08
4POPCOAM,-9.484694100386062e-09
4POPCOAM2,-9.484712564408772e-09
4POPCOAM3,-9.48467616997897e-09
4hoxpactex,-1.6835687892589886e-09
5DGLCNR,2.0006515227629292e-07
5DH4DGLCD,-2.278427660841659e-08
5DKGR,1.7582844739152175e-07
5DOAN,-1.2253538998842768e-08
6HNACMO,-2.0312723883749697e-08
A24T,3.117218033267335e-08
A4HBCT,-1.0641953652425406e-08
AAAN,1.0792238335537565e-09
AABTN,-1.1857810088930803e-08
AACLAM,8.527884332810617e-08
AACOAR_syn,-7.135911059598534
AACOAT,1.0484821080558106e-10
AACPS1,-1.485795062790509e-08
AACPS2,-1.0248500171226948e-08
AACPS3,7.107717458834826e-09
AACPS4,-9.334860568118916e-09
AACPS5,-7.002704245136177e-09
AACPS6,-6.076451462657124e-09
AACPS7,-1.0946960855258172e-08
AACPS8,-1.502670215296599e-08
AACPS9,-1.5026702548496285e-08
AACT,-1.8362343384686016e-07
AACTOOR,-1.1527010781220618e-08
AADa,-18.676211414998242
AADb,-18.67621141499824
