,fluxes
12DGR140tipp,-5.470320339875137e-09
13PPDH,1.8960341268388476e-15
1P2CBXLCYCL,-6.600029271803677e-09
1P2CBXLR,5.5598918122597525e-08
23CTI1,8.986080400445608e-09
23CTI2,9.272031143200568e-07
23CTI3,3.3297889967801055e-15
24DECOAR,6.521867562671609e-15
25DKGLCNt2rpp,1.667875882914518e-08
25DKGLCNtex,1.6678756060709285e-08
26DAHtex,1.0190479925290676e-08
2AGPA120tipp,2.3930504739317672e-09
2AGPA141tipp,3.3132216140685596e-09
2AGPA160tipp,1.096305014377681e-08
2AGPA161tipp,2.213261452556643e-09
2AGPA181tipp,-6.2198408343338785e-09
2AGPE120tipp,-6.9624474775073785e-09
2AGPE141tipp,-6.454951378659785e-09
2AGPE160tipp,2.4004072810751254e-09
2AGPE161tipp,-1.052721237422743e-08
2AGPE180tipp,4.6481659100861483e-10
2AGPE181tipp,-3.927241453494566e-09
2AGPEAT120,-8.640905221767283e-09
2AGPEAT141,-7.730907005505866e-09
2AGPEAT160,-1.4897004294075101e-08
2AGPEAT161,7.695607691510042e-09
2AGPEAT180,-1.3154060426440285e-08
2AGPEAT181,-6.824519062750307e-09
2AGPG120tipp,-7.421059336816241e-09
2AGPG140tipp,-7.729352400016764e-09
2AGPG141tipp,-6.8525079492759784e-09
2AGPG160tipp,-1.1859707059136455e-09
2AGPG161tipp,-7.976124762651647e-09
2AGPG180tipp,-6.280186387158163e-09
2AGPG181tipp,-3.857486032295624e-09
2AGPGAT120,-7.481954958981024e-09
2AGPGAT140,-7.729347648109707e-09
2AGPGAT141,-6.804297185265715e-09
2AGPGAT160,-1.0035581810015965e-08
2AGPGAT161,-8.857154371960707e-09
2AGPGAT180,-5.161277750456771e-09
2AGPGAT181,-5.627537717145061e-09
2DDARAA,-1.063827734324396e-15
2DGULRx,1.6678756634463185e-08
2DHGLCK,-1.6774729019802376e-09
2DHGLCNkt_tpp,-1.67747256456089e-09
2DHGLCNtex,1.6004618033409435e-08
2HH24DDH,3.060206183742764
2HH24DDH1,2.319546440516505
2INSD,1.004207414937557e-08
2PGLYCt6,-1.5361341202828032e-08
34DHPACDO,6.306305411973738e-09
34HPPOR,-3.1932898296674673e-09
34dhpactex,5.394539150588155e-09
3AMACHYD,-7.684822281860247e-09
3HBCOAHL,1.516042801939104e-08
3HCINNMH,-7.90440557216311e-09
3HPPPNH,-1.0614542475290331e-08
3HPTNCOAR,4.113594844394805
3HSA,-1.8434164716881817e-14
3M2OPLOXRD,5.277306292944868e-08
3MBt2pp,-7.433166265968034e-10
3MBt4pp,9.329208827613498e-09
3MBtex,8.585892195627696e-09
3OADPCOAT,100.00000005946923
3OXCOAT,100.00000005557725
3PEPTabcpp,5.15682612851588e-09
3PEPTtex,1.9336574601689956e-08
3SALATAi,-0.09728046976991218
3_4DHBZ1t_pp,6.010214246791609e-11
3_4DHBZt2,6.010440426173935e-11
42A12BOOXpp,-5.394539934126054e-09
4ABUTD,-21.517423783994563
4ABUTabcpp,-1.4126737104201944e-08
4ABZGLUH,1.4792357140495339e-08
4ABZGLUtex,1.4792358118964693e-08
4ABZGLUtr,1.4792357422720346e-08
4CMLCL_kt,-1.0177978813257872e-08
4H2KPILY,3.0602061837427637
4HALDD,6.926116905525682
4HBADH,-3.241738461199128e-08
4HBAt,-1.6519261285812796e-08
4HBCOAH,11.344922140344286
4HBHYOX,-1.9918128633325547e-08
4HBZtex,1.0989871375605178e-08
4HOXPACMOF,6.926116900935259
4HOXPACMOF_1,1.038678515325484e-08
4HOXPACMON,-4.080480269709605e-09
4HOXPACt2pp_1,6.306304574898156e-09
4HPRO_LT_Et,3.4106303018352817e-09
4HPTNCOAK,-6.554463597416959e-09
4HPTNCOAL,-6.423257075365852e-09
4HPTNtex,-6.4232607715617574e-09
4HPTNtpp,-6.423261479961269e-09
4OXPTCOADHx,5.467563212653098e-10
4OXPTCOADHy,-6.779621060027808e-10
4OXPTNtex,-1.312032501227551e-10
4OXPTNtpp,-1.312027197490346e-10
4PCPpp,-3.146900047828878e-09
4PEPTabcpp,-5.44773937204816e-09
