reaction_id,reaction_name,reaction_reaction,flux
12DGR140tipp,"1,2 diacylglycerol transport via flipping (periplasm to cytoplasm, n-C14:0)",12dgr140_p --> 12dgr140_c,-4.435345669667199e-12
13PPDH,"1,3-propanediol dehydrogenase",3hppnl_c + h_c + nadh_c <=> 13ppd_c + nad_c,-3.469446951953614e-18
1P2CBXLCYCL,1 Pyrroline 2 carboxylate cyclation,5a2opntn_c <=> 1p2cbxl_c + h2o_c + h_c,-2.9439511088203186e-12
1P2CBXLR,Delta1 piperideine 2 carboxylate reductase,1p2cbxl_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,2.8675667753647566e-11
23CTI1,Decenyl coa cis trans isomerization  cis dec 3 enoyl CoA ,decoa_c --> dc2coa_c + h_c,4.03926430504965e-12
23CTI2,Dodecenyl coa cis trans isomerization  cis dodec 3 enoyl CoA ,dded3coa_c --> dd2coa_c,3.91556753934525e-10
23CTI3,Cis trans isomerization  cis trans isomerization  3Z 6Z dodec dienoyl CoA ,dd_3_6_coa_c --> dd6_2_coa_c,-4.6357065549695e-18
24DECOAR,2 4 dienoyl CoA reductase,dec4_2_coa_c + h_c + nadph_c --> dc2coa_c + nadp_c,-4.7358932871263736e-17
25DKGLCNt2rpp,2 5 diketo D gluconate transport via proton symport  reversible  periplasm ,25dkglcn_p + h_p --> 25dkglcn_c + h_c,7.87783812427227e-12
25DKGLCNtex,2 5 diketo D gluconate transport via diffusion  extracellular to periplasm ,25dkglcn_e <=> 25dkglcn_p,7.877846897937784e-12
26DAHtex,"Meso-2,6-Diaminoheptanedioate transport via diffusion (extracellular to periplasm)",26dap__M_e <=> 26dap__M_p,6.369538029632483e-12
2AGPA120tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C12:0) transporter via facilitated diffusion (periplasm),2ddecg3p_p --> 2ddecg3p_c,-4.68397253951527e-13
2AGPA141tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C14:1) transporter via facilitated diffusion (periplasm),2tdec7eg3p_p --> 2tdec7eg3p_c,-3.0108108369927915e-13
2AGPA160tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:0) transporter via facilitated diffusion (periplasm),2hdecg3p_p --> 2hdecg3p_c,6.259903373157643e-13
2AGPA161tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C16:1) transporter via facilitated diffusion (periplasm),2hdec9eg3p_p --> 2hdec9eg3p_c,-4.603724055558387e-13
2AGPA181tipp,2-Acyl-sn-glycero-3-phosphatidate (n-C18:1) transporter via facilitated diffusion (periplasm),2odec11eg3p_p --> 2odec11eg3p_c,-4.274619776669552e-12
2AGPE120tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C12:0) transporter via facilitated diffusion (periplasm),2agpe120_p --> 2agpe120_c,-3.612870318720779e-12
2AGPE141tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C14:1) transporter via facilitated diffusion (periplasm),2agpe141_p --> 2agpe141_c,-3.561481256569755e-12
2AGPE160tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:0) transporter via facilitated diffusion (periplasm),2agpe160_p --> 2agpe160_c,-1.1700572414968892e-12
2AGPE161tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C16:1) transporter via facilitated diffusion (periplasm),2agpe161_p --> 2agpe161_c,-3.660095946945925e-12
2AGPE180tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:0) transporter via facilitated diffusion (periplasm),2agpe180_p --> 2agpe180_c,-1.9538023598182148e-12
2AGPE181tipp,2-Acyl-sn-glycero-3-phosphoethanolamine (n-C18:1) transporter via facilitated diffusion (periplasm),2agpe181_p --> 2agpe181_c,-2.8420088706161004e-12
