Study ID,Study Name,Line ID,Replicate Key,Line Name,Line Description,Protocol,Assay ID,Assay Name,Formal Type,Measurement Type,Compartment,Units,Value,Hours
15279,Rhodococcus opacus PD630 Rhiannon 2018,15280,24113c70-2925-4712-aafc-d272ab4e41e5,WT-R1,Wild Type R.opacus grown on glucose. Replicate 1,Other,15286,WT-R1,cid:5793,"(3R,4S,5S,6R)-6-methyloltetrahydropyran-2,3,4,5-tetrol",0,g/L,0.8193799999999999,0.0
15279,Rhodococcus opacus PD630 Rhiannon 2018,15280,24113c70-2925-4712-aafc-d272ab4e41e5,WT-R1,Wild Type R.opacus grown on glucose. Replicate 1,Other,15286,WT-R1,cid:5793,"(3R,4S,5S,6R)-6-methyloltetrahydropyran-2,3,4,5-tetrol",0,g/L,0.727,5.0
15279,Rhodococcus opacus PD630 Rhiannon 2018,15280,24113c70-2925-4712-aafc-d272ab4e41e5,WT-R1,Wild Type R.opacus grown on glucose. Replicate 1,Other,15286,WT-R1,cid:5793,"(3R,4S,5S,6R)-6-methyloltetrahydropyran-2,3,4,5-tetrol",0,g/L,0.5603100000000001,9.0
15279,Rhodococcus opacus PD630 Rhiannon 2018,15280,24113c70-2925-4712-aafc-d272ab4e41e5,WT-R1,Wild Type R.opacus grown on glucose. Replicate 1,Other,15286,WT-R1,cid:5793,"(3R,4S,5S,6R)-6-methyloltetrahydropyran-2,3,4,5-tetrol",0,g/L,0.00214,11.5
15279,Rhodococcus opacus PD630 Rhiannon 2018,15281,605c9aba-a6ee-4be4-8c02-65f0ef5f1e7d,WT-R2,Wild Type R.opacus grown on glucose. Replicate 2,Other,15287,WT-R2,cid:5793,"(3R,4S,5S,6R)-6-methyloltetrahydropyran-2,3,4,5-tetrol",0,g/L,0.8773200000000001,0.0
15279,Rhodococcus opacus PD630 Rhiannon 2018,15281,605c9aba-a6ee-4be4-8c02-65f0ef5f1e7d,WT-R2,Wild Type R.opacus grown on glucose. Replicate 2,Other,15287,WT-R2,cid:5793,"(3R,4S,5S,6R)-6-methyloltetrahydropyran-2,3,4,5-tetrol",0,g/L,0.7246,5.0
15279,Rhodococcus opacus PD630 Rhiannon 2018,15281,605c9aba-a6ee-4be4-8c02-65f0ef5f1e7d,WT-R2,Wild Type R.opacus grown on glucose. Replicate 2,Other,15287,WT-R2,cid:5793,"(3R,4S,5S,6R)-6-methyloltetrahydropyran-2,3,4,5-tetrol",0,g/L,0.45511999999999997,9.0
15279,Rhodococcus opacus PD630 Rhiannon 2018,15281,605c9aba-a6ee-4be4-8c02-65f0ef5f1e7d,WT-R2,Wild Type R.opacus grown on glucose. Replicate 2,Other,15287,WT-R2,cid:5793,"(3R,4S,5S,6R)-6-methyloltetrahydropyran-2,3,4,5-tetrol",0,g/L,0.00231,11.5
15279,Rhodococcus opacus PD630 Rhiannon 2018,15282,e579a97e-6f0c-4373-a813-2478b28dd152,WT-R3,Wild Type R.opacus grown on glucose. Replicate 3,Other,15288,WT-R3,cid:5793,"(3R,4S,5S,6R)-6-methyloltetrahydropyran-2,3,4,5-tetrol",0,g/L,0.87329,0.0
15279,Rhodococcus opacus PD630 Rhiannon 2018,15282,e579a97e-6f0c-4373-a813-2478b28dd152,WT-R3,Wild Type R.opacus grown on glucose. Replicate 3,Other,15288,WT-R3,cid:5793,"(3R,4S,5S,6R)-6-methyloltetrahydropyran-2,3,4,5-tetrol",0,g/L,0.80102,5.0
15279,Rhodococcus opacus PD630 Rhiannon 2018,15282,e579a97e-6f0c-4373-a813-2478b28dd152,WT-R3,Wild Type R.opacus grown on glucose. Replicate 3,Other,15288,WT-R3,cid:5793,"(3R,4S,5S,6R)-6-methyloltetrahydropyran-2,3,4,5-tetrol",0,g/L,0.46487,9.0
15279,Rhodococcus opacus PD630 Rhiannon 2018,15282,e579a97e-6f0c-4373-a813-2478b28dd152,WT-R3,Wild Type R.opacus grown on glucose. Replicate 3,Other,15288,WT-R3,cid:5793,"(3R,4S,5S,6R)-6-methyloltetrahydropyran-2,3,4,5-tetrol",0,g/L,0.00398,11.5
