Metabolite,Tags,In 1-A,In 1-B,In 1-C,In 1-D,In 1-E,In 1-F,In 1-G,In 1-H,In 1-I,In 1-J,In 1-K,In 1-L,In 4-A,In 4-B,In 4-C,In 4-D,In 4-E,In 4-F,In 4-G,In 4-H,In 4-I,In 4-J,In 4-K,In 4-L
2-aminoadipic acid,High Confidence,206675.0732,341996.1038,263361.8045,361520.3973,227309.5576,398074.8856,23856094.08,23677926.19,22411304.04,15162280.88,18852341.72,17011829.74,307148.4264,524399.0083,275079.3403,5320455.933,4040092.502,5874447.4,2040576.271,1720015.264,1587764.505,19734542.56,21580766.29,15944777.8
2'-Deoxycytidine 5'-monophosphoric acid,High Confidence,265628.2074,358143.9148,316901.9375,158448.3434,213583.3661,211939.4967,644698.6029,504746.135,610753.061,415540.7152,414698.8283,519245.3363,67093.51243,92799.06573,91128.01027,75728.42913,55793.05567,100614.7628,62117.76873,39870.09676,46410.23775,274822.6378,232556.9408,297452.001
3-phosphoglycerate,High Confidence,398155.547,448290.9183,382225.8958,322605.0733,312837.4294,296180.631,270515.9001,433893.9125,281546.7381,271752.3762,282297.4352,293529.2016,688993.8748,846794.3694,541526.933,84282.47815,42815.82702,82763.97424,29381.11382,16093.13845,9265.648055,252025.54,360598.2283,237547.2887
4-aminobutyric acid (GABA),High Confidence,461693.9971,496714.9992,549619.8102,677195.0481,575822.1064,819996.2312,1422059.381,693137.9054,1364525.822,72902.08497,2048534.514,1604691.312,78968.41042,272475.1993,85734.55651,269978.4926,251311.2993,251915.9888,926751.4782,567931.033,538910.5951,1748443,1655718.005,1077434.327
Adenine,High Confidence,553917.0126,638854.8404,802743.2753,710902.5555,510742.4749,618736.8906,652987.2244,700616.3589,720880.1296,594252.4445,631378.7495,588287.2297,454156.457,429740.5506,392350.9899,534609.9798,455045.118,507102.4082,488827.447,379245.5165,351121.7984,747663.7436,730424.7882,570845.796
Adipic acid,High Confidence,0,0,0,0,0,0,209583.4215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arachidic acid,High Confidence,39884.14605,84423.2395,65523.76898,21587.08363,30589.63167,43765.31576,45144.48775,51418.46615,80344.30843,30943.57956,34596.49303,23911.45154,49204.36451,54159.88575,55007.71791,54335.89125,40411.43365,28787.93227,17656.03153,34278.42471,46926.60926,17617.16928,16733.75967,24811.62993
Beta-alanine,High Confidence,1751763.144,2040960.806,2144767.057,1742924.769,1362157.065,1604466.573,3338455.005,3346598.263,3306365.082,2485640.047,3083610.049,2584467.95,1682083.443,1807988.441,1366642.368,2219697.781,1961972.967,2760299.461,1913257.209,1657865.525,1437947.627,3514744.579,3450981.035,2794280.997
Carbonate ion,High Confidence,1766960.212,2032543.136,2175518.313,2187317.706,2078919.836,2008970.447,1906086.503,1976833.614,1942793.91,1821222.863,2065605.094,1626023.237,1673533.919,1892648.079,2027582.822,1831849.039,1693129.858,1883379.831,1640787.714,1595261.253,1592373.937,2483468.321,2363186.045,1985494.087
Citric acid,High Confidence,98325.76686,115405.401,157969.9413,73643.828,85094.11759,110175.1601,109801.4759,124751.5149,139679.9732,228090.2971,267275.4758,247298.1744,260517.7572,289564.4238,228498.8164,235961.8236,224289.2373,248758.7374,139057.663,0,79803.27844,145069.2911,195304.4353,124752.0228
Dehydroalanine,High Confidence,185888.5182,50991.39092,276810.7429,317216.4194,336929.763,515591.83,106603.5034,206576.8753,154902.0768,220103.45,440350.1855,211315.0655,195437.2737,260805.1545,73308.91153,216710.7909,38717.69241,162162.795,72136.55077,55732.04713,158493.9659,341270.398,334612.2884,251951.8778
D-fructose-6-phosphate,High Confidence,344300.8899,383827.3901,585674.9643,494423.5926,441223.2334,532374.7626,367863.3889,520585.7029,304891.9245,331505.5842,493661.3041,324032.0481,1199739.899,1329242.593,1027053.449,296610.3692,199335.4792,310796.141,323996.492,217418.1167,185075.6159,430239.1305,395793.2336,411098.9635
