m/z,RT [min],Name,Tags,Foston_In_1-A_Met_LC_HILIC_Neg (F32),Foston_In_1-B_Met_LC_HILIC_Neg (F33),Foston_In_1-C_Met_LC_HILIC_Neg (F34),Foston_In_1-D_Met_LC_HILIC_Neg (F35),Foston_In_1-E_Met_LC_HILIC_Neg (F36),Foston_In_1-F_Met_LC_HILIC_Neg (F37),Foston_In_1-G_Met_LC_HILIC_Neg (F38),Foston_In_1-H_Met_LC_HILIC_Neg (F39),Foston_In_1-I_Met_LC_HILIC_Neg (F40),Foston_In_1-J_Met_LC_HILIC_Neg (F41),Foston_In_1-K_Met_LC_HILIC_Neg (F42),Foston_In_1-L_Met_LC_HILIC_Neg (F43),Foston_In_4-A_Met_LC_HILIC_Neg (F44),Foston_In_4-B_Met_LC_HILIC_Neg (F45),Foston_In_4-C_Met_LC_HILIC_Neg (F46),Foston_In_4-D_Met_LC_HILIC_Neg (F47),Foston_In_4-E_Met_LC_HILIC_Neg (F48),Foston_In_4-F_Met_LC_HILIC_Neg (F49),Foston_In_4-G_Met_LC_HILIC_Neg (F50),Foston_In_4-H_Met_LC_HILIC_Neg (F51),Foston_In_4-I_Met_LC_HILIC_Neg (F52),Foston_In_4-J_Met_LC_HILIC_Neg (F53),Foston_In_4-K_Met_LC_HILIC_Neg (F54),Foston_In_4-L_Met_LC_HILIC_Neg (F55),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187.13353,1.087,10-Hydroxydecanoic acid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",1133477.898,508794.64,436387.4948,449310.2578,411861.7343,1068356.31,3840676.995,3612321.606,4264951.791,6891660.552,5980368.006,7784952.166,4122004.298,211228.7468,5012525.087,4059685.868,6853714.823,2132461.292,3735873.328,6413751.367,3740117.572,6384283.875,5191409.922,5370749.47,Foston_Ex_1-50 (F30),Foston_Ex_4-1 (F31),Foston_Ex_4-2 (F32),Foston_Ex_4-3 (F33),Foston_Ex_4-4 (F34),Foston_Ex_4-5 (F35),Foston_Ex_4-6 (F36),Foston_Ex_4-7 (F37),Foston_Ex_4-8 (F38),Foston_Ex_4-9 (F39),Foston_Ex_4-10 (F40),Foston_Ex_4-11 (F41),Foston_Ex_4-12 (F42),Foston_Ex_4-16 (F43),Foston_Ex_4-17 (F44),Foston_Ex_4-18 (F45),Foston_Ex_4-19 (F46),Foston_Ex_4-20 (F47),Foston_Ex_4-21 (F48),Foston_Ex_4-22 (F49),Foston_Ex_4-23 (F50),Foston_Ex_4-24 (F51),Foston_Ex_4-25 (F52),Foston_Ex_4-26 (F53),Foston_Ex_4-27 (F54),Foston_Ex_4-28 (F55),Foston_Ex_4-32 (F56),Foston_Ex_4-33 (F57),Foston_Ex_4-34 (F58),Foston_Ex_4-35 (F59),Foston_Ex_4-36 (F60),Foston_Ex_4-37 (F61),Foston_Ex_4-38 (F62),Foston_Ex_4-39 (F63),Foston_Ex_4-40 (F64),Foston_Ex_4-41 (F65),Foston_Ex_4-42 (F66),Foston_Ex_4-43 (F67),Foston_Ex_4-44 (F68),Foston_Ex_4-48 (F69),Foston_Ex_4-49 (F70),Foston_Ex_4-50 (F71),Foston_Ex_4-51 (F72),Foston_Ex_4-52 (F73),Foston_Ex_4-53 (F74),Foston_Ex_4-54 (F75),Foston_Ex_4-55 (F76),Foston_Ex_4-56 (F77),Foston_Ex_4-57 (F78),Foston_Ex_4-58 (F79),Foston_Ex_4-59 (F80),Foston_Ex_4-60 (F81),Foston_Ex_4-64 (F82)
215.16504,0.953,12-Hydroxydodecanoic acid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",262525.089,201370.2297,180490.7439,183831.8538,201184.061,231635.5202,1110871.911,748724.3538,670359.1771,1142168.427,1018493.358,976304.7186,866007.2455,44445.44859,905645.3011,823430.101,1231440.295,948788.3298,1240461.108,1271937.021,671157.5641,1406540.741,915491.5299,996569.6542,35593.90104,23220.47052,87737.62849,22093.08839,1300548.405,23217.43048,1090056.73,4020740.377,3872494.501,24285.15713,1520162.968,2381096.206,1370553.056,157448.3912,23212.26253,23506.22446,1668721.346,23297.34116,22158.17071,24011.42996,368553.7904,104102.3852,991685.5588,23424.30987,22885.87539,22789.13477,22498.99316,1188227.829,21952.31258,582247.6199,22095.41612,22828.52272,182553.9905,1902337.96,918552.0409,1129248.193,23659.12726,21906.61189,20949.70206,21750.83409,43918.68194,749914.9316,42299.65601,39332.30041,37647.01015,35963.5202,26299.89012,23757.63319,79872.54262,23541.28317,22358.29305,22917.143,25707.81745
330.05996,5.074,2'-Deoxyadenosine 5'-monophosphate (dAMP),"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",1302845.704,1182051.13,1530871.583,369829.3648,403622.6905,615469.0847,2567630.131,2288582.118,2791946.866,662756.102,971692.6253,971774.0941,449306.1254,10950.50764,682996.253,410865.4854,505853.413,411753.6964,335705.7261,147130.3647,180181.0956,1011630.319,1245088.171,1106591.321,14230070.89,3551039.996,9893298.97,4996318.732,15044883.04,6702867.975,18689007.63,10563967.84,27110056.68,9014230.19,7021349.188,25060863.37,6823872.35,63354826.5,10266188.81,8950513.001,7099497.108,17540764.69,7438850.708,16442656.59,9529146.981,11984042.62,6968282.824,1806897.464,1925207.837,2180992.008,370935.756,14426553.7,47415564.02,10556667.58,58761287.06,13159387.37,31033728.58,3144345.308,2792487.287,15978615.61,2045716.536,2970423.397,2039629.69,1051268.35,13072108.92,12046977.42,6617616.741,12145361.86,9120849.44,19831001.88,11413258.17,5268307.819,45010332.4,4042393.333,1120618.212,2237182.321,4857366.368
410.02632,5.454,2'-Deoxyadenosine-5'-diphosphate (dADP),"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",2242668.669,1789072.179,1900596.483,250188.5909,548780.0237,736670.452,4182091.729,2924910.913,3931789.661,1361305.644,2018186.994,1626720.687,535293.4997,23769.19782,461172.2032,325704.5297,426322.7434,147528.2011,94074.05987,113932.1312,79143.79086,667039.5427,886386.2382,1634097.256,1606481.492,13576.71851,40776290.81,13504.90713,61099780.32,13900.22802,22906388.6,208097.4523,415861.3794,13540.56178,13856.96146,2913359.594,13793.41466,29967052.61,13978.10711,14086.90821,14070.32138,70782673.88,32217624.58,55953355.3,14197.01424,228077.7192,7240221.962,1761012.783,2605547.639,496970.254,148909444.2,13370.5122,756262.2488,13541.02504,569319.096,13744.50007,378458.9936,7418224.159,14487.74991,1165480.908,2733144.789,3061543.884,3924709.121,13510.10684,2654522.15,14121.49752,267249.7376,15876029.36,14512399.66,22677990.49,17266805.67,1245074.575,16613406.37,1914675.458,71932.63473,2039234.827,14346.14346
226.08322,3.946,2'-Deoxycytidine,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",4357391.431,5243621.286,4845953.771,2228662.141,1916973.627,1903438.14,3573098.175,3070000.796,3234650.482,187745.6232,389245.628,212592.1519,2202075.157,14612.41547,1632281.685,2589969.136,3127652.468,2687628.67,5160089.846,3891239.235,4070520.33,2853876.965,2288997.444,2876865.265,11326330.23,563438.1032,5460345.835,744525.9337,11584073.07,1691002.623,10482286,51981456.81,46753447.16,9690832.396,44890045.8,46465412.62,39686307.19,6423700.78,1290905.784,1369859.415,1526367.037,12761041.44,6161333.044,10879792.59,39355621.51,39024216.2,43061749.5,38906078.52,37675226.54,42100720.86,18616.18421,319726.2809,35867322.65,18153.60694,38611839.25,17225.45304,34798143.97,56057895.63,43024706.06,36038978.16,30051872.76,28818016.99,32882993.36,17954.52809,60900959.3,40937807.38,56144597.74,29842268.34,30652379.65,24231526.14,41965351.37,19542547.69,40835824.89,37998206.28,7072151.841,33486531.56,2573226.201
386.01502,5.578,2'-Deoxycytidine 5'-diphosphate (dCDP),"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",858488.9787,472114.1751,658166.5444,736198.5511,330647.0188,534212.2056,3537928.775,3218615.139,4982846.838,2085164.92,3598680.925,3908141.61,59259.21615,12012.65844,177949.5294,193514.1248,107010.8142,14752.89891,14985.67558,30542.51596,107680.4841,141812.3204,102129.2144,673795.7989,16902.58872,10679.7637,16739.8757,10577.39119,484174.3211,11047.6264,817839.6899,3315111.01,880867.2328,125430.0444,2004938.018,1258452.986,2421924.023,6725108.917,14501.31719,14553.42466,13550.36805,2071794.825,173861.635,1158687.686,1420654.418,2135446.914,1997095.7,3888638.028,3108832.677,3594475.646,10477.31048,11543.26301,1287663.789,12066.5245,1748602.358,11102.78245,2390213.229,7028707.282,4850196.29,3335999.264,1833819.199,1674169.569,2285460.782,10340.06267,267052.3661,15028.54232,236111.836,2106245.098,1568993.38,1559028.718,2215300.623,1539110.276,1088859.253,1784562.643,1005711.84,5262550.464,10274.62889
306.04918,5.285,2'-Deoxycytidine 5'-monophosphate (dCMP),"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",1926658.573,1261206.071,1345026.063,498350.9105,504403.0395,754689.9043,4476062.002,3037073.231,3770150.236,1454817.526,2114528.529,2474033.205,671980.2066,9335.003265,890059.643,783110.7983,896190.8458,1029552.493,1202821.564,665610.1987,584807.814,3239716.394,2908845.798,2536258.983,1814177.687,10292163.85,32179899.81,54447313.63,90824765.12,7632428.913,72854323.96,70862342.75,70650573.95,652262.5658,2981024.254,98853958.61,5358091.113,31785139.69,42264144.92,24190707.16,19271205.52,23807634.71,4883452.074,22978477.8,26261440.92,24633549.31,71824993.84,3916752.235,4157347.636,1603877.378,12529.16643,7725323.088,57790015.15,6004974.339,33774510.65,2108837.898,18517658.01,30454274.61,23576108.35,49655870.14,2588525.047,2875532.282,2135071.421,11817.86162,37538195.17,21871389.34,25699372.89,14292624.64,8598647.444,13744707,72688942.62,47682352.17,71073167.56,1976345.549,227665.5583,2332248.175,11239.26021
159.02924,5.334,2-Oxoadipic acid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",322226.2561,611283.845,689254.6725,1116999.7,948132.6897,1196115.087,1282715.833,699898.2982,7684833.005,922224.8783,4097283.806,1218901.201,142091.2781,24871.70032,133589.1528,239236.9123,416307.6027,457043.8283,246785.6119,257221.1446,267878.9077,4100957.569,5422936.674,4460584.063,137544950.1,19088.67953,17609.1298,15587.50389,16086.12392,16159.51446,15971.75536,15606.56466,15763.5776,14921.41154,160291.9433,18388.79432,17291.75271,18537.99437,16065.17816,19382.18588,16372.98514,820140.9023,188167.7106,375627.7187,147807.2774,17365.77475,19207.53171,16135.1535,17015.25836,15653.22542,4893126.548,160953.0178,438495.6522,16633.3955,802707.9898,18687.39942,1034616.065,170256.3533,198847.0131,15794.29961,16737.58385,16879.44909,158760.3197,32330198.79,280270805.5,721908.4715,420557572.3,131215113.2,104935345.3,97282104.4,1528547.65,2845046.099,493054.2965,1891461.167,691846.7361,1378648.989,4575640.95
101.02399,4.662,2-Oxobutanoic acid,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",6753989.233,7551297.471,8659549.034,8058023.681,7163996.491,8250558.538,6711672.496,6966946.881,5901684.432,15031352.73,6320481.05,9921538.935,9963883.848,3015905.224,9102700.733,6804813.236,8299064.092,7465701.476,6165258.897,5792198.4,5430560.747,4046706.791,4447064.085,4094967.46,32631724.34,8598881.859,20209821.66,13673016.49,30256999.07,16358026.02,40572283.18,19609100.67,74200886.08,7097490.895,14459320.51,52783607.22,13757563.83,70594012.58,22092248.15,21072070.58,22160877.32,34242269.19,15157075.21,21545528.75,11603353.45,28928332.27,14798339.95,4443028.956,2242490.457,2180992.008,457982.5342,20356059.58,31708605.6,27483169.31,41503385.82,27264792.14,54886206.1,4738919.886,3608144.772,9779444.898,2326515.247,2315270.978,2474834.325,1346900.672,19766010.69,25216866.84,24381257.36,8585954.673,9120849.44,12880628.09,14520097.63,6574431.023,91389793.91,2622927.47,1506204.923,3310309.883,4857366.368
166.97447,5.443,3-Phosphoglycerate,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",7880646.754,5159770.806,4140784.344,3949605.106,4322221.428,4498219.955,5046831.161,4283376.614,3123556.309,5224262.418,3834582.801,3710450.762,9308115.039,45236.47688,10205372.51,3339118.271,4048692.022,3145754.013,2322268.728,1633388.099,1591607.127,2951765.118,4256031.684,2184956.257,26314.45955,1948367.416,16603.07715,807313.978,1304480.215,1251702.543,2608924.502,16593.19311,1407563.206,152722.1586,3389677.853,172188.4123,16763.21015,441384346.7,16627.28061,16585.64044,16812.47949,499263.6646,16533.38604,16996.69672,99179.67761,17072.63862,16832.60193,340532.1689,290519.3411,16199.17061,16921.53131,16311.4184,16160.22794,16092.89861,317390.0283,16324.86183,253632.3262,16415.10293,15705.02079,16351.87389,16416.29793,16356.59847,16377.65562,16456.98445,27384.79927,86823.36284,29100.7839,27601.87678,3191431.731,18206632.62,16611.855,16908.2306,17496.32385,16942.7173,16978.61433,16576.22065,19141.08178
