m/z,RT [min],Name,Tags,Foston_Ex_1-2 (F6),Foston_Ex_1-9 (F7),Foston_Ex_1-10 (F8),Foston_Ex_1-11 (F9),Foston_Ex_1-12 (F10),Foston_Ex_1-13 (F11),Foston_Ex_1-14 (F12),Foston_Ex_1-21 (F13),Foston_Ex_1-22 (F14),Foston_Ex_1-23 (F15),Foston_Ex_1-24 (F16),Foston_Ex_1-25 (F17),Foston_Ex_1-26 (F18),Foston_Ex_1-33 (F19),Foston_Ex_1-34 (F20),Foston_Ex_1-35 (F21),Foston_Ex_1-36 (F22),Foston_Ex_1-37 (F23),Foston_Ex_1-38 (F24),Foston_Ex_1-45 (F25),Foston_Ex_1-46 (F26),Foston_Ex_1-47 (F27),Foston_Ex_1-48 (F28),Foston_Ex_1-49 (F29),Foston_Ex_1-50 (F30),Foston_Ex_4-1 (F31),Foston_Ex_4-2 (F32),Foston_Ex_4-3 (F33),Foston_Ex_4-4 (F34),Foston_Ex_4-5 (F35),Foston_Ex_4-6 (F36),Foston_Ex_4-7 (F37),Foston_Ex_4-8 (F38),Foston_Ex_4-9 (F39),Foston_Ex_4-10 (F40),Foston_Ex_4-11 (F41),Foston_Ex_4-12 (F42),Foston_Ex_4-16 (F43),Foston_Ex_4-17 (F44),Foston_Ex_4-18 (F45),Foston_Ex_4-19 (F46),Foston_Ex_4-20 (F47),Foston_Ex_4-21 (F48),Foston_Ex_4-22 (F49),Foston_Ex_4-23 (F50),Foston_Ex_4-24 (F51),Foston_Ex_4-25 (F52),Foston_Ex_4-26 (F53),Foston_Ex_4-27 (F54),Foston_Ex_4-28 (F55),Foston_Ex_4-32 (F56),Foston_Ex_4-33 (F57),Foston_Ex_4-34 (F58),Foston_Ex_4-35 (F59),Foston_Ex_4-36 (F60),Foston_Ex_4-37 (F61),Foston_Ex_4-38 (F62),Foston_Ex_4-39 (F63),Foston_Ex_4-40 (F64),Foston_Ex_4-41 (F65),Foston_Ex_4-42 (F66),Foston_Ex_4-43 (F67),Foston_Ex_4-44 (F68),Foston_Ex_4-48 (F69),Foston_Ex_4-49 (F70),Foston_Ex_4-50 (F71),Foston_Ex_4-51 (F72),Foston_Ex_4-52 (F73),Foston_Ex_4-53 (F74),Foston_Ex_4-54 (F75),Foston_Ex_4-55 (F76),Foston_Ex_4-56 (F77),Foston_Ex_4-57 (F78),Foston_Ex_4-58 (F79),Foston_Ex_4-59 (F80),Foston_Ex_4-60 (F81),Foston_Ex_4-64 (F82)
113.03449,3.109,Uracil,Confirmed ID (HIgh Confidence),24301.7878,27544.39127,27719.69384,28568.38648,25825.51002,27127.05909,26265.84164,23061.79863,26804.09339,22727.29737,23018.04558,23956.30602,22909.15303,31707.51815,38722.76762,31875.19439,22965.54356,31454.57109,26060.18064,34100.77208,32548.70747,32345.5018,36531.69423,40314.50717,35593.90104,23220.47052,87737.62849,22093.08839,1300548.405,23217.43048,1090056.73,4020740.377,3872494.501,24285.15713,1520162.968,2381096.206,1370553.056,157448.3912,23212.26253,23506.22446,1668721.346,23297.34116,22158.17071,24011.42996,368553.7904,104102.3852,991685.5588,23424.30987,22885.87539,22789.13477,22498.99316,1188227.829,21952.31258,582247.6199,22095.41612,22828.52272,182553.9905,1902337.96,918552.0409,1129248.193,23659.12726,21906.61189,20949.70206,21750.83409,43918.68194,749914.9316,42299.65601,39332.30041,37647.01015,35963.5202,26299.89012,23757.63319,79872.54262,23541.28317,22358.29305,22917.143,25707.81745
148.06024,5.053,O-Acetyl-DL-serine,Confirmed ID (HIgh Confidence),82578.31694,34037514.87,27341871.9,48123228.78,9047608.891,19434218.94,23104105.44,10043430.26,10238289.69,5543192.883,3547807.46,2855015.834,1988431.742,30872946.09,45357905.95,39013780.35,3125665.903,87120065.46,73298726.79,20357288.36,7167504.977,18081070.36,20380565.15,25014987.74,14230070.89,3551039.996,9893298.97,4996318.732,15044883.04,6702867.975,18689007.63,10563967.84,27110056.68,9014230.19,7021349.188,25060863.37,6823872.35,63354826.5,10266188.81,8950513.001,7099497.108,17540764.69,7438850.708,16442656.59,9529146.981,11984042.62,6968282.824,1806897.464,1925207.837,2180992.008,370935.756,14426553.7,47415564.02,10556667.58,58761287.06,13159387.37,31033728.58,3144345.308,2792487.287,15978615.61,2045716.536,2970423.397,2039629.69,1051268.35,13072108.92,12046977.42,6617616.741,12145361.86,9120849.44,19831001.88,11413258.17,5268307.819,45010332.4,4042393.333,1120618.212,2237182.321,4857366.368
162.07599,4.449,N-Methyl-L-Glutamic acid,Confirmed ID (HIgh Confidence),13866.73247,6579116.034,4134732.715,5576386.621,3560187.37,2262608.799,1554690.616,4705198.26,7010481.836,4179360.168,14081.41009,13572.38613,13547.23601,25929848.97,19577836.36,23896625.28,13784.74043,2803251.05,1403300.882,31847816.41,34319462.24,51638379.63,1672226.826,2497327.394,1606481.492,13576.71851,40776290.81,13504.90713,61099780.32,13900.22802,22906388.6,208097.4523,415861.3794,13540.56178,13856.96146,2913359.594,13793.41466,29967052.61,13978.10711,14086.90821,14070.32138,70782673.88,32217624.58,55953355.3,14197.01424,228077.7192,7240221.962,1761012.783,2605547.639,496970.254,148909444.2,13370.5122,756262.2488,13541.02504,569319.096,13744.50007,378458.9936,7418224.159,14487.74991,1165480.908,2733144.789,3061543.884,3924709.121,13510.10684,2654522.15,14121.49752,267249.7376,15876029.36,14512399.66,22677990.49,17266805.67,1245074.575,16613406.37,1914675.458,71932.63473,2039234.827,14346.14346
124.03935,3.352,Nicotinic acid/Niacin,Confirmed ID (HIgh Confidence),1735242.48,15816882.81,15336715.84,14773374.08,8056831.837,7311865.971,2803395.865,160084352.6,145329820,142333762.7,345851.1909,544812.9119,185810.8225,150599301.2,143818627.9,147859423.5,677113.2299,8312229.91,4093593.419,95030966.85,88077760.04,100970848,12002719.24,14234526.95,11326330.23,563438.1032,5460345.835,744525.9337,11584073.07,1691002.623,10482286,51981456.81,46753447.16,9690832.396,44890045.8,46465412.62,39686307.19,6423700.78,1290905.784,1369859.415,1526367.037,12761041.44,6161333.044,10879792.59,39355621.51,39024216.2,43061749.5,38906078.52,37675226.54,42100720.86,18616.18421,319726.2809,35867322.65,18153.60694,38611839.25,17225.45304,34798143.97,56057895.63,43024706.06,36038978.16,30051872.76,28818016.99,32882993.36,17954.52809,60900959.3,40937807.38,56144597.74,29842268.34,30652379.65,24231526.14,41965351.37,19542547.69,40835824.89,37998206.28,7072151.841,33486531.56,2573226.201
190.07092,4.881,N-Acetyl-DL-glutamic acid,Confirmed ID (HIgh Confidence),9956.025681,1378433.105,1255824.082,1733191.26,1302939.621,905005.2145,903904.849,5261539.764,2846701.588,6552880.017,117017.149,11885.94049,10231.55704,3223206.865,5120882.046,2514177.691,16363.38321,1967432.824,18345.40265,1959281.755,1473530.664,2246270.457,17144.84842,17970.47746,16902.58872,10679.7637,16739.8757,10577.39119,484174.3211,11047.6264,817839.6899,3315111.01,880867.2328,125430.0444,2004938.018,1258452.986,2421924.023,6725108.917,14501.31719,14553.42466,13550.36805,2071794.825,173861.635,1158687.686,1420654.418,2135446.914,1997095.7,3888638.028,3108832.677,3594475.646,10477.31048,11543.26301,1287663.789,12066.5245,1748602.358,11102.78245,2390213.229,7028707.282,4850196.29,3335999.264,1833819.199,1674169.569,2285460.782,10340.06267,267052.3661,15028.54232,236111.836,2106245.098,1568993.38,1559028.718,2215300.623,1539110.276,1088859.253,1784562.643,1005711.84,5262550.464,10274.62889
189.12328,4.938,N6-Acetyl-L-lysine,Confirmed ID (HIgh Confidence),11632.99825,11345356.67,8305669.276,8953359.709,2789485.109,2055912.877,2295415.266,5710825.63,5931338.559,5525828.824,702508.4325,1089941.302,521769.4295,3100787.084,3445414.657,3236594.803,1089746.043,1594678.354,1034888.924,2500767.43,3192666.768,3304915.109,2167006.848,1171122.697,1814177.687,10292163.85,32179899.81,54447313.63,90824765.12,7632428.913,72854323.96,70862342.75,70650573.95,652262.5658,2981024.254,98853958.61,5358091.113,31785139.69,42264144.92,24190707.16,19271205.52,23807634.71,4883452.074,22978477.8,26261440.92,24633549.31,71824993.84,3916752.235,4157347.636,1603877.378,12529.16643,7725323.088,57790015.15,6004974.339,33774510.65,2108837.898,18517658.01,30454274.61,23576108.35,49655870.14,2588525.047,2875532.282,2135071.421,11817.86162,37538195.17,21871389.34,25699372.89,14292624.64,8598647.444,13744707,72688942.62,47682352.17,71073167.56,1976345.549,227665.5583,2332248.175,11239.26021
169.04934,0.93,Methyl Vanillic acid,Confirmed ID (HIgh Confidence),3090242.604,6670890.845,7034970.289,5517341.513,6890140.103,4059506.05,8744012.03,15154726.23,9389875.221,20124948.46,8355000.729,9582777.058,4909757.181,43971634.87,91790509.27,60474284.86,7910605.701,83120544.73,14175332.17,34444047.5,37522958.65,18226601.1,85259451.43,250623708.5,137544950.1,19088.67953,17609.1298,15587.50389,16086.12392,16159.51446,15971.75536,15606.56466,15763.5776,14921.41154,160291.9433,18388.79432,17291.75271,18537.99437,16065.17816,19382.18588,16372.98514,820140.9023,188167.7106,375627.7187,147807.2774,17365.77475,19207.53171,16135.1535,17015.25836,15653.22542,4893126.548,160953.0178,438495.6522,16633.3955,802707.9898,18687.39942,1034616.065,170256.3533,198847.0131,15794.29961,16737.58385,16879.44909,158760.3197,32330198.79,280270805.5,721908.4715,420557572.3,131215113.2,104935345.3,97282104.4,1528547.65,2845046.099,493054.2965,1891461.167,691846.7361,1378648.989,4575640.95
148.0602,5.121,DL-Glutamic acid,Confirmed ID (HIgh Confidence),577345.1885,82182806.88,70595122.31,85780851.39,44170010.48,49389194.19,49357407.54,16595555.47,17556492.98,6099018.505,4303261.888,5125618.14,1706668.678,75569897.34,75863133.29,51273175.74,5382854.019,114462745.4,72382487.19,59633064.43,28519939.67,61467679.74,34113112.61,47239408.77,32631724.34,8598881.859,20209821.66,13673016.49,30256999.07,16358026.02,40572283.18,19609100.67,74200886.08,7097490.895,14459320.51,52783607.22,13757563.83,70594012.58,22092248.15,21072070.58,22160877.32,34242269.19,15157075.21,21545528.75,11603353.45,28928332.27,14798339.95,4443028.956,2242490.457,2180992.008,457982.5342,20356059.58,31708605.6,27483169.31,41503385.82,27264792.14,54886206.1,4738919.886,3608144.772,9779444.898,2326515.247,2315270.978,2474834.325,1346900.672,19766010.69,25216866.84,24381257.36,8585954.673,9120849.44,12880628.09,14520097.63,6574431.023,91389793.91,2622927.47,1506204.923,3310309.883,4857366.368
137.04567,3.19,Hypoxanthine,Confirmed ID (HIgh Confidence),19086.31864,6106865.36,7373370.346,7748432.014,19871.29653,19855.53154,20331.02045,5257942.922,1159579.114,1784804.634,16051.95298,16392.69265,16233.29322,39187260.19,36068667.76,40895126.55,15780.91595,1439795.768,8516836.465,1575958.243,2817208.724,1558244.687,28321.83685,30213.49303,26314.45955,1948367.416,16603.07715,807313.978,1304480.215,1251702.543,2608924.502,16593.19311,1407563.206,152722.1586,3389677.853,172188.4123,16763.21015,441384346.7,16627.28061,16585.64044,16812.47949,499263.6646,16533.38604,16996.69672,99179.67761,17072.63862,16832.60193,340532.1689,290519.3411,16199.17061,16921.53131,16311.4184,16160.22794,16092.89861,317390.0283,16324.86183,253632.3262,16415.10293,15705.02079,16351.87389,16416.29793,16356.59847,16377.65562,16456.98445,27384.79927,86823.36284,29100.7839,27601.87678,3191431.731,18206632.62,16611.855,16908.2306,17496.32385,16942.7173,16978.61433,16576.22065,19141.08178
303.08597,0.973,Hesperetin,Confirmed ID (HIgh Confidence),1118353.707,25094.4394,353730.4942,25194.93727,28654.45138,185983.4605,27127.48455,29737.2274,31920.91702,32750.98181,30615.53809,29748.52793,30095.36694,3351952.949,2787763.303,2343942.626,36295.75001,34690.74705,32885.22193,481956.7284,441355.3482,315905.6633,169987.1536,38763.32851,55625.73566,34061.71143,35789.14559,38571.65021,42331.15611,45515.44206,43966.14556,42253.48872,30684.63869,25335.29014,38137.07327,38873.60143,27987.10366,29049.23625,42835.84513,34667.41201,40403.17286,47720.14036,33206.00662,33631.60076,34055.20557,38753.6394,35738.01101,30553.22554,33382.58474,25307.73659,25243.36376,34337.11496,29408.29013,39349.21518,38187.25915,42672.52974,41715.40711,44871.07495,41479.03822,37136.20752,25088.12934,25545.62236,25173.79783,26408.34851,40033.28668,32884.32594,38516.43724,208762.2564,39348.78462,38246.92402,32547.58141,33377.14134,53375.53971,26731.28075,29412.19606,29462.0722,182470.4115
