m/z,RT [min],Name,model_metabolite,mass_difference,Tags,Formula,Foston_In_1-B_Met_LC_HILIC_Neg (F33),Foston_In_1-C_Met_LC_HILIC_Neg (F34),Foston_In_1-D_Met_LC_HILIC_Neg (F35),Foston_In_1-E_Met_LC_HILIC_Neg (F36),Foston_In_1-F_Met_LC_HILIC_Neg (F37),Foston_In_1-G_Met_LC_HILIC_Neg (F38),Foston_In_1-H_Met_LC_HILIC_Neg (F39),Foston_In_1-I_Met_LC_HILIC_Neg (F40),Foston_In_1-J_Met_LC_HILIC_Neg (F41),Foston_In_1-K_Met_LC_HILIC_Neg (F42),Foston_In_1-L_Met_LC_HILIC_Neg (F43),Foston_In_4-A_Met_LC_HILIC_Neg (F44),Foston_In_4-B_Met_LC_HILIC_Neg (F45),Foston_In_4-C_Met_LC_HILIC_Neg (F46),Foston_In_4-D_Met_LC_HILIC_Neg (F47),Foston_In_4-E_Met_LC_HILIC_Neg (F48),Foston_In_4-F_Met_LC_HILIC_Neg (F49),Foston_In_4-G_Met_LC_HILIC_Neg (F50),Foston_In_4-H_Met_LC_HILIC_Neg (F51),Foston_In_4-I_Met_LC_HILIC_Neg (F52),Foston_In_4-J_Met_LC_HILIC_Neg (F53),Foston_In_4-K_Met_LC_HILIC_Neg (F54),Foston_In_4-L_Met_LC_HILIC_Neg (F55)
187.13353,1.087,10-Hydroxydecanoic acid,N-Acetyl-L-glutamate,0.08436000000000377,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C10 H20 O3,508794.64,436387.4948,449310.2578,411861.7343,1068356.31,3840676.995,3612321.606,4264951.791,6891660.552,5980368.006,7784952.166,4122004.298,211228.7468,5012525.087,4059685.8680000002,6853714.823,2132461.292,3735873.328,6413751.367000001,3740117.5719999997,6384283.875,5191409.922,5370749.47
215.16504,0.953,12-Hydroxydodecanoic acid,Sn-Glycero-3-phosphoethanolamine,0.10916999999997756,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C12 H24 O3,201370.2297,180490.7439,183831.8538,201184.06100000002,231635.5202,1110871.9109999998,748724.3538,670359.1771,1142168.4270000001,1018493.358,976304.7186,866007.2455,44445.44859,905645.3011,823430.1009999999,1231440.295,948788.3298,1240461.108,1271937.021,671157.5641,1406540.741,915491.5299,996569.6542
330.05996,5.074,2'-Deoxyadenosine 5'-monophosphate (dAMP),DIMP C10H12N4O7P,0.02233000000001084,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C10 H14 N5 O6 P,1182051.13,1530871.583,369829.3648,403622.6905,615469.0847,2567630.131,2288582.1180000002,2791946.8660000004,662756.1020000001,971692.6253,971774.0941,449306.1254,10950.50764,682996.253,410865.4854,505853.41299999994,411753.6964,335705.7261,147130.3647,180181.0956,1011630.319,1245088.1709999999,1106591.321
410.02632,5.454,2'-Deoxyadenosine-5'-diphosphate (dADP),2-hexadecanoyl-sn-glycerol 3-phosphate,0.2170199999999909,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C10 H15 N5 O9 P2,1789072.179,1900596.483,250188.5909,548780.0237,736670.452,4182091.729,2924910.913,3931789.6610000003,1361305.644,2018186.994,1626720.687,535293.4997,23769.197819999998,461172.2032,325704.5297,426322.7434,147528.2011,94074.05987000001,113932.1312,79143.79086000001,667039.5427,886386.2382,1634097.256
226.08322,3.946,2'-Deoxycytidine,Porphobilinogen,0.012859999999989213,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C9 H13 N3 O4,5243621.286,4845953.771000001,2228662.141,1916973.6269999999,1903438.14,3573098.175,3070000.796,3234650.482,187745.6232,389245.62799999997,212592.1519,2202075.1569999997,14612.415469999998,1632281.685,2589969.136,3127652.4680000003,2687628.67,5160089.846,3891239.235,4070520.33,2853876.965,2288997.444,2876865.265
386.01502,5.577999999999999,2'-Deoxycytidine 5'-diphosphate (dCDP),Chsterol c,0.33985000000001264,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C9 H15 N3 O10 P2,472114.1751,658166.5444,736198.5511,330647.0188,534212.2056,3537928.775,3218615.139,4982846.838,2085164.92,3598680.925,3908141.61,59259.21615,12012.658440000001,177949.5294,193514.1248,107010.8142,14752.89891,14985.675580000001,30542.51596,107680.4841,141812.3204,102129.2144,673795.7989
306.04918,5.285,2'-Deoxycytidine 5'-monophosphate (dCMP),DUMP C9H11N2O8P,0.022779999999954725,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C9 H14 N3 O7 P,1261206.071,1345026.063,498350.9105,504403.0395,754689.9043,4476062.002,3037073.231,3770150.236,1454817.5259999998,2114528.529,2474033.205,671980.2066,9335.003265000001,890059.6429999999,783110.7983,896190.8458,1029552.493,1202821.564,665610.1987,584807.814,3239716.394,2908845.798,2536258.983
159.02924,5.334,2-Oxoadipic acid,3-Oxoadipate,0.0013800000000117052,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C6 H8 O5,611283.845,689254.6725,1116999.7,948132.6897,1196115.087,1282715.8329999999,699898.2982,7684833.005,922224.8783,4097283.8060000003,1218901.201,142091.2781,24871.70032,133589.1528,239236.9123,416307.6027,457043.8283,246785.6119,257221.1446,267878.9077,4100957.5689999997,5422936.674,4460584.063
101.02399,4.662,2-Oxobutanoic acid,2-Oxobutanoate,0.0004299999999943793,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C4 H6 O3,7551297.471,8659549.034,8058023.681,7163996.491,8250558.538,6711672.496,6966946.881,5901684.432,15031352.73,6320481.05,9921538.935,9963883.848,3015905.224,9102700.733,6804813.2360000005,8299064.092,7465701.476,6165258.897000001,5792198.4,5430560.747,4046706.791,4447064.085,4094967.46
166.97447,5.443,3-Phosphoglycerate,"2,3-Dihydrodipicolinate",0.04848000000001207,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",C3 H7 O7 P,5159770.806,4140784.3439999996,3949605.106,4322221.428,4498219.955,5046831.161,4283376.614,3123556.309,5224262.4180000005,3834582.8010000004,3710450.762,9308115.038999999,45236.47688,10205372.51,3339118.271,4048692.022,3145754.0130000003,2322268.728,1633388.0990000002,1591607.1269999999,2951765.1180000002,4256031.683999999,2184956.2569999998
