m/z,RT [min],Name,model_metabolite,mass_difference,Tags,Foston_In_1-A_Met_LC_HILIC_Pos (F4),Foston_In_1-B_Met_LC_HILIC_Pos (F5),Foston_In_1-C_Met_LC_HILIC_Pos (F6),Foston_In_1-D_Met_LC_HILIC_Pos (F7),Foston_In_1-E_Met_LC_HILIC_Pos (F8),Foston_In_1-F_Met_LC_HILIC_Pos (F9),Foston_In_1-G_Met_LC_HILIC_Pos (F10),Foston_In_1-H_Met_LC_HILIC_Pos (F11),Foston_In_1-I_Met_LC_HILIC_Pos (F12),Foston_In_1-J_Met_LC_HILIC_Pos (F13),Foston_In_1-K_Met_LC_HILIC_Pos (F14),Foston_In_1-L_Met_LC_HILIC_Pos (F15),Foston_In_4-A_Met_LC_HILIC_Pos (F16),Foston_In_4-B_Met_LC_HILIC_Pos (F17),Foston_In_4-C_Met_LC_HILIC_Pos (F18),Foston_In_4-D_Met_LC_HILIC_Pos (F19),Foston_In_4-E_Met_LC_HILIC_Pos (F20),Foston_In_4-F_Met_LC_HILIC_Pos (F21),Foston_In_4-G_Met_LC_HILIC_Pos (F22),Foston_In_4-H_Met_LC_HILIC_Pos (F23),Foston_In_4-I_Met_LC_HILIC_Pos (F24),Foston_In_4-J_Met_LC_HILIC_Pos (F25),Foston_In_4-K_Met_LC_HILIC_Pos (F26),Foston_In_4-L_Met_LC_HILIC_Pos (F27)
102.05471,5.01,1-Aminocyclopropane-1-carboxylic acid,Pentanoate,0.014089999999995939,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",87979637.13,84887276.92,87682857.05,80512255.72,73629461.92,79905217.33,76377549.94,74126371.57,82741995.04,66546509.3,61976342.52,58277931.98,80715313.89,581174.3673,78148459.15,76620556.88,81915298.74,81150131.88,76478407.81,67237473.76,57977462.18,56825863.7,67473577.11,59698719.28
150.07725,3.07,1-Methyladenine,D-Methionine,0.0181999999999789,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",641612.6102,502343.6389,505590.5232,632482.1195,956085.9029,426659.32200000004,8580428.236,6844795.7979999995,7177386.497,10108815.97,8621240.53,8542416.641,7025608.86,30293.038969999998,4152413.047,9243055.428,8288173.426,8352530.544,4783643.994,4330092.703,3890676.543,3866625.7260000003,4901932.027,4933418.664
162.07592,6.12,2-Aminoadipic acid,O Acetyl L homoserine C6H11NO4,0.0008900000000267028,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",301278.5744,427024.3756,495663.0638,2952750.479,2870225.608,1637509.118,2227525.026,2529151.044,2878680.5130000003,1335080.076,1269085.272,1036564.5809999999,353577.2882,92729.37042,273275.4376,1281408.095,1016440.8979999999,494890.0625,2252692.443,1929094.7780000002,1360459.146,2566982.8340000003,1864217.029,2119485.484
136.0617,4.39,2-Aminopurine,Adenine,0.0007999999999981355,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",15226377.32,14812081.72,14641487.8,13585046.87,17993498.87,17195171.35,44762719.88,38281116.14,26275753.22,32181258.0,18434242.0,23637538.52,17356368.29,17683701.05,14333498.63,10439565.68,11187737.88,14283324.26,14190799.15,11025706.14,20321626.72,15547474.96,13202437.4,13148028.47
332.07482000000005,5.07,2'-Deoxyadenosine 5'-monophosphate (dAMP),Nicotinate D-ribonucleotide,0.9512399999999843,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",2110626.6380000003,2300120.522,1547670.2759999998,458237.3706,523310.1923,500926.7996,3471499.852,2327751.5,4233064.7639999995,618545.834,1280099.033,1350402.9419999998,534762.7528,15176.656330000002,433150.0486,320058.0886,532530.9961,420545.2886,339979.9808,195744.5642,196291.5654,1868496.563,1228823.037,1728969.5259999998
412.0415,5.43,2'-Deoxyadenosine-5'-diphosphate (dADP),2-hexadecanoyl-sn-glycerol 3-phosphate,0.7901600000000144,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",2037204.119,1918529.4880000001,1875997.791,678894.4332,526345.9578,838976.5077,4023089.4460000005,3562175.405,4869645.377,1114497.44,2098387.779,2022851.815,877928.6407,19946.49411,624992.5887,432021.2398,521457.8211,482257.6201,203104.9007,191764.8694,165195.6799,1643519.908,1745699.945,2049449.584
388.03053,5.56,2'-Deoxycytidine 5'-diphosphate (dCDP),Chsterol c,0.6676600000000121,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",871626.8171,738562.7078,867752.6313,688917.4565,385867.7854,583064.7331,3492077.78,2836527.459,4487665.373,1945657.179,3429441.1010000003,4131797.796,125883.7766,14807.54094,353477.8595,304189.23699999996,379965.4246,18722.89431,18517.20681,110531.6656,23043.16793,220367.1964,262907.7873,1628687.084
308.06389,5.27,2'-Deoxycytidine 5'-Monophosphate,N-Acetylneuraminate,0.034809999999993124,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",984919.5989,930158.1447,935122.6309999999,437806.8685,331129.6174,505510.9674,2779948.312,1824099.167,2481583.7090000003,742587.2946,1885208.0380000002,1848455.415,639744.9799,10164.24819,734217.1547,671909.0611,705308.6159999999,902303.2887,933389.6905,633262.9379,589187.3004,2766583.285,2415270.105,2156087.69
166.08608999999998,3.96,2-Hydroxycinnamaldehyde,L-Phenylalanine,0.0008900000000267028,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",54800020.32,43148933.85,42755712.5,22594464.33,15279550.89,20070342.1,52071583.02,45935826.48,63700123.33,32367180.69,38257435.5,50117267.05,8061211.084,146983.0499,9093760.96,65573217.65,66438579.74,78434369.94,22964866.61,22330034.29,25313207.75,81994431.38,87296608.13,66176870.39
146.08098,4.52,4-Acetamidobutanoic acid,6-Amino-2-oxohexanoate,0.0009099999999762076,"Confirmed ID (HIgh Confidence); Match Mass, MS/MS, and RT",2334614.83,2271503.904,2083928.2230000002,2083167.564,2779318.5719999997,1731828.785,327078.4988,251081.5219,350756.7071,268678.4241,184186.9199,315281.1393,158477.7149,129234.2513,69481.28818999999,277656.6696,170015.3205,110335.1462,98314.79902,228153.129,238752.3599,261128.7685,326072.9472,344729.8964
