formula_molecular_weight,name,formula,metabolite_id,metanetx_id,kegg_id
0.0,Plastoquinol,,pqh2_p,,
0.0,Ferrocytochrome c6,,focytc6_p,,
0.0,Ferricytochrome c6,,ficytc6_p,,
0.0,Plastoquinone,,pq_p,,
1.00794,H+,H,h_c,MNXM1,C00080
1.00794,H+,H,h_e,MNXM1,C00080
1.00794,H+,H,h_p,MNXM1,C00080
2.01588,Hydrogen,H2,h2_c,MNXM195,C00282
15.01464,N  2 methyl 3 5 dinitrophenyl  4 methyl 3 5 dinitroaniline,HN,2m35mdntha_c,,
15.01464,N N bis 3 5 dinitrotolyl  amine,HN,35dnta_c,,
15.01464,N N bis 3 5 dinitrotolyl  amine,HN,35dnta_e,,
15.01464,N  2 methyl 3 5 dinitrophenyl  4 methyl 3 5 dinitroaniline,HN,2m35mdntha_e,,
17.00734, 3 Hydroxy 4 acetylthiobutanoic acid,HO,R_3h4atba_c,,
17.03052,Ammonia,H3N,nh3_c,MNXM15,"['C00014', 'C01342']"
18.01528,H2O H2O,H2O,h2o_c,MNXM2,"['C00001', 'C01328']"
18.01528,H2O H2O,H2O,h2o_e,MNXM2,"['C00001', 'C01328']"
18.01528,H2O H2O,H2O,h2o_p,MNXM2,"['C00001', 'C01328']"
18.03846,Ammonium,H4N,nh4_p,MNXM15,"['C00014', 'C01342']"
18.03846,Ammonium,H4N,nh4_e,MNXM15,"['C00014', 'C01342']"
18.03846,Ammonium,H4N,nh4_c,MNXM15,"['C00014', 'C01342']"
22.98977,Sodium,Na,na1_p,MNXM27,C01330
22.98977,Sodium,Na,na1_e,MNXM27,C01330
22.98977,Sodium,Na,na1_c,MNXM27,C01330
24.305,Magnesium,Mg,mg2_c,MNXM653,C00305
24.305,Magnesium,Mg,mg2_e,MNXM653,C00305
24.305,Magnesium,Mg,mg2_p,MNXM653,C00305
27.02534,Hydrogen cyanide,CHN,cyan_p,MNXM254,"['C00177', 'C01326']"
27.02534,Hydrogen cyanide,CHN,cyan_e,MNXM254,"['C00177', 'C01326']"
27.02534,Hydrogen cyanide,CHN,cyan_c,MNXM254,"['C00177', 'C01326']"
28.0101,Carbon monoxide,CO,co_c,MNXM10881,C00237
28.0101,Carbon monoxide,CO,co_p,MNXM10881,C00237
28.0101,Carbon monoxide,CO,co_e,MNXM10881,C00237
30.0061,Nitric oxide,NO,no_e,MNXM228,C00533
30.0061,Nitric oxide,NO,no_c,MNXM228,C00533
30.025979999999997,Formaldehyde,CH2O,fald_c,MNXM56,C00067
30.025979999999997,Formaldehyde,CH2O,fald_p,MNXM56,C00067
31.01404,4 Hydroxylamino 2 6 dinitrotoluene,HNO,4hadnt_c,,
31.01404,2 Hydroxylamino 4 6 dinitrotoluene,HNO,2hadnt_c,,
31.9988,Chromate,O2,cro4_c,MNXM46638,
31.9988,O2 O2,O2,o2_p,MNXM4,C00007
31.9988,O2 O2,O2,o2_c,MNXM4,C00007
31.9988,O2 O2,O2,o2_e,MNXM4,C00007
31.9988,Chromate,O2,cro4_p,MNXM46638,
31.9988,Superoxide anion,O2,o2s_c,MNXM330,C00704
32.04186,Methanol,CH4O,meoh_c,MNXM157,C00132
32.04186,Methanol,CH4O,meoh_p,MNXM157,C00132
32.04186,Methanol,CH4O,meoh_e,MNXM157,C00132
32.065,Sulfur,S,s_e,MNXM89,C00087
32.065,Sulfur,S,s_c,MNXM89,C00087
34.01468,Hydrogen peroxide,H2O2,h2o2_c,MNXM22,C00027
34.01468,Hydrogen peroxide,H2O2,h2o2_p,MNXM22,C00027
34.08088,Hydrogen sulfide,H2S,h2s_e,MNXM89582,C00283
34.08088,Hydrogen sulfide,H2S,h2s_c,MNXM89582,C00283
35.0458,Ammonium hydroxide,H5NO,nh4oh_c,MNXM146119,C01358
35.453,Chloride,Cl,cl_c,MNXM43,"['C00698', 'C01327']"
35.453,Chloride,Cl,cl_e,MNXM43,"['C00698', 'C01327']"
39.0983,Potassium,K,k_c,MNXM95,C00238
39.0983,Potassium,K,k_p,MNXM95,C00238
39.0983,Potassium,K,k_e,MNXM95,C00238
40.078,Calcium,Ca,ca2_p,MNXM128,C00076
40.078,Calcium,Ca,ca2_e,MNXM128,C00076
40.078,Calcium,Ca,ca2_c,MNXM128,C00076
43.04462, 3 Hydroxy 6acetylthiohexanoic acid,C2H3O,R_3h6atha_c,,
44.0095,CO2 CO2,CO2,co2_e,MNXM13,C00011
44.0095,CO2 CO2,CO2,co2_c,MNXM13,C00011
44.0095,CO2 CO2,CO2,co2_p,MNXM13,C00011
44.0128,Nitrous oxide,N2O,n2o_p,MNXM579,C00887
44.0128,Nitrous oxide,N2O,n2o_e,MNXM579,C00887
44.0128,Nitrous oxide,N2O,n2o_c,MNXM579,C00887
44.05256,Acetaldehyde,C2H4O,acald_c,MNXM75,C00084
44.05256,Acetaldehyde,C2H4O,acald_e,MNXM75,C00084
45.01744,Formate,CHO2,for_c,MNXM39,C00058
45.040620000000004,Formamide,CH3NO,frmd_c,MNXM1231,C00488
46.0055,2 4 6 Trinitrotoluene,NO2,tnt_c,,
46.0055,Nitrite,NO2,no2_c,MNXM107,C00088
46.0055,2 4 6 Trinitrotoluene,NO2,tnt_e,,
46.0055,2 4 6 Trinitrotoluene,NO2,tnt_p,,
46.0055,Nitrite,NO2,no2_e,MNXM107,C00088
46.06844,Ethanol,C2H6O,etoh_c,MNXM303,C00469
47.01344,2 4 6 Trinitrotoluene Meisenheimer monohydride complex,HNO2,tntmmh_c,,
48.02138,2 4 6 trinitrotoluene  Meisenheimer dihydride complex,H2NO2,tntmdh_c,,
54.938049,Manganese,Mn,mn2_p,MNXM2255,C19610
54.938049,Manganese,Mn,mn2_c,MNXM2255,C19610
54.938049,Manganese,Mn,mn2_e,MNXM2255,C19610
55.845,Fe2+ mitochondria,Fe,fe2_c,MNXM111,C14818
55.845,Fe2+ mitochondria,Fe,fe2_e,MNXM111,C14818
55.845,Fe2+ mitochondria,Fe,fe2_p,MNXM111,C14818
55.845,Iron (Fe3+),Fe,fe3_c,MNXM196,C14819
55.845,Iron (Fe3+),Fe,fe3_e,MNXM196,C14819
55.845,Iron (Fe3+),Fe,fe3_p,MNXM196,C14819
58.07914,Propanal,C3H6O,ppal_c,MNXM821,C00479
58.0824,Thiocyanate,CNS,tcynt_c,MNXM762,C01755
58.0824,Thiocyanate,CNS,tcynt_e,MNXM762,C01755
58.0824,Thiocyanate,CNS,tcynt_p,MNXM762,C01755
58.6934,Nickel,Ni,ni2_c,MNXM3673,C19609
58.6934,Nickel,Ni,ni2_e,MNXM3673,C19609
58.6934,Nickel,Ni,ni2_p,MNXM3673,C19609
58.9332,Co2+,Co,cobalt2_e,MNXM90960,C00175
58.9332,Co2+,Co,cobalt2_c,MNXM90960,C00175
58.9332,Co2+,Co,cobalt2_p,MNXM90960,C00175
59.04402,Acetate,C2H3O2,ac_c,MNXM26,C00033
59.04402,Acetate,C2H3O2,ac_e,MNXM26,C00033
59.04402,Acetate,C2H3O2,ac_p,MNXM26,C00033
59.0672,Acetamide,C2H5NO,ad_c,MNXM4428,C06244
59.0672,Acetamide,C2H5NO,ad_e,MNXM4428,C06244
60.03207999999999,Carbamate,CH2NO2,cbm_c,MNXM742,C01563
60.051959999999994,Glycolaldehyde,C2H4O2,gcald_c,MNXM349,C00266
60.05526,Urea CH4N2O,CH4N2O,urea_p,MNXM117,C00086
60.05526,Urea CH4N2O,CH4N2O,urea_c,MNXM117,C00086
60.075140000000005,Aminoacetaldehyde C2H5NO,C2H6NO,amacald_c,MNXM2212,C06735
60.075140000000005,Aminoacetaldehyde,C2H6NO,aacald_c,MNXM2212,C06735
61.016839999999995,Bicarbonate,CHO3,hco3_c,MNXM60,"['C00288', 'C01353']"
61.016839999999995,Bicarbonate,CHO3,hco3_e,MNXM60,"['C00288', 'C01353']"
61.016839999999995,Bicarbonate,CHO3,hco3_p,MNXM60,"['C00288', 'C01353']"
62.0049,Nitrate,NO3,no3_e,MNXM207,C00244
62.0049,Nitrate,NO3,no3_p,MNXM207,C00244
62.0049,Nitrate,NO3,no3_c,MNXM207,C00244
62.02477999999999,Carbonic acid,CH2O3,h2co3_c,MNXM96530,
62.09102,Ethanolamine,C2H8NO,etha_p,MNXM218,C00189
62.09102,Ethanolamine,C2H8NO,etha_c,MNXM218,C00189
62.09102,Ethanolamine,C2H8NO,etha_e,MNXM218,C00189
63.546,Copper,Cu,cu2_p,MNXM632,C00070
