name,genes,reaction_id,reaction
Acetaldehyde reversible transport,spontaneous,ACALDt,acald_e <=> acald_c
L-glutamate 5-semialdehyde dehydratase (spontaneous),spontaneous,G5SADs,glu5sa_c --> 1pyr5c_c + h2o_c + h_c
O2 transport via diffusion (periplasm),spontaneous,O2tpp,o2_p <=> o2_c
O2 transport  diffusion ,spontaneous,O2t,o2_e <=> o2_c
Ammonia reversible transport (periplasm),spontaneous,NH4tpp,nh4_p <=> nh4_c
Ammonia transport via diffusion (extracellular to periplasm),spontaneous,NH4tex,nh4_e <=> nh4_p
Ammomnium proton dissociation,spontaneous,NH3c,h_c + nh3_c <=> nh4_c
R_ATPM,spontaneous,ATPM,atp_c + h2o_c --> adp_c + h_c + pi_c
Methionine oxidation 2 (spontaneous),spontaneous,METOX2s,h2o2_c + met__L_c --> h2o_c + metsox_R__L_c
Methionine oxidation (spontaneous),spontaneous,METOX1s,h2o2_c + met__L_c --> h2o_c + metsox_S__L_c
H2St,spontaneous,H2St,h2s_e <=> h2s_c
H2O transport via diffusion (extracellular to periplasm),spontaneous,H2Otex,h2o_e <=> h2o_p
GTP amine hydrolysis (spontaneous),spontaneous,GTPHs,gtp_c + h2o_c + h_c --> nh4_c + xtp_c
2-Oxo-4-methyl-3-carboxypentanoate decarboxylation,spontaneous,OMCDC,3c4mop_c + h_c --> 4mop_c + co2_c
Formaldehyde glutathione ligase (spontaneous),spontaneous,FALGTHLs,fald_c + gthrd_c <=> hmgth_c
St,spontaneous,St,s_e <=> s_c
DATP amine hydrolysis (spontaneous),spontaneous,DATPHs,datp_c + h2o_c + h_c --> ditp_c + nh4_c
CO2 transporter via diffusion (periplasm),spontaneous,CO2tpp,co2_p <=> co2_c
CO2 transporter via diffusion,spontaneous,CO2t,co2_e <=> co2_c
Carbamate deaminase,spontaneous,CBMD,cbm_c + 2.0 h_c --> co2_c + nh4_c
Benzoate transport (diffusion),spontaneous,BZt,bz_e <=> bz_c
ATP amine hydrolysis (spontaneous),spontaneous,ATPHs,atp_c + h2o_c + h_c --> itp_c + nh4_c
Urea transport via facilitate diffusion,WP_187300246_1,UREAt,urea_e <=> urea_c
Glycerol transport via channel,WP_187300246_1,GLYCt,glyc_c <=> glyc_e
"S-Propane-1,2-diol facilitated transport",WP_187300246_1,12PPDt,12ppd__S_e <=> 12ppd__S_c
"(S)-Propane-1,2-diol facilitated transport (periplasm)",WP_187300246_1,12PPDStpp,12ppd__S_p <=> 12ppd__S_c
Glyceraldehyde facilitated diffusion,WP_187300246_1,GLYALDt,glyald_e <=> glyald_c
Anhydrous-N-Acetylmuramyl-tetrapeptide amidase,WP_187300219_1,AM4PA,anhm4p_c + h2o_c --> LalaDgluMdapDala_c + anhm_c
N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tripeptide amidase,WP_187300219_1,AGM3PA,anhgm3p_c + h2o_c --> LalaDgluMdap_c + anhgm_c
N-Acetyl-D-glucosamine(anhydrous)N-Acetylmuramyl-tetrapeptide amidase,WP_187300219_1,AGM4PA,anhgm4p_c + h2o_c --> LalaDgluMdapDala_c + anhgm_c
Anhydrous-N-Acetylmuramyl-tripeptide amidase,WP_187300219_1,AM3PA,anhm3p_c + h2o_c --> LalaDgluMdap_c + anhm_c
5-methylthioribose kinase,WP_187300212_1,MTRK,5mtr_c + atp_c --> 5mdr1p_c + adp_c + h_c
5-methylthioribose-1-phosphate isomerase,WP_187300212_1,MTRI,5mdr1p_c <=> 5mdru1p_c
