name,genes,reaction_id,reaction
NADH hydratase,spontaneous,NADHHR,h2o_c + nadh_c --> nadhx__R_c
Glycerol transport via channel (periplasm),spontaneous,GLYCtpp,glyc_c <=> glyc_p
Formaldehyde transport via diffusion (periplasm),spontaneous,FALDtpp,fald_p <=> fald_c
2 oxo 4 hydroxy 4 carboxy 5 ureidoimidazoline decarboxylase  alltn R producing ,spontaneous,OHCUDC2,5houdic_c + h_c --> alltn__R_c + co2_c
Carbamate deaminase,spontaneous,CBMD,cbm_c + 2.0 h_c --> co2_c + nh4_c
Nitrious oxide transport (diffusion),spontaneous,N2Otpp,n2o_p <=> n2o_c
H2O transport via diffusion,spontaneous,H2Ot,h2o_e <=> h2o_c
CO2 transporter via diffusion,spontaneous,CO2t,co2_e <=> co2_c
DATP amine hydrolysis (spontaneous),spontaneous,DATPHs,datp_c + h2o_c + h_c --> ditp_c + nh4_c
Co transport via diffusion (periplasm to cytosol),spontaneous,Cotpp,co_p <=> co_c
L-2-amino-3-oxobutanoate decarboxylation (spontaneous),spontaneous,AOBUTDs,2aobut_c + h_c --> aact_c + co2_c
O2 transport via diffusion (periplasm),spontaneous,O2tpp,o2_p <=> o2_c
CO2 transport via diffusion (extracellular to periplasm),spontaneous,CO2tex,co2_e <=> co2_p
Co transport via diffusion (extracellular to periplasm),spontaneous,COt_1,co_e <=> co_p
Carboxylic acid dissociation,spontaneous,H2CO3D2,h_c + hco3_c <=> h2co3_c
Oxygen transport via diffusion (extracellular to periplasm),spontaneous,O2tex,o2_e <=> o2_p
Methanol reversible transport via diffusion (periplasm),spontaneous,MEOHtrpp,meoh_p <=> meoh_c
Methanol transport via diffusion (extracellular to periplasm),spontaneous,MEOHtex,meoh_e <=> meoh_p
H2O transport via diffusion (extracellular to periplasm),spontaneous,H2Otex,h2o_e <=> h2o_p
H2s transport (diffusion),spontaneous,H2St1,h2s_c <=> h2s_e
NADPH hydratase,spontaneous,NADPHHR,h2o_c + nadph_c --> nadphx__R_c
1 Pyrroline 2 carboxylate cyclation,spontaneous,1P2CBXLCYCL,5a2opntn_c <=> 1p2cbxl_c + h2o_c + h_c
Sulfur diffusion,spontaneous,St,s_e <=> s_c
ATP amine hydrolysis (spontaneous),spontaneous,ATPHs,atp_c + h2o_c + h_c --> itp_c + nh4_c
Ammomnium proton dissociation,spontaneous,NH3c,h_c + nh3_c <=> nh4_c
Aminoacetaldehyde CO2 ligase  spontaneous reaction ,spontaneous,AALDCDLsi,2amsa_c + h_c --> aacald_c + co2_c
Ferric dicitrate chelation,spontaneous,FE3DCITCH,2.0 cit_c + fe3_c <=> fe3dcit_c
CO2 transporter via diffusion (periplasm),spontaneous,CO2tpp,co2_p <=> co2_c
GTP amine hydrolysis (spontaneous),spontaneous,GTPHs,gtp_c + h2o_c + h_c --> nh4_c + xtp_c
Ammonia transport via diffusion (extracellular to periplasm),spontaneous,NH4tex,nh4_e <=> nh4_p
Ferripyoverdine complex formation  P putida KT2440 specific ,spontaneous,FE3PYOVDL2,fe3_e + pyovd_kt_e <=> fe3pyovd_kt_e
Thiocyanate transport via diffusion  periplasm to periplasm ,spontaneous,TCYNTtpp,tcynt_p <=> tcynt_c
2 4 6 dinitrotoluene meisenheimer dihydrideTNT derived hydroxylamines condensation,spontaneous,TNTHAC2,2hadnt_c + tntmdh_c --> 2m35mdntha_c + h2o_c + no2_c
2 4 6 dinitrotoluene meisenheimer dihydrideTNT derived hydroxylamines condensation,spontaneous,TNTHAC1,4hadnt_c + tntmdh_c --> 35dnta_c + h2o_c + no2_c
Ammonia reversible transport (periplasm),spontaneous,NH4tpp,nh4_p <=> nh4_c
Benzoate transport (diffusion),spontaneous,BZt,bz_e <=> bz_c
Acetaldehyde reversible transport,spontaneous,ACALDt,acald_e <=> acald_c
Dihydrofolate synthase,WP_226955799_1,DHFS,atp_c + dhpt_c + glu__L_c --> adp_c + dhf_c + h_c + pi_c
(L-seryl)adenylate synthase,WP_226955793_1,SERASr,atp_c + h_c + ser__L_c <=> ppi_c + seramp_c
P-aminobenzoyl glutamate:H+ symporter,WP_226955753_1,4ABZGLUtr,4abzglu_p + h_p --> 4abzglu_c + h_c
L amino acid ligase  L glycine L glycine ,WP_226955751_1,LAAL1,atp_c + 2.0 gly_c --> adp_c + glygly_c + h_c + pi_c
Guanosine transport out via proton antiport (periplasm),WP_226955745_1,GSNt3pp,gsn_c + h_p --> gsn_p + h_c
Inosine transport out via proton antiport (perisplasm),WP_226955745_1,INSt3pp,h_p + ins_c --> h_c + ins_p
Glutathione synthetase,WP_226955738_1,GTHS,atp_c + glucys_c + gly_c --> adp_c + gthrd_c + h_c + pi_c
Hydrolysis of galactomannan,WP_226955710_1,GALMAN4,galman4_c + 3.0 h2o_c --> gal_c + 3.0 man_c
Mannase,WP_226955710_1,MANA1,h2o_c + manb_c --> 2.0 man_c
Hydrolysis of glucomannan,WP_226955710_1,GLCMAN4,glcman4_c + 3.0 h2o_c --> glc__D_c + 3.0 man_c
Mannase,WP_226955710_1,MANA2,h2o_c + mantr_c --> man_c + manb_c
Mannase,WP_226955710_1,MANA3,h2o_c + manttr_c --> man_c + mantr_c
Hydrolysis of glucomannan,WP_226955710_1,GLCMAN6,glcman6_c + 5.0 h2o_c --> 2.0 glc__D_c + 4.0 man_c
Hydrolysis of galactomannan,WP_226955710_1,GALMAN6,galman6_c + 5.0 h2o_c --> 2.0 gal_c + 4.0 man_c
Thymine transport out via proton antiport  periplasm ,WP_226955709_1,THYMt4pp,h_p + thym_p --> h_c + thym_c
