reaction_id,reaction,genes
12DGR140tipp,12dgr140_p --> 12dgr140_c,
13PPDH,3hppnl_c + h_c + nadh_c <=> 13ppd_c + nad_c,WP_005239439_1 or WP_005239448_1
1P2CBXLCYCL,5a2opntn_c <=> 1p2cbxl_c + h2o_c + h_c,spontaneous
1P2CBXLR,1p2cbxl_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,WP_005250477_1
23CTI1,decoa_c --> dc2coa_c + h_c,WP_005240908_1
23CTI2,dded3coa_c --> dd2coa_c,WP_005240908_1
23CTI3,dd_3_6_coa_c --> dd6_2_coa_c,WP_005240908_1
24DECOAR,dec4_2_coa_c + h_c + nadph_c --> dc2coa_c + nadp_c,WP_005248272_1
25DKGLCNt2rpp,25dkglcn_p + h_p --> 25dkglcn_c + h_c,
25DKGLCNtex,25dkglcn_e <=> 25dkglcn_p,
26DAHtex,26dap__M_e <=> 26dap__M_p,
2AGPA120tipp,2ddecg3p_p --> 2ddecg3p_c,
2AGPA141tipp,2tdec7eg3p_p --> 2tdec7eg3p_c,
2AGPA160tipp,2hdecg3p_p --> 2hdecg3p_c,
2AGPA161tipp,2hdec9eg3p_p --> 2hdec9eg3p_c,
2AGPA181tipp,2odec11eg3p_p --> 2odec11eg3p_c,
2AGPE120tipp,2agpe120_p --> 2agpe120_c,
2AGPE141tipp,2agpe141_p --> 2agpe141_c,
2AGPE160tipp,2agpe160_p --> 2agpe160_c,
2AGPE161tipp,2agpe161_p --> 2agpe161_c,
2AGPE180tipp,2agpe180_p --> 2agpe180_c,
2AGPE181tipp,2agpe181_p --> 2agpe181_c,
2AGPEAT120,2agpe120_c + atp_c + ddca_c --> amp_c + pe120_c + ppi_c,WP_025432206_1
2AGPEAT141,2agpe141_c + atp_c + ttdcea_c --> amp_c + pe141_c + ppi_c,WP_025432206_1
2AGPEAT160,2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c,WP_025432206_1
2AGPEAT161,2agpe161_c + atp_c + hdcea_c --> amp_c + pe161_c + ppi_c,WP_025432206_1
2AGPEAT180,2agpe180_c + atp_c + ocdca_c --> amp_c + pe180_c + ppi_c,WP_025432206_1
2AGPEAT181,2agpe181_c + atp_c + ocdcea_c --> amp_c + pe181_c + ppi_c,WP_025432206_1
2AGPG120tipp,2agpg120_p --> 2agpg120_c,
2AGPG140tipp,2agpg140_p --> 2agpg140_c,
2AGPG141tipp,2agpg141_p --> 2agpg141_c,
2AGPG160tipp,2agpg160_p --> 2agpg160_c,
2AGPG161tipp,2agpg161_p --> 2agpg161_c,
2AGPG180tipp,2agpg180_p --> 2agpg180_c,
2AGPG181tipp,2agpg181_p --> 2agpg181_c,
2AGPGAT120,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,WP_025432206_1
2AGPGAT140,2agpg140_c + atp_c + ttdca_c --> amp_c + pg140_c + ppi_c,WP_025432206_1
2AGPGAT141,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,WP_025432206_1
2AGPGAT160,2agpg160_c + atp_c + hdca_c --> amp_c + pg160_c + ppi_c,WP_025432206_1
2AGPGAT161,2agpg161_c + atp_c + hdcea_c --> amp_c + pg161_c + ppi_c,WP_025432206_1
2AGPGAT180,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,WP_025432206_1
2AGPGAT181,2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c,WP_025432206_1
2DDARAA,2ddara_c <=> gcald_c + pyr_c,WP_005250602_1
2DGULRx,2dhguln_c + h_c + nadh_c --> idon__L_c + nad_c,
2DHGLCK,2dhglcn_c + atp_c + 2.0 h_c --> 6p2dhglcn_c + adp_c,WP_025433301_1
2DHGLCNkt_tpp,2dhglcn_p + h_p --> 2dhglcn_c + h_c,WP_005246696_1
2DHGLCNtex,2dhglcn_e <=> 2dhglcn_p,
2HH24DDH,2hh24dd_c + h2o_c --> 4h2kpi_c,WP_025433537_1
2HH24DDH1,2hh24dd_c + h2o_c --> 24dhhed_c,WP_025433537_1
2INSD,2ins_c --> dkdi_c + h2o_c,WP_005248166_1
2PGLYCt6,2pglyc_e + h_e <=> 2pglyc_c + h_c,
34DHPACDO,34dhpacet_c + o2_c --> 5cmhmsa_c + h_c,
34HPPOR,34hpp_c + o2_c --> co2_c + hgentis_c,WP_025431936_1
34dhpactex,34dhpac_e <=> 34dhpac_p,
3AMACHYD,3amac_c + h2o_c + h_c --> msa_c + nh4_c,WP_005239747_1
3HBCOAHL,3hibutcoa_c + h2o_c --> 3hmp_c + coa_c + h_c,WP_025432461_1 or WP_226955743_1
3HCINNMH,3hcinnm_c + h_c + nadh_c + o2_c --> dhcinnm_c + h2o_c + nad_c,WP_005237913_1
