,reaction_id,reaction_name,reaction_reaction,old_flux,new_flux
390,ATPS4rpp,ATP synthase (four protons for one ATP) (periplasm),adp_c + 4.0 h_p + pi_c --> atp_c + h2o_c + 3.0 h_c,575.2760651066626,0.0
1575,O2t,O2 transport  diffusion ,o2_e <=> o2_c,410.5738199985671,no rxn
2229,EX_co2_e,R_EX_co2_e,co2_e --> ,306.68318147630816,351.2449301700014
2153,EX_h2o_e,R_EX_h2o_e,h2o_e <=> ,223.5071583164546,279.17650774839547
449,CBFC2pp,Cytochrome b6/f complex periplasm,2.0 ficytc6_p + 2.0 h_c + pqh2_p --> 2.0 focytc6_p + 4.0 h_p + pq_p,219.63864161304193,no rxn
1501,NDH1_4pp,Active co2 transporter facilitator (periplasm) ,co2_p + h2o_c + 3.0 h_c + nadph_c + pq_p --> 3.0 h_p + hco3_c + nadp_c + pqh2_p,219.63864161304193,no rxn
541,CYO1bpp_syn,"Cytochrome c oxidase, synechocystis (2 protons)",2.0 focytc6_p + 4.0 h_c + 0.5 o2_p --> 2.0 ficytc6_p + h2o_p + 2.0 h_p,219.63864161304193,no rxn
898,FUM,Fumarase,fum_c + h2o_c <=> mal__L_c,206.22800250549884,271.00047276834766
1985,SUCDi,Succinate dehydrogenase (irreversible),q8_c + succ_c --> fum_c + q8h2_c,201.50134996493395,no rxn
1381,MDH,Malate dehydrogenase,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,170.73343785393462,0.0
552,CYTBDpp,Cytochrome oxidase bd (ubiquinol-8: 2 protons) (periplasm),2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_p + q8_c,162.1782429546366,no rxn
1175,HSDy,Homoserine dehydrogenase (NADPH),hom__L_c + nadp_c <=> aspsa_c + h_c + nadph_c,110.65740507305249,-1.0057221039224054
1198,ICDHyr,Isocitrate dehydrogenase (NADP),icit_c + nadp_c <=> akg_c + co2_c + nadph_c,105.49108824225131,0.0
190,ACONTa,"Aconitase (half-reaction A, Citrate hydro-lyase)",cit_c <=> acon_C_c + h2o_c,105.49108824225131,0.0
191,ACONTb,"Aconitase (half-reaction B, Isocitrate hydro-lyase)",acon_C_c + h2o_c <=> icit_c,105.49108824225131,0.0
521,CS,Citrate synthase,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,105.49108824225131,170.79940155324016
1464,MUCCYCI,MUCCYCI,ccmuac_c + h_c <=> mucl_c,100.0,100.0
72,3OADPCOAT,3OADPCOAT,3oxoadp_c + succoa_c --> oxadpcoa_c + succ_c,100.0,100.00052037833257
1466,MUCLI,MUCLI,mucl_c <=> 5odhf2a_c,100.0,100.0
1626,OXOAEL,OXOAEL,5odhf2a_c + h2o_c --> 3oxoadp_c + h_c,100.0,100.00052037833257
96,3OXCOAT,3-oxoadipyl-CoA thiolase,coa_c + oxadpcoa_c --> accoa_c + succoa_c,100.0,100.00052037833257
2381,phenol_transport,Phenol transport,phenol_e <=> phenol_c,100.0,100.0
2382,PHEMOX,Phenol monooxygenase,h_c + nadh_c + o2_c + phenol_c --> catechol_c + h2o_c + nad_c,100.0,100.0
448,CATDOX,CATDOX,catechol_c + o2_c --> ccmuac_c + 2.0 h_c,100.0,100.0
267,AKGDH,2-Oxogluterate dehydrogenase,akg_c + coa_c + nad_c --> co2_c + nadh_c + succoa_c,98.63882286688087,0.0
1515,NH4tpp,Ammonia reversible transport (periplasm),nh4_p <=> nh4_c,77.98579358784853,0.0
1514,NH4tex,Ammonia transport via diffusion (extracellular to periplasm),nh4_e <=> nh4_p,77.98579358784853,0.0
2155,EX_h_e,R_EX_h_e,h_e <=> ,66.81996217570008,18.23307615507595
1292,LEUTA,Leucine transaminase,akg_c + leu__L_c <=> 4mop_c + glu__L_c,56.72597724165744,0.0
1776,PPCK,Phosphoenolpyruvate carboxykinase,atp_c + oaa_c --> adp_c + co2_c + pep_c,45.35333441688097,no rxn
549,CYTBD,Cytochrome oxidase bd (ubiquinol-8: 2 protons),2.0 h_c + 0.5 o2_c + q8h2_c --> h2o_c + 2.0 h_e + q8_c,39.33075542945568,9.29263669655947
1386,ME2,Malic enzyme (NADP),mal__L_c + nadp_c --> co2_c + nadph_c + pyr_c,35.502213070722554,0.0
