,Pathway,Forward Reactions,Reaction,Location on map,Flux,90% Confidence Lower Bound,90% Confidence Upper Bound,FBA WT Value,pFBA WT Value
0,Phenol Uptake,PHEMOX,Phenol.ext -> AcCoA + SucCoA,"( 80, -450)",100,100,100,100,100
1,EMP Pathway,PGI,G6P <-> F6P,"(-150, 430)",-0.4793,-1.4219,0.9306,-4.243636571,-4.243636571
2,EMP Pathway,PFK or reverse_FBP,F6P + ATP -> FBP,"(-220, 195)",-2,-2,-0.7683,-15.46222089,-15.46222089
3,EMP Pathway,FBA,FBP <-> DHAP + GAP,"(-140, 115)",-2,-2,-0.7683,-15.46222089,-15.46222089
4,EMP Pathway,TPI,DHAP <-> GAP,"(-270, 150)",-2,-2,-0.7683,-28.62910423,-28.62910423
5,EMP Pathway,GAPD,"GAP <-> G1,3P","(-220, 30)",-10.7907,-11.2235,-9.104,-47.0170121,-47.0170121
6,EMP Pathway,reverse_PGK,"G1,3P <-> 3PG + ATP + NADH","(-220, -55)",-10.7907,-11.2235,-9.104,-47.0170121,-47.0170121
7,EMP Pathway,PGM_1 or reverse_PGM,3PG <-> 2PG,"(-220, -135)",-16.2538,-16.9556,-13.6034,-54.95907186,-54.95907186
8,EMP Pathway,ENO,2PG <-> PEP,"(-220, -215)",-16.2538,-16.9556,-13.6034,-54.95907186,-54.95907186
9,EMP Pathway,PPS or reverse_FRUpts2pp or reverse_SBTpts or reverse_MNLpts or reverse_ACGApts or reverse_FRUpts2 or reverse_MANpts or reverse_FRUpts or reverse_ARBTpts or reverse_PYK or reverse_GALTpts or reverse_SUCpts or reverse_TREptspp or reverse_TREpts or reverse_GLCptspp or reverse_ACGAptspp or reverse_SALCptspp or reverse_MALTptspp or reverse_FRUptspp or reverse_SUCptspp or reverse_DHAPT or reverse_MALTpts or reverse_ACMANApts or reverse_GAMpts or reverse_SALCpts or reverse_GLCpts,PEP <-> Pyr + ATP,"(-220, -295)",29.9999,0,30,0,0
11,Pentose Phosphate Pathway,GND,6PG <-> Ru5P + CO2 + NADPH,"(275, 350)",0.4646,-1.6599,1.8755,0,0
12,Pentose Phosphate Pathway,RPE,Ru5P <-> X5P,"(380, 190)",-1.1874,-2.6115,-0.2468,-5.28920819,-5.28920819
13,Pentose Phosphate Pathway,reverse_RPI,Ru5P <-> R5P,"(270, 230)",1.6521,0.9081,2.1385,5.280957222,5.280957222
14,Pentose Phosphate Pathway,TKT2,X5P <-> TKC2 + GAP,"(270, 100)",-1.1874,-2.6115,-0.2468,-3.027256282,-3.027256282
15,Pentose Phosphate Pathway,TKT2,TKC2 + E4P <-> F6P,"(10, 280)",-1.1874,-1.909,-0.7099,-3.027256282,-3.027256282
16,Pentose Phosphate Pathway,TKT1,TKC2 + R5P <-> S7P,"(120, 230)",2.13E-14,-0.7076,0.4698,-2.261951908,-2.261951908
17,Pentose Phosphate Pathway,TALA,TAC3 + GAP <-> F6P,"(-70, 190)",7.11E-15,-0.7076,0.4698,-2.261951908,-2.261951908
18,Pentose Phosphate Pathway,reverse_TALA,S7P <-> TAC3 + E4P,"(50, 230)",8.53E-14,-0.7076,0.4698,2.261951908,2.261951908
10,ED Pathway,G6PDH2r and PGL,G6P <-> 6PG + NADPH,"(50, 380)",-0.5767,-2.0181,0.3824,0,0
19,ED Pathway,EDD,6PG <-> KDPG,"(-300, 350)",-1.0413,-2.5243,0.2447,0,0
20,ED Pathway,EDA,KDPG <-> Pyr + GAP,"(-300, 50)",-1.0413,-2.5243,0.2447,0,0
21,TCA Cycle,PDH,Pyr <-> AcCoA + CO2 + NADH,"(-220, -370)",59.2327,56.6826,62.0459,0,0
22,TCA Cycle,CS or reverse_CITL,OAC + AcCoA -> Cit,"(-55, -340)",114.4391,110.2766,118.48,101.3890167,101.3890167
23,TCA Cycle,ACONT or ( ACONTa and ACONTb),Cit -> ICit,"(145, -310)",114.4391,110.2766,118.48,101.3890167,101.3890167
24,TCA Cycle,ICDHx or ICDHyr,ICit -> AKG + CO2 + NADPH,"(290, -310)",113.4677,106.8011,118.48,101.3890167,101.3890167
25,TCA Cycle,AKGDH or OOR3r,AKG -> SucCoA + CO2 + NADH,"(290, -195)",108.6053,101.7297,113.8305,97.64773861,97.64773861
26,TCA Cycle,3OADPCOAT or OCOAT3r or SUCBZT1 or SUCBZT2 or OCOAT2r or OCOAT1 or reverse_SUCOAS,SucCoA -> Suc + ATP,"(290, -55)",207.4789,200.562,212.7536,93.99733586,93.99733586
27,TCA Cycle,SUCDi or reverse_FRD2 or reverse_FRD3 or reverse_FRD5 or reverse_SUCD1 or reverse_FRD or reverse_ASPO5,Suc -> Fum + FADH2,"(160, -55)",208.5767,203.2666,212.8305,97.64773861,97.64773861
28,TCA Cycle,FUM,Fum -> Mal,"(10, -55)",209.6703,204.3514,213.8762,104.4680467,104.4680467
29,TCA Cycle,MDH or MDH3 or MDH2 or DMALRED,Mal -> OAC + NADH,"(-60, -180)",171.0231,129.2999,174.5648,104.4762977,104.4762977
30,Glyoxylate Shunt,ICL,ICit -> Glyox + Suc,"(180, -140)",0.9714,7.11E-15,4.5567,0,0
31,Glyoxylate Shunt,MALS,Glyox + AcCoA -> Mal,"(90, -140)",0.9714,0,4.5567,0.008250968,0.008250968
32,Anaplerotic Reactions,PEPCK_re or PPCK,OAC + ATP -> PEP + CO2,,97.7718,12.9269,100,58.14816381,58.14816381
33,Anaplerotic Reactions,PPC,PEP + CO2 -> OAC,,48.9039,0,59.1635,0,0
34,Anaplerotic Reactions,PC,Pyr + CO2 + ATP -> OAC,,1.00E-07,0,44.8577,70.08905327,70.08905327
35,Anaplerotic Reactions,ME1 or ME2,Mal <-> Pyr + CO2 + NADH,,39.6187,37.0434,100,0,0
64,Transhydrogenation,FRNDPR2r or FLNDPR2r or reverse_NADTRHD,NADH <-> NADPH,,14.4316,1.1087,27.2447,-0.250479902,-0.250479902
65,Transport,ATPM,ATP -> ATP.ext,,680.0864,613.1475,787.5166,0,0
66,Transport,reverse_CO2t,CO2 -> CO2.ext,,376.457,365.0427,386.6854,303.7734249,303.7734249
68,Transport,O2t,O2.ext -> O2,,433.6956,420.7564,445.9396,405.029149,405.029149
69,Transport,NH4t,NH3.ext -> NH3,,25.7527,24.1274,27.0206,62.31977265,62.31977265
70,Transport,SO4t2,SO4.ext -> SO4,,0.4177,0.3913,0.4383,0.537715269,0.537715269
71,Biomass Equation,Growth or Growth_Phenol or Growth_Glucose,0.515*Ala + 0.174*Arg + 0.153*Asn + 0.439*Asp + 0.03*Cys + 0.314*Glu + 0.314*Gln + 0.399*Gly + 0.059*His + 0.155*Ile + 0.302*Leu + 0.181*Lys + 0.059*Met + 0.138*Phe + 0.147*Pro + 0.176*Ser + 0.201*Thr + 0.067*Tyr + 0.28*Val + 0.048*Trp + 9.035*AcCoA + 0.245*R5P + 0.325*MEETHF + 0.225*G6P + 0.071*F6P + 1.02*GAP + 0.43*3PG + 0.083*Pyr + 0.051*PEP + 0.087*AKG + 0.223*OAC + 33.25*ATP + 19.3*NADPH -> 39.68*Biomass + 1.455*NADH,,4.6934,4.3972,4.9245,9.549731301,9.549731301
