,EVOL33-G-R1,EVOL33-G-R2,EVOL33-G-R3,EVOL33-H-R1,EVOL33-H-R2,EVOL33-H-R3,EVOL33-L-R1,EVOL33-L-R2,EVOL33-L-R3,EVOL40-G-R1,EVOL40-G-R2,EVOL40-G-R3,EVOL40-H-R1,EVOL40-H-R2,EVOL40-H-R3,EVOL40-L-R1,EVOL40-L-R2,EVOL40-L-R3,WT-G-R1,WT-G-R2,WT-G-R3,WT-L-R1,WT-L-R2,WT-L-R3
12PPDStpp,9.495147083460221,9.6200391307116,7.20603235446661,13.365254119939197,9.60811772022376,9.49130547060057,12.9332265885908,11.34294885354,6.949221234668619,8.96727904934756,7.156339967906621,7.30307460740394,11.951986389742999,4.76828306231005,8.25223704738983,10.0738747511464,4.910494805818598,6.32329230133637,9.919706994477213,10.3742095423311,6.219230191118211,8.60673816795915,13.058691777119801,4.45193662022303
12PPDt,9.495147083460221,9.6200391307116,7.20603235446661,13.365254119939197,9.60811772022376,9.49130547060057,12.9332265885908,11.34294885354,6.949221234668619,8.96727904934756,7.156339967906621,7.30307460740394,11.951986389742999,4.76828306231005,8.25223704738983,10.0738747511464,4.910494805818598,6.32329230133637,9.919706994477213,10.3742095423311,6.219230191118211,8.60673816795915,13.058691777119801,4.45193662022303
14GLUCANabcpp,15.194618359186002,15.818685935825851,14.226832736996972,1.07233355604818,1.30945816736938,1.0731099519818421,4.6608963402703685,2.6271869224222177,3.052662226434824,10.079937957748772,10.702461177352223,13.925551318491275,1.06885111072454,0.862243410140752,0.7385049524366281,1.2687968363962598,0.691059605477544,1.466641855924292,10.347610819169457,8.492871462921244,10.623352171795661,0.9511009737873939,0.915322374316428,0.843374011405613
2AGPEAT120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2DHGLCK,14.1088752682925,16.568570334577,11.759097573457902,19.010227907700894,19.5255397861381,12.9106197914403,15.213878485639201,16.1522588428518,12.6726639611867,13.0913351454754,11.809467256645,11.303819182272502,5.21685376082976,4.71005436819771,3.21878300753912,3.78897975714759,3.2492328814620604,4.4042831949606605,11.054797844591501,11.200017267093699,8.086030629911571,1.19894860051172,3.63824248516772,1.94910657999814
2DHGLCNkt_tpp,16.9857631159677,18.6716214036993,18.495483043131,12.0639004293136,18.9242240195388,9.18423382302231,15.759376102393999,12.277691860915,10.981875375392999,16.4459897765034,18.560609942404,15.809804103805899,3.71839576569781,4.146961329948431,3.56221565878994,4.5836130117715985,5.442465076448951,4.26822230340205,15.3564694818349,18.0035761432537,16.809197155439,2.34294539016666,2.7540446119695097,2.07757042277075
2HH24DDH,15.6253473057644,11.1159782299849,14.4120647089332,21.769444383723698,19.1567424514678,18.3067594680624,2.64715164093964,7.661465453706829,4.65498073135697,12.6863400445507,14.805221553037601,12.406685224858697,13.503647780692,13.415073878652198,11.857161652302198,4.45371304787524,8.593365910182541,5.8240850143887615,14.0562649719313,15.7660684492005,21.3854231133188,4.22787138075186,2.40554848525892,2.34312453695949
2HH24DDH1,15.6253473057644,11.1159782299849,14.4120647089332,21.769444383723698,19.1567424514678,18.3067594680624,2.64715164093964,7.661465453706829,4.65498073135697,12.6863400445507,14.805221553037601,12.406685224858697,13.503647780692,13.415073878652198,11.857161652302198,4.45371304787524,8.593365910182541,5.8240850143887615,14.0562649719313,15.7660684492005,21.3854231133188,4.22787138075186,2.40554848525892,2.34312453695949
3_4DHBZ1t_pp,1.92854800866135,3.17193942133684,3.73369552044902,1.93900059771139,0.983946221882104,1.61997289348867,1.4593623554195705,2.4684137401486,2.65792164039139,2.02948574546892,4.31262894837577,1.70699383454577,1.84956473319684,1.88664991631674,1.43665888493419,1.8999432173146495,2.40436144637232,1.5726322821976495,3.04431023744418,2.06946667036138,1.50378622928592,5.20269146595113,2.55032242757622,2.30670291203266
34HPPOR,791.108800032457,632.1437126065243,745.3541962980565,24.96430924476229,43.976650853909334,24.61407051504873,151.9016483117899,158.7576362387237,152.8609884653946,727.9939923500979,620.9930092830218,955.3398139991262,8.416406000280759,11.638288686519843,7.01618768877646,25.520482702904204,33.42750252012879,34.99514088105087,1219.2684144960022,1227.0197383687648,896.0088910698893,9.92320894112461,17.0593565906231,9.37742494030898
3AMACHYD,149.2690336420512,152.5169022619509,156.6549773514793,119.8313955590784,99.44907356371681,145.107658049234,152.5185196136457,125.47960070401861,126.54585594648739,184.0762370547437,169.915047819094,195.91150048705003,272.970283878038,240.162481198244,228.58615954241012,198.8236247927872,181.86231117473187,193.08072819581253,171.46943401845283,193.69247532602498,151.5514333896927,260.0390344164267,228.9488451866169,270.2719059529783
3HBCOAHL,10.54640686966861,11.46603708257885,10.882744710857772,17.10239388298666,16.37922328343499,19.51466869572598,19.69984693117376,20.0438577981593,14.415563452516164,14.290883015781452,14.76494045627107,11.233504044315541,17.715052820650698,21.729489901128783,17.88006241446338,17.007225166392832,16.00129460054469,20.49454980815311,11.22264314036889,10.53887562617212,11.575609303584839,10.6700553129422,11.430521210412117,10.527031275171499
