,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
12PPDStpp,2.39933761758193,1.80786218409011,2.59623485107319,0,0,0,2.9984018148142004,2.73604910484525,3.5721925914921098,2.77377009027242,3.08817133338558,1.73293028302273,0,0,0,1.63293887382382,1.4304191422671002,2.30143300456284,5.82206130097642,6.941517348420111,4.47064172895919,1.82050897459876,1.8739059625145,1.83190616430864,0,0,0,2.88496674385376,2.12688257117305,2.52982094312555,3.67180069175211,2.26605372091729,2.87899914114411,0,0,0,2.37550025563203,2.42207253901202,2.8173649591524,5.77960816300036,5.14570823170639,5.1704279523353485
12PPDt,2.39933761758193,1.80786218409011,2.59623485107319,0,0,0,2.9984018148142004,2.73604910484525,3.5721925914921098,2.77377009027242,3.08817133338558,1.73293028302273,0,0,0,1.63293887382382,1.4304191422671002,2.30143300456284,5.82206130097642,6.941517348420111,4.47064172895919,1.82050897459876,1.8739059625145,1.83190616430864,0,0,0,2.88496674385376,2.12688257117305,2.52982094312555,3.67180069175211,2.26605372091729,2.87899914114411,0,0,0,2.37550025563203,2.42207253901202,2.8173649591524,5.77960816300036,5.14570823170639,5.1704279523353485
14GLUCANabcpp,1.6315495799557145,3.83266783027104,2.9731076520354285,0,0,0,2.292895505446153,3.00965401532976,3.028598066699838,1.9519122857472548,1.754642803059988,1.227492283807768,0,0,0,2.1228205359709618,1.430419142267102,1.227430935766849,3.077375259087532,1.446149447587524,2.583037443398643,2.0554133584179577,2.685931879604116,2.113737881894584,0,0,0,2.1156422788260905,1.291321561069353,1.9414904912358821,1.1642294876287187,2.9991887482728896,1.3769126327210952,0,0,0,1.1437593823413479,3.1927319832431214,1.3474354152468,2.644905430525586,2.699387924829582,1.8415222843934145
2AGPEAT120,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT140,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT141,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT160,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT161,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT180,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT181,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT120,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT140,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT141,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
