,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
12PPDStpp,14.2817715332258,10.761084429107802,15.453778875435699,0,0,0,17.847629850084505,16.2860065764598,21.263051139834,16.5105362516215,18.3819722225332,10.315061208468599,0,0,0,9.71987424895132,8.51439965635179,13.699005979540699,34.6551267915263,41.3185556453578,26.610962672376104,10.836362944040198,11.154202157824399,10.90420335898,0,0,0,17.1724210943676,12.6600153046015,15.0584579947949,21.8559564985245,13.4884150054601,17.136899649667303,0,0,0,14.1398824740002,14.417098446500098,16.7700295187643,34.4024295416688,30.629215664919,30.776356859139
12PPDt,14.2817715332258,10.761084429107802,15.453778875435699,0,0,0,17.847629850084505,16.2860065764598,21.263051139834,16.5105362516215,18.3819722225332,10.315061208468599,0,0,0,9.71987424895132,8.51439965635179,13.699005979540699,34.6551267915263,41.3185556453578,26.610962672376104,10.836362944040198,11.154202157824399,10.90420335898,0,0,0,17.1724210943676,12.6600153046015,15.0584579947949,21.8559564985245,13.4884150054601,17.136899649667303,0,0,0,14.1398824740002,14.417098446500098,16.7700295187643,34.4024295416688,30.629215664919,30.776356859139
14GLUCANabcpp,0.68039718832918,2.038266683243521,1.718104708247719,0,0,0,1.112572465443482,1.384653034064587,1.439863196045448,1.378067670933697,1.466287781073434,1.109847717841076,0,0,0,1.063551664827461,0.6852816926270029,0.605531976123773,1.5430687823714402,0.7983968430046209,1.5292679142487229,0.9261013898065101,1.3312914203525121,1.0005915849539,0,0,0,1.062907932329435,0.9279837441927261,0.8814809612484241,0.4939238182589437,1.445224825771826,0.641804035098017,0,0,0,1.040714030200904,1.5408880843087422,0.628064167608328,1.312947428620078,1.2980262104555862,0.9226187792118989
2AGPEAT120,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT140,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT141,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT160,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT161,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT180,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT181,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT120,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT140,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT141,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT160,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT161,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT180,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPGAT181,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2DHGLCK,41.2224506105287,29.381508132807802,38.610885818132296,0,0,0,27.933603874232396,23.5944533087816,22.2795197320692,11.244323196239801,9.19514304754489,9.938723983615713,0,0,0,15.9773455316095,18.1301644423809,24.553707566646104,8.82757458570222,8.63372804529864,9.72057718845005,26.879606108664106,32.8373792215089,35.6379244874432,0,0,0,25.6760445417609,25.571971212279703,24.3918097798367,21.6835699953812,18.5687750031268,27.920209422732896,0,0,0,31.5157579520004,27.751773400409107,34.3308586124995,26.6423739700385,24.621282896455607,29.012374298072
2DHGLCNkt_tpp,6.131640578264941,4.16812670220776,4.18747556624708,0,0,0,9.43124753842702,9.943511793071847,7.819564096714308,14.125681015276198,15.4506046825005,12.4855220044172,0,0,0,5.443129579412742,3.47671319301032,5.647034687121789,7.7974035280934215,6.42733087816677,6.55418154708523,4.4860212187693485,5.24867179315403,5.4311320576458,0,0,0,9.61655581284586,4.4837554203797,5.92416080027785,6.09479112113325,7.173985431825581,7.82336723136986,0,0,0,13.5638131880224,25.5357395211495,41.00150695384829,10.0000282481291,8.66990913356724,6.3449886401375695
2HH24DDH,3.36749139309745,2.3787660316975097,2.57125692664294,0,0,0,5.41507035699159,3.20005743256754,2.21388747565777,7.20927898706281,5.079229166752599,7.91726189246496,0,0,0,1.79050315112261,1.56844204195954,2.85996791502692,4.37748969998227,2.5371042940132003,3.05014542911446,2.9620618573692297,4.65736862028457,3.5537990704368,0,0,0,7.381128365122922,3.8313204211294,4.25765458604361,4.32068973141562,2.77702661877119,2.74504113381399,0,0,0,6.367081581859732,4.82869325959335,6.17843192796579,3.86682080486197,4.2547918223054,4.81504645885592
2HH24DDH1,3.36749139309745,2.3787660316975097,2.57125692664294,0,0,0,5.41507035699159,3.20005743256754,2.21388747565777,7.20927898706281,5.079229166752599,7.91726189246496,0,0,0,1.79050315112261,1.56844204195954,2.85996791502692,4.37748969998227,2.5371042940132003,3.05014542911446,2.9620618573692297,4.65736862028457,3.5537990704368,0,0,0,7.381128365122922,3.8313204211294,4.25765458604361,4.32068973141562,2.77702661877119,2.74504113381399,0,0,0,6.367081581859732,4.82869325959335,6.17843192796579,3.86682080486197,4.2547918223054,4.81504645885592
3_4DHBZ1t_pp,1.57469480946655,1.43629810825812,1.7357411673563,0,0,0,1.82773655276696,3.78037872862901,2.21300509722985,2.21788051739303,1.6970638509733895,2.12002121555746,0,0,0,1.69216463608686,1.23524969107694,1.0599576301959,1.4364819395451298,1.0615086618734,1.2868859323428898,1.36926130464557,1.618226219788,1.27773447092073,0,0,0,1.74393499196687,1.1807268159731998,2.89592709479367,2.2427697051436697,1.95686849820146,2.4321348905813,0,0,0,1.06367951061372,1.80638162353699,4.44279223114818,2.96077816376881,2.0396929483815898,2.6912109908765203
34HPPOR,95.18213381312451,50.36373851946763,62.88119101695913,0,0,0,1157.92350148077,74.9391309827057,707.359639161186,770.5287524297712,527.213916812234,479.9071063753873,0,0,0,13.456345388807927,14.290711606270131,9.77709719694205,24.72365755516683,19.86927657837735,23.40843123388237,29.126981419757907,29.63187037886679,33.856407632077726,0,0,0,24.839300007206518,18.183602687035847,24.0286478624282,17.44599631811267,18.30398868451657,20.481707655822973,0,0,0,25.037816585354808,30.66683081595167,24.7210373030231,17.093935934858102,15.415683592052062,12.863177556971578
3AMACHYD,137.1988224615908,144.53556472747192,153.64115478308923,0,0,0,137.61486269433848,147.2713486192715,159.6007564603228,191.44116520887422,207.2296612568012,186.09375373906488,0,0,0,147.3962396860522,175.55524497421368,169.2061581195315,163.83488247810251,200.2591848669279,165.4602430664692,182.74851416553432,133.0799173056038,154.4741644358091,0,0,0,143.6529818311887,171.7685277167681,150.3449536641889,159.4245158166459,186.39933173838259,145.24740586658632,0,0,0,182.2821850143801,165.10159295344658,147.4627917597116,113.85855029880031,107.38067124780851,130.6108708827539
3HBCOAHL,219.9877881721006,252.60566234057973,238.47768498842217,0,0,0,191.82603657458853,217.24840255931178,144.24543595650874,91.74592008780517,73.26623961579611,78.32057843653828,0,0,0,276.1804350764164,268.3115510162541,275.45836049685715,142.46253969078413,140.09600188487758,216.35693003212157,167.93836031040405,288.4026565358861,208.17798868417586,0,0,0,225.72323495283908,152.23152260305608,185.68464633713796,192.7189154509961,162.47784387405872,210.7129725686973,0,0,0,86.04732434975934,95.02947500675475,87.30924963569271,118.66193328965643,129.02403853263687,156.58001413369936
3HCINNMH,0.4101431824926379,1.03012090261545,1.01406103456126,0,0,0,1.63311645687048,2.20858664683614,1.9911887355028501,2.6341596298883303,1.6996539972660902,1.2342808283637698,0,0,0,1.16306187594289,1.60099822598068,1.63919729669718,2.36958131907872,1.44202936369126,3.1134573610985203,1.25483111014527,1.4236702469246,1.70624615347616,0,0,0,1.6438556945035703,1.5148736261916298,1.1733085935121499,1.40330093840849,1.42411621475446,0.624086274867112,0,0,0,0.6266487959354311,1.09780547611268,2.09391672921026,3.2094979899803997,2.28313615436975,2.62325111736954
3HOXPACt2pp,155.1751645214493,166.02306140133942,238.99499456369077,0,0,0,151.45750057676779,104.7305497686444,186.3584027102337,151.5329057234656,140.82941484286516,173.3470346875343,0,0,0,110.1573809170418,148.19884916103442,144.83885615856627,86.02005861546613,80.41670679572482,116.14958611037706,179.25622005022262,151.5526054093441,120.1544843218618,0,0,0,164.77297941086658,147.1250893541531,171.2702197917302,123.6589790920329,112.7125244897691,103.9814067261512,0,0,0,123.8516399484953,99.65975510021539,92.4059423986703,81.0162188530407,86.2533293288548,118.34147429036159
