,PVHG-B-R1,PVHG-B-R2,PVHG-B-R3,PVHG-Glu-R1,PVHG-Glu-R2,PVHG-Glu-R3,PVHG-Gua-R1,PVHG-Gua-R2,PVHG-Gua-R3,PVHG-H-R1,PVHG-H-R2,PVHG-H-R3,PVHG-M-R1,PVHG-M-R2,PVHG-M-R3,PVHG-P-R1,PVHG-P-R2,PVHG-P-R3,PVHG-V-R1,PVHG-V-R2,PVHG-V-R3,WT-B-R1,WT-B-R2,WT-B-R3,WT-Glu-R1,WT-Glu-R2,WT-Glu-R3,WT-Gua-R1,WT-Gua-R2,WT-Gua-R3,WT-H-R1,WT-H-R2,WT-H-R3,WT-M-R1,WT-M-R2,WT-M-R3,WT-P-R1,WT-P-R2,WT-P-R3,WT-V-R1,WT-V-R2,WT-V-R3
12PPDStpp,27.933802887635107,21.0476697936647,30.226139101247398,0,0,0,34.9082866284395,31.853898269916,41.5885296826109,32.293057212754505,35.9534100903131,20.1752902923082,0,0,0,19.011160536432396,16.6533655263815,26.793968234176997,67.7821710414833,80.81521163631959,52.0485420321293,21.1949074940371,21.816571124991608,21.3275969698724,0,0,0,33.5876417598164,24.761800120555897,29.452928611813803,42.7481968416991,26.3820720806642,33.5181651523638,0,0,0,27.6562812228263,28.198489611687798,32.800601655555,67.28791896978859,59.9078672415552,60.1956615888062
12PPDt,27.933802887635107,21.0476697936647,30.226139101247398,0,0,0,34.9082866284395,31.853898269916,41.5885296826109,32.293057212754505,35.9534100903131,20.1752902923082,0,0,0,19.011160536432396,16.6533655263815,26.793968234176997,67.7821710414833,80.81521163631959,52.0485420321293,21.1949074940371,21.816571124991608,21.3275969698724,0,0,0,33.5876417598164,24.761800120555897,29.452928611813803,42.7481968416991,26.3820720806642,33.5181651523638,0,0,0,27.6562812228263,28.198489611687798,32.800601655555,67.28791896978859,59.9078672415552,60.1956615888062
14GLUCANabcpp,18.9949859635919,44.6210599625692,34.613804454654336,0,0,0,26.69457212763018,35.0392880969076,35.259840383083095,22.724743964530962,20.428073914950602,14.29083062371831,0,0,0,24.714508697362156,16.6533655263815,14.29011639156108,35.82771897906974,16.8365024242333,30.072490951896924,23.929734267461257,31.270418612487937,24.608765734468143,0,0,0,24.630937290532064,15.03395007319465,22.60341032999668,13.55430631566072,34.9174483420555,16.03042681200007,0,0,0,13.31598725543488,37.1707363063157,15.687244270048021,30.792776477699874,31.427077897209262,21.439550702862498
2AGPEAT120,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT140,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT141,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT160,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT161,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT180,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2AGPEAT181,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
