Line Name,Measurement Type,Time,Value,Units
WT-P-R1,Optical Density,0,0.05,n/a
WT-P-R1,Optical Density,9,0.095590003,n/a
WT-P-R1,Optical Density,19,0.205400008,n/a
WT-P-R1,Optical Density,24,0.284399991,n/a
WT-P-R1,Optical Density,33,0.383544992,n/a
WT-P-R1,Optical Density,44,0.445559982,n/a
WT-P-R1,Optical Density,55,0.513500014,n/a
WT-P-R1,Optical Density,70,0.540952479,n/a
WT-P-R1,Optical Density,82,0.541940025,n/a
WT-P-R1,Optical Density,100,0.5978325,n/a
WT-P-R2,Optical Density,0,0.05,n/a
WT-P-R2,Optical Density,14,0.074852505,n/a
WT-P-R2,Optical Density,20,0.18525499,n/a
WT-P-R2,Optical Density,24,0.270179986,n/a
WT-P-R2,Optical Density,28,0.36952249,n/a
WT-P-R2,Optical Density,34,0.447337483,n/a
WT-P-R2,Optical Density,38,0.486837504,n/a
WT-P-R2,Optical Density,43,0.549050027,n/a
WT-P-R2,Optical Density,48,0.566035021,n/a
WT-P-R2,Optical Density,52,0.620940008,n/a
WT-P-R3,Optical Density,0,0.05,n/a
WT-P-R3,Optical Density,14,0.110600007,n/a
WT-P-R3,Optical Density,20,0.208955009,n/a
WT-P-R3,Optical Density,24,0.2988175,n/a
WT-P-R3,Optical Density,28,0.409417489,n/a
WT-P-R3,Optical Density,34,0.460174994,n/a
WT-P-R3,Optical Density,38,0.502044997,n/a
WT-P-R3,Optical Density,43,0.552605029,n/a
WT-P-R3,Optical Density,48,0.555172484,n/a
WT-P-R3,Optical Density,52,0.601584975,n/a
PVHG6-P-R1,Optical Density,0,0.05,n/a
PVHG6-P-R1,Optical Density,9,0.110402504,n/a
PVHG6-P-R1,Optical Density,19,0.283017497,n/a
PVHG6-P-R1,Optical Density,24,0.392234992,n/a
PVHG6-P-R1,Optical Density,33,0.576897498,n/a
PVHG6-P-R1,Optical Density,44,0.827130026,n/a
PVHG6-P-R1,Optical Density,55,0.965577544,n/a
PVHG6-P-R1,Optical Density,70,1.089015044,n/a
PVHG6-P-R1,Optical Density,82,1.068277517,n/a
PVHG6-P-R1,Optical Density,100,1.042404962,n/a
PVHG6-P-R2,Optical Density,0,0.05,n/a
PVHG6-P-R2,Optical Density,14,0.108229996,n/a
PVHG6-P-R2,Optical Density,20,0.292695014,n/a
PVHG6-P-R2,Optical Density,24,0.393814989,n/a
PVHG6-P-R2,Optical Density,28,0.596450006,n/a
PVHG6-P-R2,Optical Density,34,0.822390004,n/a
PVHG6-P-R2,Optical Density,38,0.867222528,n/a
PVHG6-P-R2,Optical Density,43,1.090002473,n/a
PVHG6-P-R2,Optical Density,48,1.088422446,n/a
PVHG6-P-R2,Optical Density,52,1.07835004,n/a
PVHG6-P-R3,Optical Density,0,0.05,n/a
PVHG6-P-R3,Optical Density,14,0.1127725,n/a
PVHG6-P-R3,Optical Density,20,0.284597495,n/a
PVHG6-P-R3,Optical Density,24,0.395789993,n/a
PVHG6-P-R3,Optical Density,28,0.592104991,n/a
PVHG6-P-R3,Optical Density,34,0.803627511,n/a
PVHG6-P-R3,Optical Density,38,0.912845005,n/a
PVHG6-P-R3,Optical Density,43,1.048527536,n/a
PVHG6-P-R3,Optical Density,48,1.052477485,n/a
PVHG6-P-R3,Optical Density,52,1.037467466,n/a
