Line Name,Measurement Type,Time,Value,Units
WT-P-R3,"Pd630_LPD00001	",24,66.34990172,RPKM
WT-P-R3,"Pd630_LPD00002	",24,82.24135542,RPKM
WT-P-R3,"Pd630_LPD00003	",24,59.8343886,RPKM
WT-P-R3,"Pd630_LPD00004	",24,6.619091986,RPKM
WT-P-R3,"Pd630_LPD00005	",24,24.11743623,RPKM
WT-P-R3,"Pd630_LPD00006	",24,5.457441985,RPKM
WT-P-R3,"Pd630_LPD00007	",24,2.145124433,RPKM
WT-P-R3,"Pd630_LPD00008	",24,3.152807487,RPKM
WT-P-R3,"Pd630_LPD00009	",24,291.7757725,RPKM
WT-P-R3,"Pd630_LPD00011	",24,16.34130824,RPKM
WT-P-R3,"Pd630_LPD00012	",24,33.38677841,RPKM
WT-P-R3,"Pd630_LPD00013	",24,24.32399497,RPKM
WT-P-R3,"Pd630_LPD00014	",24,26.23619309,RPKM
WT-P-R3,"Pd630_LPD00015	",24,14.80670232,RPKM
WT-P-R3,"Pd630_LPD00016	",24,312.8853161,RPKM
WT-P-R3,"Pd630_LPD00017	",24,178.6306099,RPKM
WT-P-R3,"Pd630_LPD00018	",24,48.65664002,RPKM
WT-P-R3,"Pd630_LPD00019	",24,77.90753238,RPKM
WT-P-R3,"Pd630_LPD00020	",24,4.796950921,RPKM
WT-P-R3,"Pd630_LPD00021	",24,45.48970473,RPKM
WT-P-R3,"Pd630_LPD00022	",24,25.43627642,RPKM
WT-P-R3,"Pd630_LPD00023	",24,142.1308705,RPKM
WT-P-R3,"Pd630_LPD00024	",24,699.1522619,RPKM
WT-P-R3,"Pd630_LPD00025	",24,698.9026666,RPKM
WT-P-R3,"Pd630_LPD00026	",24,79.31585908,RPKM
WT-P-R3,"Pd630_LPD00027	",24,20.74414776,RPKM
WT-P-R3,"Pd630_LPD00028	",24,202.457494,RPKM
WT-P-R3,"Pd630_LPD00029	",24,34.76354432,RPKM
WT-P-R3,"Pd630_LPD00030	",24,44.41096378,RPKM
WT-P-R3,"Pd630_LPD00031	",24,86.51420909,RPKM
WT-P-R3,"Pd630_LPD00032	",24,51.72566714,RPKM
WT-P-R3,"Pd630_LPD00033	",24,34.79066025,RPKM
WT-P-R3,"Pd630_LPD00034	",24,48.22785221,RPKM
WT-P-R3,"Pd630_LPD00035	",24,51.71249869,RPKM
WT-P-R3,"Pd630_LPD00036	",24,99.97340888,RPKM
WT-P-R3,"Pd630_LPD00037	",24,359.721916,RPKM
WT-P-R3,"Pd630_LPD00039	",24,28.8419463,RPKM
WT-P-R3,"Pd630_LPD00040	",24,8.89034904,RPKM
WT-P-R3,"Pd630_LPD00041	",24,183.883412,RPKM
WT-P-R3,"Pd630_LPD00042	",24,44.85585197,RPKM
WT-P-R3,"Pd630_LPD00043	",24,21.29004638,RPKM
WT-P-R3,"Pd630_LPD00044	",24,33.29405882,RPKM
WT-P-R3,"Pd630_LPD00045	",24,24.70994071,RPKM
WT-P-R3,"Pd630_LPD00046	",24,7.251946347,RPKM
WT-P-R3,"Pd630_LPD00047	",24,10.50677614,RPKM
WT-P-R3,"Pd630_LPD00049	",24,3.438064668,RPKM
WT-P-R3,"Pd630_LPD00050	",24,1.674415514,RPKM
WT-P-R3,"Pd630_LPD00051	",24,2.787914333,RPKM
WT-P-R3,"Pd630_LPD00052	",24,1.798926932,RPKM
WT-P-R3,"Pd630_LPD00053	",24,5.975480502,RPKM
WT-P-R3,"Pd630_LPD00054	",24,66.04259287,RPKM
WT-P-R3,"Pd630_LPD00055	",24,65.90614123,RPKM
WT-P-R3,"Pd630_LPD00056	",24,1169.15377,RPKM
WT-P-R3,"Pd630_LPD00057	",24,84.81392984,RPKM
WT-P-R3,"Pd630_LPD00058	",24,7.088251261,RPKM
WT-P-R3,"Pd630_LPD00059	",24,18.38139734,RPKM
WT-P-R3,"Pd630_LPD00060	",24,20.19379282,RPKM
WT-P-R3,"Pd630_LPD00061	",24,72.26709467,RPKM
WT-P-R3,"Pd630_LPD00062	",24,44.34463256,RPKM
