Line Name,Measurement Type,Time,Value,Units
PVHG6-P-R2,"Pd630_LPD00001	",21,60.99387254,RPKM
PVHG6-P-R2,"Pd630_LPD00002	",21,210.1308068,RPKM
PVHG6-P-R2,"Pd630_LPD00003	",21,125.3583527,RPKM
PVHG6-P-R2,"Pd630_LPD00004	",21,23.37133562,RPKM
PVHG6-P-R2,"Pd630_LPD00005	",21,45.18079494,RPKM
PVHG6-P-R2,"Pd630_LPD00006	",21,10.25366968,RPKM
PVHG6-P-R2,"Pd630_LPD00007	",21,5.654814214,RPKM
PVHG6-P-R2,"Pd630_LPD00008	",21,5.828154948,RPKM
PVHG6-P-R2,"Pd630_LPD00009	",21,405.5758791,RPKM
PVHG6-P-R2,"Pd630_LPD00011	",21,66.23628716,RPKM
PVHG6-P-R2,"Pd630_LPD00012	",21,187.8348301,RPKM
PVHG6-P-R2,"Pd630_LPD00013	",21,105.3482718,RPKM
PVHG6-P-R2,"Pd630_LPD00014	",21,129.3493068,RPKM
PVHG6-P-R2,"Pd630_LPD00015	",21,75.77217174,RPKM
PVHG6-P-R2,"Pd630_LPD00016	",21,503.976662,RPKM
PVHG6-P-R2,"Pd630_LPD00017	",21,324.6427216,RPKM
PVHG6-P-R2,"Pd630_LPD00018	",21,130.5760214,RPKM
PVHG6-P-R2,"Pd630_LPD00019	",21,178.8958392,RPKM
PVHG6-P-R2,"Pd630_LPD00020	",21,43.06257023,RPKM
PVHG6-P-R2,"Pd630_LPD00021	",21,23.87333933,RPKM
PVHG6-P-R2,"Pd630_LPD00022	",21,22.78506159,RPKM
PVHG6-P-R2,"Pd630_LPD00023	",21,53.14490042,RPKM
PVHG6-P-R2,"Pd630_LPD00024	",21,300.4280444,RPKM
PVHG6-P-R2,"Pd630_LPD00025	",21,1202.321874,RPKM
PVHG6-P-R2,"Pd630_LPD00026	",21,95.56995628,RPKM
PVHG6-P-R2,"Pd630_LPD00027	",21,83.83329498,RPKM
PVHG6-P-R2,"Pd630_LPD00028	",21,497.1885983,RPKM
PVHG6-P-R2,"Pd630_LPD00029	",21,52.13427815,RPKM
PVHG6-P-R2,"Pd630_LPD00030	",21,217.0436316,RPKM
PVHG6-P-R2,"Pd630_LPD00031	",21,184.6035353,RPKM
PVHG6-P-R2,"Pd630_LPD00032	",21,77.42785058,RPKM
PVHG6-P-R2,"Pd630_LPD00033	",21,46.43282822,RPKM
PVHG6-P-R2,"Pd630_LPD00034	",21,69.81844229,RPKM
PVHG6-P-R2,"Pd630_LPD00035	",21,100.6033688,RPKM
PVHG6-P-R2,"Pd630_LPD00036	",21,141.4132471,RPKM
PVHG6-P-R2,"Pd630_LPD00037	",21,351.2133259,RPKM
PVHG6-P-R2,"Pd630_LPD00039	",21,68.60682908,RPKM
PVHG6-P-R2,"Pd630_LPD00040	",21,5.398356116,RPKM
PVHG6-P-R2,"Pd630_LPD00041	",21,49.16169005,RPKM
PVHG6-P-R2,"Pd630_LPD00042	",21,6.292940844,RPKM
PVHG6-P-R2,"Pd630_LPD00043	",21,59.25690272,RPKM
PVHG6-P-R2,"Pd630_LPD00044	",21,11.4778471,RPKM
PVHG6-P-R2,"Pd630_LPD00045	",21,3.772498274,RPKM
PVHG6-P-R2,"Pd630_LPD00046	",21,7.319583761,RPKM
PVHG6-P-R2,"Pd630_LPD00047	",21,26.48793401,RPKM
PVHG6-P-R2,"Pd630_LPD00049	",21,22.82492445,RPKM
PVHG6-P-R2,"Pd630_LPD00050	",21,8.691595426,RPKM
PVHG6-P-R2,"Pd630_LPD00051	",21,14.00337339,RPKM
PVHG6-P-R2,"Pd630_LPD00052	",21,6.854170863,RPKM
PVHG6-P-R2,"Pd630_LPD00053	",21,19.15796938,RPKM
PVHG6-P-R2,"Pd630_LPD00054	",21,174.4782503,RPKM
PVHG6-P-R2,"Pd630_LPD00055	",21,362.3572929,RPKM
PVHG6-P-R2,"Pd630_LPD00056	",21,1232.277972,RPKM
PVHG6-P-R2,"Pd630_LPD00057	",21,127.5048528,RPKM
PVHG6-P-R2,"Pd630_LPD00058	",21,22.5972269,RPKM
PVHG6-P-R2,"Pd630_LPD00059	",21,75.88046078,RPKM
PVHG6-P-R2,"Pd630_LPD00060	",21,58.94079447,RPKM
PVHG6-P-R2,"Pd630_LPD00061	",21,34.90010505,RPKM
PVHG6-P-R2,"Pd630_LPD00062	",21,17.51408837,RPKM
PVHG6-P-R2,"Pd630_LPD00063	",21,1395.790144,RPKM
PVHG6-P-R2,"Pd630_LPD00064	",21,526.0045047,RPKM
PVHG6-P-R2,"Pd630_LPD00065	",21,128.3852085,RPKM
PVHG6-P-R2,"Pd630_LPD00066	",21,41.15601369,RPKM
PVHG6-P-R2,"Pd630_LPD00067	",21,68.55048531,RPKM
PVHG6-P-R2,"Pd630_LPD00068	",21,6.160058232,RPKM
PVHG6-P-R2,"Pd630_LPD00069	",21,5.273742081,RPKM
PVHG6-P-R2,"Pd630_LPD00070	",21,29.85818664,RPKM
PVHG6-P-R2,"Pd630_LPD00071	",21,96.76127153,RPKM
PVHG6-P-R2,"Pd630_LPD00072	",21,52.27710735,RPKM
PVHG6-P-R2,"Pd630_LPD00073	",21,2.259409536,RPKM
PVHG6-P-R2,"Pd630_LPD00074	",21,21.11572503,RPKM
PVHG6-P-R2,"Pd630_LPD00075	",21,334.2332017,RPKM
PVHG6-P-R2,"Pd630_LPD00076	",21,22.03448165,RPKM
PVHG6-P-R2,"Pd630_LPD00077	",21,144.9128983,RPKM
PVHG6-P-R2,"Pd630_LPD00078	",21,128.3705092,RPKM
PVHG6-P-R2,"Pd630_LPD00079	",21,36.62015985,RPKM
PVHG6-P-R2,"Pd630_LPD00080	",21,23.87860939,RPKM
PVHG6-P-R2,"Pd630_LPD00081	",21,47.31359227,RPKM
PVHG6-P-R2,"Pd630_LPD00082	",21,10.83126171,RPKM
PVHG6-P-R2,"Pd630_LPD00083	",21,107.0586818,RPKM
PVHG6-P-R2,"Pd630_LPD00084	",21,157.4260306,RPKM
PVHG6-P-R2,"Pd630_LPD00085	",21,18.740372,RPKM
PVHG6-P-R2,"Pd630_LPD00086	",21,24.89998321,RPKM
PVHG6-P-R2,"Pd630_LPD00087	",21,7.708852534,RPKM
PVHG6-P-R2,"Pd630_LPD00088	",21,29.0199968,RPKM
PVHG6-P-R2,"Pd630_LPD00089	",21,7.171025613,RPKM
PVHG6-P-R2,"Pd630_LPD00090	",21,33.86108727,RPKM
PVHG6-P-R2,"Pd630_LPD00091	",21,30.59915267,RPKM
PVHG6-P-R2,"Pd630_LPD00092	",21,4.407729942,RPKM
PVHG6-P-R2,"Pd630_LPD00093	",21,12.12210173,RPKM
PVHG6-P-R2,"Pd630_LPD00094	",21,14.82004246,RPKM
PVHG6-P-R2,"Pd630_LPD00095	",21,6.904137583,RPKM
PVHG6-P-R2,"Pd630_LPD00096	",21,1.601310129,RPKM
PVHG6-P-R2,"Pd630_LPD00097	",21,1.445098407,RPKM
PVHG6-P-R2,"Pd630_LPD00098	",21,1.394184145,RPKM
PVHG6-P-R2,"Pd630_LPD00099	",21,7.201906551,RPKM
PVHG6-P-R2,"Pd630_LPD00100	",21,26.14590283,RPKM
PVHG6-P-R2,"Pd630_LPD00101	",21,9.724662218,RPKM
PVHG6-P-R2,"Pd630_LPD00102	",21,40.09467055,RPKM
PVHG6-P-R2,"Pd630_LPD00103	",21,21.94303229,RPKM
PVHG6-P-R2,"Pd630_LPD00104	",21,8.271942603,RPKM
PVHG6-P-R2,"Pd630_LPD00105	",21,1.337700952,RPKM
PVHG6-P-R2,"Pd630_LPD00106	",21,0,RPKM
PVHG6-P-R2,"Pd630_LPD00107	",21,0.352514562,RPKM
PVHG6-P-R2,"Pd630_LPD00108	",21,0.054395649,RPKM
PVHG6-P-R2,"Pd630_LPD00109	",21,0.131959816,RPKM
