Line Name,Measurement Type,Time,Value,Units
WT-P-R1,CID:996:Phenol,0,0.5,g/L
WT-P-R1,CID:996:Phenol,8,0.453077086,g/L
WT-P-R1,CID:996:Phenol,20,0.396828347,g/L
WT-P-R1,CID:996:Phenol,24,0.398785328,g/L
WT-P-R1,CID:996:Phenol,32,0.216324721,g/L
WT-P-R1,CID:996:Phenol,44,0.1956637,g/L
WT-P-R1,CID:996:Phenol,48,0.112589125,g/L
WT-P-R1,CID:996:Phenol,60,0.102844653,g/L
WT-P-R2,CID:996:Phenol,0,0.5,g/L
WT-P-R2,CID:996:Phenol,8,0.387675258,g/L
WT-P-R2,CID:996:Phenol,20,0.396559563,g/L
WT-P-R2,CID:996:Phenol,24,0.391963461,g/L
WT-P-R2,CID:996:Phenol,32,0.247455822,g/L
WT-P-R2,CID:996:Phenol,44,0.176394556,g/L
WT-P-R2,CID:996:Phenol,48,0.163516693,g/L
WT-P-R2,CID:996:Phenol,60,0.101625175,g/L
WT-P-R3,CID:996:Phenol,0,0.5,g/L
WT-P-R3,CID:996:Phenol,8,0.404451001,g/L
WT-P-R3,CID:996:Phenol,20,0.392126251,g/L
WT-P-R3,CID:996:Phenol,24,0.402585401,g/L
WT-P-R3,CID:996:Phenol,32,0.261475452,g/L
WT-P-R3,CID:996:Phenol,44,0.169385325,g/L
WT-P-R3,CID:996:Phenol,48,0.128606427,g/L
WT-P-R3,CID:996:Phenol,60,0.118750654,g/L
PVHG6-P-R1,CID:996:Phenol,0,0.5,g/L
PVHG6-P-R1,CID:996:Phenol,8,0.438179507,g/L
PVHG6-P-R1,CID:996:Phenol,20,0.390675855,g/L
PVHG6-P-R1,CID:996:Phenol,24,0.404874393,g/L
PVHG6-P-R1,CID:996:Phenol,32,0.044998259,g/L
PVHG6-P-R1,CID:996:Phenol,44,0.00872456,g/L
PVHG6-P-R1,CID:996:Phenol,48,0.00872456,g/L
PVHG6-P-R1,CID:996:Phenol,60,0.00872456,g/L
PVHG6-P-R2,CID:996:Phenol,0,0.5,g/L
PVHG6-P-R2,CID:996:Phenol,8,0.430442255,g/L
PVHG6-P-R2,CID:996:Phenol,20,0.42956033,g/L
PVHG6-P-R2,CID:996:Phenol,24,0.411124534,g/L
PVHG6-P-R2,CID:996:Phenol,32,0.00872456,g/L
PVHG6-P-R2,CID:996:Phenol,44,0.00872456,g/L
PVHG6-P-R2,CID:996:Phenol,48,0.00872456,g/L
PVHG6-P-R2,CID:996:Phenol,60,0.00872456,g/L
PVHG6-P-R3,CID:996:Phenol,0,0.5,g/L
PVHG6-P-R3,CID:996:Phenol,8,0.437637153,g/L
PVHG6-P-R3,CID:996:Phenol,20,0.41137697,g/L
PVHG6-P-R3,CID:996:Phenol,24,0.414103982,g/L
PVHG6-P-R3,CID:996:Phenol,32,0.00872456,g/L
PVHG6-P-R3,CID:996:Phenol,44,0.00872456,g/L
PVHG6-P-R3,CID:996:Phenol,48,0.00872456,g/L
PVHG6-P-R3,CID:996:Phenol,60,0.00872456,g/L
