Line Name,Measurement Type,Time (hrs),Value,Units,,,,,,,
RoWT_PHE-R2,Lipid Content,25.5,14.08,%,,,,,,,
RoWT_PHE-R2,Carbohydrate Content,25.5,17.21,%,,,,,,,
RoWT_PHE-R2,Protein Content,25.5,38.84,%,,,,,,,
RoP1_L-R1,Lipid Content,25.5,16.44,%,,,,,,,
RoP1_L-R1,Carbohydrate Content,25.5,12.47,%,,,,,,,
RoP1_L-R1,Protein Content,25.5,39.43,%,,,,,,,
RoP1_H-R3,Lipid Content,46.5,14.94,%,,,,,,,
RoP1_H-R3,Carbohydrate Content,46.5,13.68,%,,,,,,,
RoP1_H-R3,Protein Content,46.5,45.23,%,,,,,,,
RoWT_PV-R2,Lipid Content,27,15.28,%,,,,,,,
RoWT_PV-R2,Carbohydrate Content,27,9.37,%,,,,,,,
RoWT_PV-R2,Protein Content,27,43.11,%,,,,,,,
RoPV1_L-R2,Lipid Content,27,20.27,%,,,,,,,
RoPV1_L-R2,Carbohydrate Content,27,10.11,%,,,,,,,
RoPV1_L-R2,Protein Content,27,38.9,%,,,,,,,
RoPV1_H-R2,Lipid Content,55.5,16.67,%,,,,,,,
RoPV1_H-R2,Carbohydrate Content,55.5,8.74,%,,,,,,,
RoPV1_H-R2,Protein Content,55.5,46.24,%,,,,,,,
RoWT_PVH-R2,Lipid Content,18,14.86,%,,,,,,,
RoWT_PVH-R2,Carbohydrate Content,18,14.02,%,,,,,,,
RoWT_PVH-R2,Protein Content,18,36.06,%,,,,,,,
RoPVH5_L-R2,Lipid Content,18,20.25,%,,,,,,,
RoPVH5_L-R2,Carbohydrate Content,18,19.08,%,,,,,,,
RoPVH5_L-R2,Protein Content,18,38.37,%,,,,,,,
RoPVH5_H-R1,Lipid Content,28.5,15.07,%,,,,,,,
RoPVH5_H-R1,Carbohydrate Content,28.5,16.61,%,,,,,,,
RoPVH5_H-R1,Protein Content,28.5,46.7,%,,,,,,,
RoWT_PVHG-R1,Lipid Content,15,9.09,%,,,,,,,
RoWT_PVHG-R1,Carbohydrate Content,15,14.83,%,,,,,,,
RoWT_PVHG-R1,Protein Content,15,39.08,%,,,,,,,
RoPVHG6_L-R2,Lipid Content,15,18.87,%,,,,,,,
RoPVHG6_L-R2,Carbohydrate Content,15,17.03,%,,,,,,,
RoPVHG6_L-R2,Protein Content,15,39.68,%,,,,,,,
RoPVHG6_H-R1,Lipid Content,44.5,10.81,%,,,,,,,
RoPVHG6_H-R1,Carbohydrate Content,44.5,12.97,%,,,,,,,
RoPVHG6_H-R1,Protein Content,44.5,42.22,%,,,,,,,
RoWT_BEN-R2,Lipid Content,23.5,6.94,%,,,,,,,
RoWT_BEN-R2,Carbohydrate Content,23.5,12.63,%,,,,,,,
RoWT_BEN-R2,Protein Content,23.5,42.51,%,,,,,,,
RoB2_L-R1,Lipid Content,23.5,13.33,%,,,,,,,
RoB2_L-R1,Carbohydrate Content,23.5,16.63,%,,,,,,,
RoB2_L-R1,Protein Content,23.5,43.29,%,,,,,,,
RoB2_H-R1,Lipid Content,70,8.33,%,,,,,,,
RoB2_H-R1,Carbohydrate Content,70,18.57,%,,,,,,,
RoB2_H-R1,Protein Content,70,46.92,%,,,,,,,
RoWT_GLC-R2,Lipid Content,35,40.26,%,,,,,,,
RoWT_GLC-R2,Carbohydrate Content,35,14.64,%,,,,,,,
RoWT_GLC-R2,Protein Content,35,24.04,%,,,,,,,
RoGlc1_L-R3,Lipid Content,35,35.82,%,,,,,,,
RoGlc1_L-R3,Carbohydrate Content,35,14.06,%,,,,,,,
RoGlc1_L-R3,Protein Content,35,24.57,%,,,,,,,
RoGlc1_H-R2,Lipid Content,38.5,49.15,%,,,,,,,
RoGlc1_H-R2,Carbohydrate Content,38.5,16.56,%,,,,,,,
RoGlc1_H-R2,Protein Content,38.5,25.63,%,,,,,,,
