Line Name,Measurement Type,Time,Value,Units
WT-R1,Optical Density,0,0.3,n/a
WT-R1,Optical Density,16.61361111,0.42399995,n/a
WT-R1,Optical Density,41.23694444,0.686999969,n/a
WT-R1,Optical Density,52.08611111,0.813999921,n/a
WT-R1,Optical Density,61.72027778,0.942000002,n/a
WT-R2,Optical Density,0,0.3,n/a
WT-R2,Optical Density,16.61361111,0.442999974,n/a
WT-R2,Optical Density,41.23694444,0.743000023,n/a
WT-R2,Optical Density,52.08611111,0.747999996,n/a
WT-R2,Optical Density,61.72027778,0.901000053,n/a
WT-R3,Optical Density,0,0.3,n/a
WT-R3,Optical Density,16.61361111,0.46799995,n/a
WT-R3,Optical Density,41.23694444,0.78300003,n/a
WT-R3,Optical Density,52.08611111,0.903999954,n/a
WT-R3,Optical Density,61.72027778,1.05099991,n/a
EVOL33-R1,Optical Density,0,0.3,n/a
EVOL33-R1,Optical Density,16.61361111,0.516000018,n/a
EVOL33-R1,Optical Density,41.23694444,1.360999979,n/a
EVOL33-R1,Optical Density,52.08611111,1.394999921,n/a
EVOL33-R1,Optical Density,61.72027778,1.396999955,n/a
EVOL33-R2,Optical Density,0,0.3,n/a
EVOL33-R2,Optical Density,16.61361111,0.423000008,n/a
EVOL33-R2,Optical Density,41.23694444,1.565000005,n/a
EVOL33-R2,Optical Density,52.08611111,1.572999954,n/a
EVOL33-R2,Optical Density,61.72027778,1.517999917,n/a
EVOL33-R3,Optical Density,0,0.3,n/a
EVOL33-R3,Optical Density,16.61361111,0.473999977,n/a
EVOL33-R3,Optical Density,41.23694444,1.37400005,n/a
EVOL33-R3,Optical Density,52.08611111,1.491000056,n/a
EVOL33-R3,Optical Density,61.72027778,1.507000029,n/a
EVOL40-R1,Optical Density,0,0.3,n/a
EVOL40-R1,Optical Density,16.61361111,0.569999963,n/a
EVOL40-R1,Optical Density,41.23694444,1.419999935,n/a
EVOL40-R1,Optical Density,52.08611111,1.504999995,n/a
EVOL40-R1,Optical Density,61.72027778,1.441999972,n/a
EVOL40-R2,Optical Density,0,0.3,n/a
EVOL40-R2,Optical Density,16.61361111,0.546000004,n/a
EVOL40-R2,Optical Density,41.23694444,1.535999961,n/a
EVOL40-R2,Optical Density,52.08611111,1.652999967,n/a
EVOL40-R2,Optical Density,61.72027778,1.642999947,n/a
EVOL40-R3,Optical Density,0,0.3,n/a
EVOL40-R3,Optical Density,16.61361111,0.552999973,n/a
EVOL40-R3,Optical Density,41.23694444,1.530000009,n/a
EVOL40-R3,Optical Density,52.08611111,1.71299994,n/a
EVOL40-R3,Optical Density,61.72027778,1.532000005,n/a
WT-G,Optical Density,0,0.3,n/a
WT-G,Optical Density,16.61361111,1.319999993,n/a
WT-G,Optical Density,41.23694444,1.235999949,n/a
EVOL33-G,Optical Density,0,0.3,n/a
EVOL33-G,Optical Density,16.61361111,1.463000029,n/a
EVOL33-G,Optical Density,41.23694444,1.234000064,n/a
EVOL40-G,Optical Density,0,0.3,n/a
EVOL40-G,Optical Density,16.61361111,1.372999996,n/a
EVOL40-G,Optical Density,41.23694444,1.229999997,n/a
WT-G-N,Optical Density,0,0.3,n/a
WT-G-N,Optical Density,16.61361111,1.41900003,n/a
WT-G-N,Optical Density,41.23694444,1.673000045,n/a
EVOL33-G-N,Optical Density,0,0.3,n/a
EVOL33-G-N,Optical Density,16.61361111,1.412999928,n/a
EVOL33-G-N,Optical Density,41.23694444,1.307999976,n/a
EVOL40-G-N,Optical Density,0,0.3,n/a
EVOL40-G-N,Optical Density,16.61361111,1.669999957,n/a
EVOL40-G-N,Optical Density,41.23694444,1.410999931,n/a
