Line Name,Measurement Type,Time,Value,Units,,,,
WT-G-R1,PD630_LPD06575,14,708,counts,,,,
WT-G-R1,PD630_LPD06576,14,6513,counts,,,,
WT-G-R1,PD630_LPD00131,14,1015,counts,,,,
WT-G-R1,PD630_LPD06740,14,289,counts,,,,
WT-G-R1,PD630_LPD06741,14,1159,counts,,,,
WT-G-R1,PD630_LPD06742,14,374,counts,,,,
WT-G-R1,PD630_LPD07170,14,634,counts,,,,
WT-G-R1,PD630_LPD00130,14,181,counts,,,,
WT-G-R1,PD630_LPD07169,14,650,counts,,,,
WT-G-R1,PD630_LPD07168,14,7,counts,,,,
WT-G-R1,PD630_LPD04431,14,27,counts,,,,
WT-G-R1,PD630_LPD06566,14,30,counts,,,,
WT-G-R1,PD630_LPD04430,14,278,counts,,,,
WT-G-R1,PD630_LPD03000,14,10920,counts,,,,
WT-G-R1,PD630_LPD01054,14,789,counts,,,,
WT-G-R1,PD630_LPD06567,14,232,counts,,,,
WT-G-R1,PD630_LPD04429,14,280,counts,,,,
WT-G-R1,PD630_LPD01334,14,1112,counts,,,,
WT-G-R1,PD630_LPD07167,14,31,counts,,,,
WT-G-R1,PD630_LPD01790,14,86,counts,,,,
WT-G-R1,PD630_LPD06568,14,326,counts,,,,
WT-G-R1,PD630_LPD05528,14,419,counts,,,,
WT-G-R1,PD630_LPD05452,14,100,counts,,,,
WT-G-R1,PD630_LPD05549,14,19968,counts,,,,
WT-G-R1,PD630_LPD01683,14,74,counts,,,,
WT-G-R1,PD630_LPD05453,14,107,counts,,,,
WT-G-R1,PD630_LPD05548,14,603,counts,,,,
WT-G-R1,PD630_LPD02269,14,193,counts,,,,
WT-G-R1,PD630_LPD03326,14,124,counts,,,,
WT-G-R1,PD630_LPD05529,14,229,counts,,,,
WT-G-R1,PD630_LPD01789,14,92,counts,,,,
WT-G-R1,PD630_LPD07748,14,1555,counts,,,,
WT-G-R1,PD630_LPD06743,14,129,counts,,,,
WT-G-R1,PD630_LPD02482,14,87,counts,,,,
WT-G-R1,PD630_LPD07123,14,55,counts,,,,
WT-G-R1,PD630_LPD12027,14,332,counts,,,,
WT-G-R1,PD630_LPD07625,14,57,counts,,,,
WT-G-R1,PD630_LPD00247,14,77,counts,,,,
WT-G-R1,PD630_LPD02998,14,1881,counts,,,,
WT-G-R1,PD630_LPD01053,14,566,counts,,,,
WT-G-R1,PD630_LPD01234,14,51,counts,,,,
WT-G-R1,PD630_LPD00132,14,22,counts,,,,
WT-G-R1,PD630_LPD00248,14,31,counts,,,,
WT-G-R1,PD630_LPD05132,14,131,counts,,,,
WT-G-R1,PD630_LPD07745,14,706,counts,,,,
WT-G-R1,PD630_LPD06200,14,222,counts,,,,
WT-G-R1,PD630_LPD06284,14,4050,counts,,,,
WT-G-R1,PD630_LPD06334,14,2112,counts,,,,
WT-G-R1,PD630_LPD05451,14,47,counts,,,,
WT-G-R1,PD630_LPD00253,14,88,counts,,,,
WT-G-R1,PD630_LPD05450,14,55,counts,,,,
WT-G-R1,PD630_LPD01242,14,21,counts,,,,
WT-G-R1,PD630_LPD00249,14,70,counts,,,,
WT-G-R1,PD630_LPD01240,14,36,counts,,,,
WT-G-R1,PD630_LPD06283,14,4202,counts,,,,
WT-G-R1,PD630_LPD07592,14,216,counts,,,,
WT-G-R1,PD630_LPD07593,14,899,counts,,,,
WT-G-R1,PD630_LPD07747,14,3303,counts,,,,
WT-G-R1,PD630_LPD00246,14,57,counts,,,,
WT-G-R1,PD630_LPD05454,14,94,counts,,,,
WT-G-R1,PD630_LPD01235,14,34,counts,,,,
WT-G-R1,PD630_LPD00954,14,603,counts,,,,
