Line Name,Measurement Type,Time,Value,Units
WT-R1,CID:5793:Glucose,0,0.819383097,g/L
WT-R1,CID:5793:Glucose,5,0.726998055,g/L
WT-R1,CID:5793:Glucose,9,0.560306847,g/L
WT-R1,CID:5793:Glucose,11.5,0.00213768,g/L
WT-R2,CID:5793:Glucose,0,0.877316736,g/L
WT-R2,CID:5793:Glucose,5,0.724601072,g/L
WT-R2,CID:5793:Glucose,9,0.455124376,g/L
WT-R2,CID:5793:Glucose,11.5,0.00230694,g/L
WT-R3,CID:5793:Glucose,0,0.873294682,g/L
WT-R3,CID:5793:Glucose,5,0.801019824,g/L
WT-R3,CID:5793:Glucose,9,0.464874796,g/L
WT-R3,CID:5793:Glucose,11.5,0.003981405,g/L
