,name,reaction,glu FBA flux,glu pFBA flux,WT-Glu-R1-T1 transcripts,WT-Glu-R2-T1 transcripts,WT-Glu-R3-T1 transcripts,WT-Glu-R1-T2 transcripts,WT-Glu-R2-T2 transcripts,WT-Glu-R3-T2 transcripts,WT-Glu-R1-T1 E-Flux2 flux,WT-Glu-R2-T1 E-Flux2 flux,WT-Glu-R3-T1 E-Flux2 flux,WT-Glu-R1-T2 E-Flux2 flux,WT-Glu-R2-T2 E-Flux2 flux,WT-Glu-R3-T2 E-Flux2 flux
EX_h2o_e,R_EX_h2o_e,h2o_e <=> ,551.9289103303771,551.9119160563168,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,602.7241474815081,909.6667332296325,610.5709151625836,942.4003791263945,790.9609005871654,1000.0
O2tex,Oxygen transport via diffusion (extracellular to periplasm),o2_e <=> o2_p,444.2834988044235,375.998324540276,inf,inf,inf,inf,inf,inf,471.02248172572666,766.9508704596894,475.03181494209576,653.2076037647345,600.993424832984,789.32928316097
O2tpp,O2 transport via diffusion (periplasm),o2_p <=> o2_c,444.2834988044235,375.998324540276,inf,inf,inf,inf,inf,inf,471.02248172572666,766.9508704596894,475.03181494209576,653.2076037647345,600.993424832984,789.32928316097
EX_co2_e,R_EX_co2_e,co2_e --> ,444.8869656402744,308.33361138603806,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,471.72172973848006,766.9470987750806,478.53888593714674,748.7515641043315,605.1796664319294,793.5878268321816
NADHPO,NADH peroxidase,h2o2_c + h_c + nadh_c --> 2.0 h2o_c + nad_c,17.71112699199419,301.78502489794806,51.811546606120004,65.8918130464302,45.7947991205727,66.081245823676,92.8522876877345,39.6282377502921,51.81154660612001,65.8918130464302,45.7947991205727,66.081245823676,92.8522876877345,39.6282377502921
NOX,NADH oxidase,h_c + nadh_c + o2_c --> h2o2_c + nad_c,0.0,284.0599375942926,10.0822469071369,7.40282514995319,11.3798699217455,6.780158453577781,9.889895984399981,8.10577590346883,10.0822469071369,7.40282514995319,11.379869921745499,6.78015845357778,9.889895984399981,8.10577590346883
GAPD,Glyceraldehyde-3-phosphate dehydrogenase,g3p_c + nad_c + pi_c <=> 13dpg_c + h_c + nadh_c,180.2197008268509,180.21970082685098,2564.8582652790005,4303.709096861531,1668.343994414618,1608.3143030255487,4601.158810027247,3910.0799415462197,173.1019286028485,208.38219156899507,173.01050085551992,278.57387167327494,210.56063770332858,250.46899275512283
ENO,Enolase,2pg_c <=> h2o_c + pep_c,172.3363957735754,172.33198438770668,3043.531608022926,2406.3850185640695,2494.669387764586,3212.3783574682575,3598.2311198372163,2553.431989813563,165.3044562935889,198.5453276649012,164.71337660792574,254.2501286710333,200.36915202297754,238.02355456628948
PDH,Pyruvate dehydrogenase,coa_c + nad_c + pyr_c --> accoa_c + co2_c + nadh_c,152.58726412698667,151.9052679523861,4046.8085294210664,3758.9678732145226,3024.3839779929344,2358.4831778967714,4381.890079886078,3468.3714449176023,125.59546846659781,193.57889513894236,115.87046207098706,262.77959787985355,190.55333993619735,228.27669893566218
FUM,Fumarase,fum_c + h2o_c <=> mal__L_c,140.0648982164061,140.06048683053734,608.949042363462,686.1952069177331,549.996455169524,518.125541527138,705.923352751783,795.491840748761,148.58134889762573,257.06460845061355,150.79655436684226,118.35562833113683,173.83218458331282,247.28800339738544
ACONT,Aconitate hydratase,cit_c <=> icit_c,138.91961740545474,138.91520601958592,1478.21609862091,1988.55889636175,1269.3143619972802,808.255605503369,2152.56404464606,1249.4152913430198,127.14568571710905,236.22890881430462,128.02624537298652,115.18597823415233,153.4963412879205,214.9717105526862
CS,Citrate synthase,accoa_c + h2o_c + oaa_c --> cit_c + coa_c + h_c,138.91961740545474,138.91520601958592,2183.7399967754195,2830.146739310033,1653.5685181452463,1661.0376247317322,2899.123084007327,3036.851458278774,147.4502107384266,255.6363152885063,149.59293433758526,141.09225531050922,172.3537595379682,245.48095041157612
SUCD1,Succinate dehydrogenase,fad_c + succ_c <=> fadh2_c + fum_c,136.5723068750088,136.55785640936352,145.11900756615069,252.69643687542933,147.11235068192016,114.14953336769767,169.30682037542775,375.62390697116325,145.11900756615069,252.69643687542933,147.11235068192016,114.14953336769766,169.30682037542775,241.7614646657259
EX_co_e,R_EX_co_e,co_e --> ,-0.0,136.55335425423775,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1.9604368986099494,1.5339187247650803,1.19305087889268,2.93469545005606,1.12734565625285,2.70192530115628
MDH,Malate dehydrogenase,mal__L_c + nad_c <=> h_c + nadh_c + oaa_c,147.23183598959324,134.88959583756272,43.8297678046367,53.42038689290553,44.96884081980089,51.711357757884265,45.093826250113885,138.75512223646257,33.508082966377245,53.42038689290553,33.98592866479885,7.636831786885385,35.68011091120137,65.62382420637464
ICDHx,Isocitrate dehydrogenase (NAD),icit_c + nad_c <=> akg_c + co2_c + nadh_c,138.91961740545474,128.4437937588363,1.35363500142115,1.73399508016922,1.46837031248329,1.51794592244279,1.48604654687875,2.02644397586721,1.35363500142115,1.7339950801692203,1.46837031248329,1.5179459224427903,1.48604654687875,2.02644397586721
GLCpts,D-glucose transport via PEP:Pyr PTS,glc__D_e + pep_c --> g6p_c + pyr_c,100.0,100.0,60.213419028734165,65.89181304643026,75.89639052648032,499.40420848367654,102.89591262526001,524.3986688660805,60.213419028734165,65.89181304643026,75.89639052648032,146.01670323853625,102.89591262526001,134.68366117864298
