,PVHG-B-R1-12hr,PVHG-B-R2-12hr,PVHG-B-R3-12hr,PVHG-Glu-R1-10hr,PVHG-Glu-R1-13hr,PVHG-Glu-R2-10hr,PVHG-Glu-R2-13hr,PVHG-Glu-R3-10hr,PVHG-Glu-R3-13hr,PVHG-Gua-R1-19hr,PVHG-Gua-R2-19hr,PVHG-Gua-R3-19hr,PVHG-H-R1-11hr,PVHG-H-R2-11hr,PVHG-H-R3-11hr,PVHG-M-R1-20hr,PVHG-M-R1-32hr,PVHG-M-R2-20hr,PVHG-M-R2-32hr,PVHG-M-R3-20hr,PVHG-M-R3-32hr,PVHG-P-R1-21hr,PVHG-P-R2-21hr,PVHG-P-R3-21hr,PVHG-V-R1-24hr,PVHG-V-R2-24hr,PVHG-V-R3-24hr,WT-B-R1-12hr,WT-B-R2-12hr,WT-B-R3-12hr,WT-Glu-R1-10hr,WT-Glu-R1-13hr,WT-Glu-R2-10hr,WT-Glu-R2-13hr,WT-Glu-R3-10hr,WT-Glu-R3-13hr,WT-Gua-R1-19hr,WT-Gua-R2-19hr,WT-Gua-R3-19hr,WT-H-R1-11hr,WT-H-R2-11hr,WT-H-R3-11hr,WT-M-R1-20hr,WT-M-R1-32hr,WT-M-R2-20hr,WT-M-R2-32hr,WT-M-R3-20hr,WT-M-R3-32hr,WT-P-R1-24hr,WT-P-R2-24hr,WT-P-R3-24hr,WT-V-R1-24hr,WT-V-R2-24hr,WT-V-R3-24hr
13PPDH,1099.4648114017862,1039.6648778761362,1380.9611206529378,271.0328545439878,402.554586487488,320.2680534064086,301.8815972606491,339.0730235031974,366.05544363761123,1614.541527466786,1072.291971151482,1261.735643035879,1594.1197576197842,1354.751259819993,1049.925141112072,239.14184446934811,273.2788944335016,292.12157140856,231.6854833511743,255.590830898007,227.077142626485,5630.77578342746,3391.38509199061,3620.8450452055104,114595.45695456077,76659.90182317994,118545.96145429302,1124.9928158328514,1099.9570026082993,1238.4737482263072,452.78050570727646,406.7276778277557,510.942674479184,510.35859277297305,392.6508528330985,443.85644033123697,1707.3536080144722,1045.7369711561892,1383.027797649151,902.8905575535649,1204.5502430269303,710.677398270728,655.1518153731257,268.7201215584502,703.3153328421341,383.59684172572145,727.8533301450592,342.3930561563023,10656.59207935785,19496.6950666582,33381.49093674389,292309.5484065103,250547.12611786794,191613.46156154978
2AGPEAT120,6.704053728059652,8.41833909211446,6.332449583240969,5.374589183591829,19.2772618881332,12.7507187538851,32.0897760867619,12.3580145240345,24.2630409327523,1.02771580360712,7.4243756657372595,6.31770350590211,53.85539721688461,22.035110852493897,26.100785384502203,146.874518650466,11.7119526185787,46.1244586434569,16.028555451968,100.25330005051201,32.4395918037836,11.3944872514552,16.6128031098211,5.34573579508686,12.5524805184426,11.778040709428199,3.46466905377537,7.536492676103151,7.27484790084854,9.07004742376126,12.103488609429,8.34924851845833,9.432787836538779,15.7033413160915,5.408413950869122,5.307700332810018,5.59421234605004,6.18256655244368,2.05095570585637,9.36176845389641,11.6344196042524,8.00968379198565,25.7581055616785,29.31492235183089,21.850573447522606,22.180769759650502,25.4494171379391,29.6485607286184,5.12434702796588,5.13273530779471,4.27748474330394,7.9979316472815585,8.85589785354408,4.120258843345471
2AGPEAT140,6.704053728059652,8.41833909211446,6.332449583240969,5.374589183591829,19.2772618881332,12.7507187538851,32.0897760867619,12.3580145240345,24.2630409327523,1.02771580360712,7.4243756657372595,6.31770350590211,53.85539721688461,22.035110852493897,26.100785384502203,146.874518650466,11.7119526185787,46.1244586434569,16.028555451968,100.25330005051201,32.4395918037836,11.3944872514552,16.6128031098211,5.34573579508686,12.5524805184426,11.778040709428199,3.46466905377537,7.536492676103151,7.27484790084854,9.07004742376126,12.103488609429,8.34924851845833,9.432787836538779,15.7033413160915,5.408413950869122,5.307700332810018,5.59421234605004,6.18256655244368,2.05095570585637,9.36176845389641,11.6344196042524,8.00968379198565,25.7581055616785,29.31492235183089,21.850573447522606,22.180769759650502,25.4494171379391,29.6485607286184,5.12434702796588,5.13273530779471,4.27748474330394,7.9979316472815585,8.85589785354408,4.120258843345471
2AGPEAT141,6.704053728059652,8.41833909211446,6.332449583240969,5.374589183591829,19.2772618881332,12.7507187538851,32.0897760867619,12.3580145240345,24.2630409327523,1.02771580360712,7.4243756657372595,6.31770350590211,53.85539721688461,22.035110852493897,26.100785384502203,146.874518650466,11.7119526185787,46.1244586434569,16.028555451968,100.25330005051201,32.4395918037836,11.3944872514552,16.6128031098211,5.34573579508686,12.5524805184426,11.778040709428199,3.46466905377537,7.536492676103151,7.27484790084854,9.07004742376126,12.103488609429,8.34924851845833,9.432787836538779,15.7033413160915,5.408413950869122,5.307700332810018,5.59421234605004,6.18256655244368,2.05095570585637,9.36176845389641,11.6344196042524,8.00968379198565,25.7581055616785,29.31492235183089,21.850573447522606,22.180769759650502,25.4494171379391,29.6485607286184,5.12434702796588,5.13273530779471,4.27748474330394,7.9979316472815585,8.85589785354408,4.120258843345471
2AGPEAT160,6.704053728059652,8.41833909211446,6.332449583240969,5.374589183591829,19.2772618881332,12.7507187538851,32.0897760867619,12.3580145240345,24.2630409327523,1.02771580360712,7.4243756657372595,6.31770350590211,53.85539721688461,22.035110852493897,26.100785384502203,146.874518650466,11.7119526185787,46.1244586434569,16.028555451968,100.25330005051201,32.4395918037836,11.3944872514552,16.6128031098211,5.34573579508686,12.5524805184426,11.778040709428199,3.46466905377537,7.536492676103151,7.27484790084854,9.07004742376126,12.103488609429,8.34924851845833,9.432787836538779,15.7033413160915,5.408413950869122,5.307700332810018,5.59421234605004,6.18256655244368,2.05095570585637,9.36176845389641,11.6344196042524,8.00968379198565,25.7581055616785,29.31492235183089,21.850573447522606,22.180769759650502,25.4494171379391,29.6485607286184,5.12434702796588,5.13273530779471,4.27748474330394,7.9979316472815585,8.85589785354408,4.120258843345471
2AGPEAT161,6.704053728059652,8.41833909211446,6.332449583240969,5.374589183591829,19.2772618881332,12.7507187538851,32.0897760867619,12.3580145240345,24.2630409327523,1.02771580360712,7.4243756657372595,6.31770350590211,53.85539721688461,22.035110852493897,26.100785384502203,146.874518650466,11.7119526185787,46.1244586434569,16.028555451968,100.25330005051201,32.4395918037836,11.3944872514552,16.6128031098211,5.34573579508686,12.5524805184426,11.778040709428199,3.46466905377537,7.536492676103151,7.27484790084854,9.07004742376126,12.103488609429,8.34924851845833,9.432787836538779,15.7033413160915,5.408413950869122,5.307700332810018,5.59421234605004,6.18256655244368,2.05095570585637,9.36176845389641,11.6344196042524,8.00968379198565,25.7581055616785,29.31492235183089,21.850573447522606,22.180769759650502,25.4494171379391,29.6485607286184,5.12434702796588,5.13273530779471,4.27748474330394,7.9979316472815585,8.85589785354408,4.120258843345471
2AGPEAT180,6.704053728059652,8.41833909211446,6.332449583240969,5.374589183591829,19.2772618881332,12.7507187538851,32.0897760867619,12.3580145240345,24.2630409327523,1.02771580360712,7.4243756657372595,6.31770350590211,53.85539721688461,22.035110852493897,26.100785384502203,146.874518650466,11.7119526185787,46.1244586434569,16.028555451968,100.25330005051201,32.4395918037836,11.3944872514552,16.6128031098211,5.34573579508686,12.5524805184426,11.778040709428199,3.46466905377537,7.536492676103151,7.27484790084854,9.07004742376126,12.103488609429,8.34924851845833,9.432787836538779,15.7033413160915,5.408413950869122,5.307700332810018,5.59421234605004,6.18256655244368,2.05095570585637,9.36176845389641,11.6344196042524,8.00968379198565,25.7581055616785,29.31492235183089,21.850573447522606,22.180769759650502,25.4494171379391,29.6485607286184,5.12434702796588,5.13273530779471,4.27748474330394,7.9979316472815585,8.85589785354408,4.120258843345471
2AGPEAT181,6.704053728059652,8.41833909211446,6.332449583240969,5.374589183591829,19.2772618881332,12.7507187538851,32.0897760867619,12.3580145240345,24.2630409327523,1.02771580360712,7.4243756657372595,6.31770350590211,53.85539721688461,22.035110852493897,26.100785384502203,146.874518650466,11.7119526185787,46.1244586434569,16.028555451968,100.25330005051201,32.4395918037836,11.3944872514552,16.6128031098211,5.34573579508686,12.5524805184426,11.778040709428199,3.46466905377537,7.536492676103151,7.27484790084854,9.07004742376126,12.103488609429,8.34924851845833,9.432787836538779,15.7033413160915,5.408413950869122,5.307700332810018,5.59421234605004,6.18256655244368,2.05095570585637,9.36176845389641,11.6344196042524,8.00968379198565,25.7581055616785,29.31492235183089,21.850573447522606,22.180769759650502,25.4494171379391,29.6485607286184,5.12434702796588,5.13273530779471,4.27748474330394,7.9979316472815585,8.85589785354408,4.120258843345471
2AGPGAT120,6.704053728059652,8.41833909211446,6.332449583240969,5.374589183591829,19.2772618881332,12.7507187538851,32.0897760867619,12.3580145240345,24.2630409327523,1.02771580360712,7.4243756657372595,6.31770350590211,53.85539721688461,22.035110852493897,26.100785384502203,146.874518650466,11.7119526185787,46.1244586434569,16.028555451968,100.25330005051201,32.4395918037836,11.3944872514552,16.6128031098211,5.34573579508686,12.5524805184426,11.778040709428199,3.46466905377537,7.536492676103151,7.27484790084854,9.07004742376126,12.103488609429,8.34924851845833,9.432787836538779,15.7033413160915,5.408413950869122,5.307700332810018,5.59421234605004,6.18256655244368,2.05095570585637,9.36176845389641,11.6344196042524,8.00968379198565,25.7581055616785,29.31492235183089,21.850573447522606,22.180769759650502,25.4494171379391,29.6485607286184,5.12434702796588,5.13273530779471,4.27748474330394,7.9979316472815585,8.85589785354408,4.120258843345471
2AGPGAT141,6.704053728059652,8.41833909211446,6.332449583240969,5.374589183591829,19.2772618881332,12.7507187538851,32.0897760867619,12.3580145240345,24.2630409327523,1.02771580360712,7.4243756657372595,6.31770350590211,53.85539721688461,22.035110852493897,26.100785384502203,146.874518650466,11.7119526185787,46.1244586434569,16.028555451968,100.25330005051201,32.4395918037836,11.3944872514552,16.6128031098211,5.34573579508686,12.5524805184426,11.778040709428199,3.46466905377537,7.536492676103151,7.27484790084854,9.07004742376126,12.103488609429,8.34924851845833,9.432787836538779,15.7033413160915,5.408413950869122,5.307700332810018,5.59421234605004,6.18256655244368,2.05095570585637,9.36176845389641,11.6344196042524,8.00968379198565,25.7581055616785,29.31492235183089,21.850573447522606,22.180769759650502,25.4494171379391,29.6485607286184,5.12434702796588,5.13273530779471,4.27748474330394,7.9979316472815585,8.85589785354408,4.120258843345471
