Gene ID (RS),Gene ID (LPD),Annotation
PD630_RS00005,"Pd630_LPD00001	",chromosomal replication initiator protein DnaA
PD630_RS00010,"Pd630_LPD00002	",DNA polymerase III subunit beta
PD630_RS00015,"Pd630_LPD00003	",6-phosphogluconate dehydrogenase
PD630_RS00020,"Pd630_LPD00004	",DNA replication and repair protein RecF
PD630_RS00025,"Pd630_LPD00005	",hypothetical protein
PD630_RS00030,"Pd630_LPD00006	",metal-dependent hydrolase
PD630_RS00035,"Pd630_LPD00007	",ferredoxin
PD630_RS00040,"Pd630_LPD00008	",hydrolase
PD630_RS00045,"Pd630_LPD00009	",DNA topoisomerase IV subunit B
PD630_RS00050,"Pd630_LPD00011	",ATP-binding protein
PD630_RS00055,"Pd630_LPD00012	",dynein regulation protein LC7
PD630_RS00060,"Pd630_LPD00013	",hypothetical protein
PD630_RS00065,"Pd630_LPD00014	",ATP-binding protein
PD630_RS00070,"Pd630_LPD00015	",hypothetical protein
PD630_RS00075,"Pd630_LPD00016	",DNA gyrase subunit A
PD630_RS00080,"Pd630_LPD00017	",hypothetical protein
PD630_RS00085,"Pd630_LPD00018	",tRNA-Ile
PD630_RS00090,"Pd630_LPD00019	",tRNA-Ala
PD630_RS00095,"Pd630_LPD00020	",siderophore-interacting protein
PD630_RS00100,"Pd630_LPD00021	",chorismate mutase
PD630_RS00105,"Pd630_LPD00022	",AraC family transcriptional regulator
PD630_RS00110,"Pd630_LPD00023	",hypothetical protein
PD630_RS00115,"Pd630_LPD00024	",hypothetical protein
PD630_RS00120,"Pd630_LPD00025	",peptidyl-prolyl cis-trans isomerase
PD630_RS00125,"Pd630_LPD00026	",rhomboid family intramembrane serine protease
PD630_RS00130,"Pd630_LPD00027	",membrane protein
PD630_RS00135,"Pd630_LPD00028	",cell division protein CrgA
PD630_RS00140,"Pd630_LPD00029	",membrane protein
PD630_RS00145,"Pd630_LPD00030	",glutamine amidotransferase
PD630_RS00150,"Pd630_LPD00031	",serine/threonine protein kinase
PD630_RS00155,"Pd630_LPD00032	",serine/threonine protein kinase
PD630_RS00160,"Pd630_LPD00033	",penicillin-binding protein A
PD630_RS00165,"Pd630_LPD00034	",cell division protein FtsW
PD630_RS00170,"Pd630_LPD00035	",serine/threonine protein phosphatase
PD630_RS00175,"Pd630_LPD00036	",membrane protein
PD630_RS41695,none,hypothetical protein
PD630_RS00180,"Pd630_LPD00037	",hypothetical protein
PD630_RS00185,"Pd630_LPD00039	",tRNA-Leu
PD630_RS00190,"Pd630_LPD00040	",hypothetical protein
PD630_RS00195,"Pd630_LPD00041	",hypothetical protein
PD630_RS00200,"Pd630_LPD00042	",RDD family protein
PD630_RS00205,"Pd630_LPD00043	",AraC family transcriptional regulator
PD630_RS00210,"Pd630_LPD00044	",glyoxalase
PD630_RS00215,"Pd630_LPD00045	",polyketide cyclase
PD630_RS00220,"Pd630_LPD00046	",IS3 family transposase
PD630_RS00225,"Pd630_LPD00047	",hypothetical protein
PD630_RS00230,"Pd630_LPD00049	",hypothetical protein
PD630_RS00235,"Pd630_LPD00050	",hypothetical protein
PD630_RS00240,"Pd630_LPD00051	",hypothetical protein
PD630_RS00245,"Pd630_LPD00052	",aromatic ring hydroxylase
PD630_RS00250,"Pd630_LPD00053	",TetR family transcriptional regulator
PD630_RS41700,none,hypothetical protein
PD630_RS00255,"Pd630_LPD00054	",glutamate synthase subunit alpha
PD630_RS00260,"Pd630_LPD00055	",dihydropyrimidine dehydrogenase subunit A
PD630_RS00265,"Pd630_LPD00056	",cutinase
PD630_RS00270,"Pd630_LPD00057	",thioesterase
PD630_RS00275,"Pd630_LPD00058	",hypothetical protein
PD630_RS00280,"Pd630_LPD00059	",hypothetical protein
PD630_RS00285,"Pd630_LPD00060	",short-chain dehydrogenase
PD630_RS00290,"Pd630_LPD00061	",oxidoreductase
PD630_RS00295,"Pd630_LPD00062	",hypothetical protein
