#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
Un,NZ_NWMZ01000001.1,534,1169,+,57595983,,COO55_RS00010,WP_120659061.1,211,hypothetical protein
Un,NZ_NWMZ01000001.1,1662,2198,+,57595984,,COO55_RS00015,WP_120659062.1,178,hypothetical protein
Un,NZ_NWMZ01000001.1,2579,3838,+,57595985,,COO55_RS00020,WP_120659063.1,419,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,4525,5232,-,57595986,,COO55_RS00025,WP_061043275.1,235,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,5807,6151,+,58575308,,COO55_RS41410,WP_166680572.1,114,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,6356,6673,+,57595987,,COO55_RS00030,WP_120659064.1,105,type II toxin-antitoxin system RelE/ParE family toxin
Un,NZ_NWMZ01000001.1,6670,6975,+,57595988,,COO55_RS00035,WP_061043273.1,101,MULTISPECIES: XRE family transcriptional regulator
Un,NZ_NWMZ01000001.1,7686,7880,-,57595990,,COO55_RS00045,WP_061043271.1,64,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,8920,9276,-,57595992,,COO55_RS00060,WP_061043268.1,118,MULTISPECIES: type II toxin-antitoxin system PemK/MazF family toxin
Un,NZ_NWMZ01000001.1,9932,10708,-,57595994,,COO55_RS00070,WP_120659065.1,258,VOC family protein
Un,NZ_NWMZ01000001.1,11035,11169,-,57595995,,COO55_RS00075,WP_120659066.1,44,hypothetical protein
Un,NZ_NWMZ01000001.1,11633,12823,-,57595996,,COO55_RS00080,WP_120659067.1,396,Fic family protein
Un,NZ_NWMZ01000001.1,13262,13681,-,57595997,,COO55_RS00085,WP_167120112.1,139,MULTISPECIES: HNH endonuclease
Un,NZ_NWMZ01000001.1,13851,14207,-,57595998,,COO55_RS00090,WP_133986696.1,118,MULTISPECIES: hypothetical protein
Un,NZ_NWMZ01000001.1,15054,15704,+,57595999,,COO55_RS00100,WP_120659071.1,216,hypothetical protein
Un,NZ_NWMZ01000001.1,16390,16821,+,57596000,,COO55_RS00105,WP_183102179.1,143,patatin-like phospholipase family protein
Un,NZ_NWMZ01000001.1,17688,18092,+,57596002,,COO55_RS00115,WP_120659073.1,134,MULTISPECIES: cupredoxin domain-containing protein
Un,NZ_NWMZ01000001.1,18283,19035,+,57596003,,COO55_RS00120,WP_120661221.1,250,MULTISPECIES: methyltransferase domain-containing protein
Un,NZ_NWMZ01000001.1,24381,24680,-,58575310,,COO55_RS41420,WP_166680683.1,99,MULTISPECIES: hypothetical protein
